1455462905.85,received , 1 , -0.00940608978271, wifi
1455462905.86,received , 2 , -0.0142829418182, wifi
1455462905.88,received , 3 , -0.0130481719971, wifi
1455462905.89,received , 4 , -0.0115561485291, wifi
1455462905.9,received , 5 , -0.0124380588531, wifi
1455462905.91,received , 6 , -0.0114650726318, wifi
1455462905.92,received , 7 , -0.0119299888611, wifi
1455462905.93,received , 8 , -0.011901140213, wifi
1455462905.95,received , 9 , -0.0090229511261, wifi
1455462905.96,received , 10 , -0.0117361545563, wifi
1455462905.97,received , 11 , -0.0136811733246, wifi
1455462905.98,received , 12 , -0.0138239860535, wifi
1455462905.99,received , 13 , -0.0139861106873, wifi
1455462905.99,received , 1 , 0.129039049149, lte
1455462906.0,received , 14 , -0.0129871368408, wifi
1455462906.01,received , 2 , 0.130856990814, lte
1455462906.01,received , 15 , -0.0141799449921, wifi
1455462906.02,received , 3 , 0.1324198246, lte
1455462906.03,received , 16 , -0.0127539634705, wifi
1455462906.04,received , 17 , -0.00937509536743, wifi
1455462906.04,received , 4 , 0.14395570755, lte
1455462906.05,received , 18 , -0.0132400989532, wifi
1455462906.05,received , 5 , 0.143014907837, lte
1455462906.06,received , 6 , 0.13557100296, lte
1455462906.06,received , 19 , -0.0116441249847, wifi
1455462906.07,received , 7 , 0.135277986526, lte
1455462906.07,received , 20 , -0.0120038986206, wifi
1455462906.08,received , 8 , 0.133691072464, lte
1455462906.08,received , 21 , -0.00839495658875, wifi
1455462906.09,received , 9 , 0.131222009659, lte
1455462906.09,received , 22 , -0.00830006599426, wifi
1455462906.09,received , 10 , 0.12739109993, lte
1455462906.1,received , 11 , 0.12557387352, lte
1455462906.11,received , 23 , -0.00888609886169, wifi
1455462906.11,received , 12 , 0.122406959534, lte
1455462906.11,received , 24 , -0.0131502151489, wifi
1455462906.12,received , 13 , 0.118845939636, lte
1455462906.13,received , 25 , -0.00707602500916, wifi
1455462906.13,received , 14 , 0.115009069443, lte
1455462906.14,received , 15 , 0.110935926437, lte
1455462906.14,received , 26 , -0.00996708869934, wifi
1455462906.15,received , 16 , 0.107359886169, lte
1455462906.15,received , 27 , -0.0113799571991, wifi
1455462906.15,received , 17 , 0.10386300087, lte
1455462906.16,received , 18 , 0.100673913956, lte
1455462906.16,received , 28 , -0.0123600959778, wifi
1455462906.17,received , 19 , 0.0946068763733, lte
1455462906.17,received , 29 , -0.0150709152222, wifi
1455462906.17,received , 20 , 0.0912129878998, lte
1455462906.18,received , 21 , 0.0866887569427, lte
1455462906.18,received , 30 , -0.0135910511017, wifi
1455462906.19,received , 22 , 0.0820529460907, lte
1455462906.19,received , 31 , -0.0136539936066, wifi
1455462906.2,received , 23 , 0.0835111141205, lte
1455462906.2,received , 24 , 0.0719048976898, lte
1455462906.21,received , 32 , -0.0135312080383, wifi
1455462906.21,received , 25 , 0.0703930854797, lte
1455462906.22,received , 26 , 0.0644919872284, lte
1455462906.22,received , 33 , -0.0119471549988, wifi
1455462906.22,received , 27 , 0.0620679855347, lte
1455462906.23,received , 28 , 0.0539150238037, lte
1455462906.23,received , 34 , -0.0101990699768, wifi
1455462906.23,received , 29 , 0.0497679710388, lte
1455462906.24,received , 35 , -0.0132279396057, wifi
1455462906.24,received , 30 , 0.0424017906189, lte
1455462906.25,received , 31 , 0.0374648571014, lte
1455462906.25,received , 32 , 0.0297658443451, lte
1455462906.26,received , 36 , -0.00980615615845, wifi
1455462906.26,received , 33 , 0.0243380069733, lte
1455462906.27,received , 37 , -0.0103099346161, wifi
1455462906.27,received , 34 , 0.0257539749146, lte
1455462906.27,received , 35 , 0.0149779319763, lte
1455462906.27,received , 36 , 0.00643181800842, lte
1455462906.28,received , 38 , -0.0106301307678, wifi
1455462906.28,received , 37 , 0.00499176979065, lte
1455462906.28,received , 38 , -0.00225806236267, lte
1455462906.29,received , 39 , -0.0110182762146, wifi
1455462906.3,received , 40 , -0.0128469467163, wifi
1455462906.3,received , 39 , 0.00106000900269, lte
1455462906.31,received , 41 , -0.00886297225952, wifi
1455462906.31,received , 40 , 0.00320100784302, lte
1455462906.32,received , 41 , 0.00253176689148, lte
1455462906.32,received , 42 , -0.00956106185913, wifi
1455462906.33,received , 42 , -0.00528025627136, lte
1455462906.33,received , 43 , -0.0123021602631, wifi
1455462906.34,received , 44 , -0.0133662223816, wifi
1455462906.34,received , 43 , -0.00110125541687, lte
1455462906.35,received , 45 , -0.0118820667267, wifi
1455462906.36,received , 44 , 0.00695395469666, lte
1455462906.37,received , 45 , 0.000339984893799, lte
1455462906.37,received , 46 , -0.00911903381348, wifi
1455462906.38,received , 47 , -0.0125522613525, wifi
1455462906.38,received , 46 , 0.0013439655304, lte
1455462906.39,received , 48 , -0.0126020908356, wifi
1455462906.39,received , 47 , 0.00152587890625, lte
1455462906.4,received , 48 , -0.00532007217407, lte
1455462906.4,received , 49 , -0.0151610374451, wifi
1455462906.4,received , 49 , -0.00785517692566, lte
1455462906.41,received , 50 , -0.00944304466248, wifi
1455462906.42,received , 50 , 0.000694036483765, lte
1455462906.42,received , 51 , -0.0109188556671, wifi
1455462906.44,received , 52 , -0.0110449790955, wifi
1455462906.44,received , 51 , 0.0058228969574, lte
1455462906.45,received , 53 , -0.0135231018066, wifi
1455462906.46,received , 54 , -0.0131852626801, wifi
1455462906.46,received , 52 , 0.011332988739, lte
1455462906.46,received , 53 , -0.00114512443542, lte
1455462906.46,received , 54 , -0.00676012039185, lte
1455462906.47,received , 55 , -0.00863313674927, wifi
1455462906.48,received , 55 , 0.000872850418091, lte
1455462906.48,received , 56 , -0.0110211372375, wifi
1455462906.5,received , 57 , -0.0117881298065, wifi
1455462906.5,received , 56 , 0.0071280002594, lte
1455462906.51,received , 58 , -0.014475107193, wifi
1455462906.51,received , 57 , 0.00355076789856, lte
1455462906.52,received , 58 , -0.00429606437683, lte
1455462906.52,received , 59 , -0.011579990387, wifi
1455462906.52,received , 59 , -0.00642609596252, lte
1455462906.53,received , 60 , -0.0100531578064, wifi
1455462906.54,received , 60 , 0.000349998474121, lte
1455462906.54,received , 61 , -0.00953602790833, wifi
1455462906.55,received , 62 , -0.0151948928833, wifi
1455462906.56,received , 61 , 0.00510096549988, lte
1455462906.56,received , 63 , -0.0110440254211, wifi
1455462906.57,received , 64 , -0.0126569271088, wifi
1455462906.57,received , 62 , 0.00908088684082, lte
1455462906.58,received , 63 , 0.00566291809082, lte
1455462906.58,received , 65 , -0.0149672031403, wifi
1455462906.59,received , 64 , 0.00159478187561, lte
1455462906.6,received , 65 , -0.000777006149292, lte
1455462906.6,received , 66 , -0.0117270946503, wifi
1455462906.6,received , 66 , -0.00839495658875, lte
1455462906.61,received , 67 , -0.0142629146576, wifi
1455462906.62,received , 68 , -0.0114800930023, wifi
1455462906.63,received , 67 , 0.00712084770203, lte
1455462906.63,received , 69 , -0.011999130249, wifi
1455462906.65,received , 70 , -0.00872302055359, wifi
1455462906.65,received , 68 , 0.0161979198456, lte
1455462906.65,received , 69 , 0.00874972343445, lte
1455462906.65,received , 71 , -0.0130360126495, wifi
1455462906.65,received , 70 , -0.00232124328613, lte
1455462906.66,received , 72 , -0.0132791996002, wifi
1455462906.68,received , 73 , -0.00817704200745, wifi
1455462906.69,received , 74 , -0.0136349201202, wifi
1455462906.7,received , 71 , 0.0313229560852, lte
1455462906.7,received , 72 , 0.0212919712067, lte
1455462906.7,received , 75 , -0.00853991508484, wifi
1455462906.71,received , 73 , 0.0191807746887, lte
1455462906.71,received , 76 , -0.0110311508179, wifi
1455462906.71,received , 74 , 0.012640953064, lte
1455462906.71,received , 75 , 0.00111103057861, lte
1455462906.72,received , 76 , -0.000681161880493, lte
1455462906.73,received , 77 , -0.00947403907776, wifi
1455462906.73,received , 77 , -0.000118255615234, lte
1455462906.74,received , 78 , -0.00868916511536, wifi
1455462906.75,received , 79 , -0.0120351314545, wifi
1455462906.75,received , 78 , -0.000311136245728, lte
1455462906.75,received , 79 , -0.00495100021362, lte
