17:21:46.455673 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 1
17:21:46.455775 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 1
17:21:46.465823 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 2
17:21:46.465848 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 2
17:21:46.475986 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 3
17:21:46.476002 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 3
17:21:46.486142 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 4
17:21:46.486159 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 4
17:21:46.496298 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 5
17:21:46.496314 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 5
17:21:46.506453 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 6
17:21:46.506468 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 6
17:21:46.516608 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 7
17:21:46.516624 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 7
17:21:46.526764 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 8
17:21:46.526778 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 8
17:21:46.536922 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 9
17:21:46.536936 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 9
17:21:46.547080 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 10
17:21:46.547095 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 10
17:21:46.557230 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 11
17:21:46.557244 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 11
17:21:46.567389 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 12
17:21:46.567403 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 12
17:21:46.577542 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 13
17:21:46.577556 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 13
17:21:46.587700 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 14
17:21:46.587714 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 14
17:21:46.597852 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 15
17:21:46.597866 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 15
17:21:46.608005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 16
17:21:46.608019 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 16
17:21:46.618161 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 17
17:21:46.618175 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 17
17:21:46.628297 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 18
17:21:46.628311 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 18
17:21:46.638453 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 19
17:21:46.638467 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 19
17:21:46.648608 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 20
17:21:46.648621 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 20
17:21:46.658759 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 21
17:21:46.658773 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 21
17:21:46.668915 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 22
