18:04:13.310718 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
18:04:13.312888 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
18:04:13.321111 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
18:04:13.323281 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
18:04:13.331501 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
18:04:13.333668 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
18:04:13.341891 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
18:04:13.344014 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
18:04:13.352290 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
18:04:13.354389 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
18:04:13.362680 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
18:04:13.364783 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
18:04:13.373081 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
18:04:13.375170 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
18:04:13.383431 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
18:04:13.385560 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
18:04:13.393777 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
18:04:13.395905 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
18:04:13.404161 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
18:04:13.406272 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
18:04:13.414563 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
18:04:13.416666 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
18:04:13.424954 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
18:04:13.427053 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
18:04:13.435340 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
18:04:13.437445 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
18:04:13.445724 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
18:04:13.447914 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
18:04:13.456083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
18:04:13.458323 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
18:04:13.466429 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
18:04:13.468714 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
18:04:13.476811 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
18:04:13.479099 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
18:04:13.487204 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
18:04:13.489471 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
18:04:13.497514 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
18:04:13.499838 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
18:04:13.507907 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
18:04:13.510106 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
18:04:13.518303 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
18:04:13.520476 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
18:04:13.528699 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
18:04:13.530865 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
18:04:13.539105 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
18:04:13.541274 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
18:04:13.549508 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
18:04:13.551668 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
18:04:13.559928 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
