18:10:30.420569 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 1
18:10:30.420739 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 1
18:10:30.430724 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 2
18:10:30.430870 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 2
18:10:30.440868 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 3
18:10:30.441020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 3
18:10:30.451009 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 4
18:10:30.451162 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 4
18:10:30.461149 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 5
18:10:30.461302 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 5
18:10:30.471290 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 6
18:10:30.471442 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 6
18:10:30.481431 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 7
18:10:30.481583 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 7
18:10:30.491570 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 8
18:10:30.491725 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 8
18:10:30.501710 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 9
18:10:30.501862 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 9
18:10:30.511849 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 10
18:10:30.512002 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 10
18:10:30.521988 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 11
18:10:30.522141 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 11
18:10:30.532129 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 12
18:10:30.532282 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 12
18:10:30.542268 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 13
18:10:30.542421 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 13
18:10:30.552409 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 14
18:10:30.552563 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 14
18:10:30.562549 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 15
18:10:30.562701 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 15
18:10:30.572689 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 16
18:10:30.572842 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 16
18:10:30.582828 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 17
18:10:30.582981 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 17
18:10:30.592951 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 18
18:10:30.593104 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 18
18:10:30.603092 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 19
18:10:30.603245 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 19
18:10:30.613231 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 20
18:10:30.613384 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 20
18:10:30.623371 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 21
18:10:30.623524 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 21
18:10:30.633510 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 22
18:10:30.633663 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 22
18:10:30.643649 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 23
18:10:30.643802 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 23
18:10:30.653788 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 24
18:10:30.653941 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 24
18:10:30.663935 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 25
