18:12:32.865836 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 1
18:12:32.865938 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 1
18:12:32.875985 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 2
18:12:32.876013 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 2
18:12:32.886151 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 3
18:12:32.886167 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 3
18:12:32.896306 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 4
18:12:32.896320 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 4
18:12:32.906459 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 5
18:12:32.906472 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 5
18:12:32.916616 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 6
18:12:32.916629 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 6
18:12:32.926772 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 7
18:12:32.926786 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 7
18:12:32.936922 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 8
18:12:32.936935 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 8
18:12:32.947080 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 9
18:12:32.947094 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 9
18:12:32.957236 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 10
18:12:32.957249 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 10
18:12:32.967385 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 11
18:12:32.967398 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 11
18:12:32.977535 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 12
18:12:32.977546 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 12
18:12:32.987681 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 13
18:12:32.987694 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 13
18:12:32.997829 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 14
18:12:32.997843 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 14
18:12:33.007977 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 15
18:12:33.007989 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 15
18:12:33.018126 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 16
18:12:33.018138 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 16
18:12:33.028274 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 17
18:12:33.028287 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 17
18:12:33.038430 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 18
18:12:33.038442 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 18
18:12:33.048576 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 19
18:12:33.048589 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 19
18:12:33.058727 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 20
18:12:33.058740 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 20
18:12:33.068875 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 21
18:12:33.068888 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 21
18:12:33.079023 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 22
18:12:33.079036 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 22
18:12:33.089174 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 23
18:12:33.089187 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 23
18:12:33.099324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 24
18:12:33.099335 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 24
18:12:33.109474 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 25
18:12:33.109494 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 25
18:12:33.119627 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 26
18:12:33.119640 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 26
18:12:33.129781 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 27
18:12:33.129796 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 27
18:12:33.139934 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 28
18:12:33.139948 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 28
18:12:33.150090 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 29
18:12:33.150103 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 29
18:12:33.160240 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 30
18:12:33.160253 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 30
18:12:33.170391 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 31
18:12:33.170403 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 31
18:12:33.180544 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 32
18:12:33.180557 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 32
18:12:33.190694 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 33
18:12:33.190707 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 33
18:12:33.200844 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 34
