1455713911.7,received , 1 , 0.0317411422729, lte
1455713911.7,received , 2 , 0.0225741863251, lte
1455713911.7,received , 3 , 0.0137710571289, lte
1455713911.71,received , 4 , 0.0128960609436, lte
1455713911.72,received , 5 , 0.0146062374115, lte
1455713911.74,received , 6 , 0.015337228775, lte
1455713911.74,received , 7 , 0.0139970779419, lte
1455713911.75,received , 8 , 0.0125200748444, lte
1455713911.77,received , 9 , 0.0142159461975, lte
1455713911.77,received , 10 , 0.0129771232605, lte
1455713911.78,received , 11 , 0.0135831832886, lte
1455713911.8,received , 12 , 0.0150692462921, lte
1455713911.81,received , 13 , 0.013726234436, lte
1455713911.82,received , 14 , 0.0182318687439, lte
1455713911.82,received , 15 , 0.0122311115265, lte
1455713911.83,received , 16 , 0.012815952301, lte
1455713911.85,received , 17 , 0.0135221481323, lte
1455713911.86,received , 18 , 0.0149571895599, lte
1455713911.87,received , 19 , 0.013747215271, lte
1455713911.88,received , 1 , 0.207304000854, wifi
1455713911.88,received , 2 , 0.197884082794, wifi
1455713911.88,received , 20 , 0.0152559280396, lte
1455713911.88,received , 3 , 0.189168214798, wifi
1455713911.88,received , 4 , 0.179311037064, wifi
1455713911.88,received , 5 , 0.169301271439, wifi
1455713911.88,received , 6 , 0.159328222275, wifi
1455713911.88,received , 7 , 0.149305105209, wifi
1455713911.88,received , 8 , 0.13925909996, wifi
1455713911.88,received , 9 , 0.129208087921, wifi
1455713911.88,received , 10 , 0.119163990021, wifi
1455713911.88,received , 11 , 0.109200239182, wifi
1455713911.88,received , 12 , 0.0991551876068, wifi
1455713911.88,received , 13 , 0.0891849994659, wifi
1455713911.88,received , 14 , 0.0792050361633, wifi
1455713911.88,received , 15 , 0.0692000389099, wifi
1455713911.88,received , 16 , 0.059298992157, wifi
1455713911.88,received , 17 , 0.0492730140686, wifi
1455713911.88,received , 18 , 0.0392310619354, wifi
1455713911.88,received , 19 , 0.029247045517, wifi
1455713911.88,received , 20 , 0.0192360877991, wifi
1455713911.88,received , 21 , 0.00918793678284, wifi
1455713911.89,received , 21 , 0.0139560699463, lte
1455713911.89,received , 22 , 0.00466394424438, wifi
1455713911.9,received , 22 , 0.0127520561218, lte
1455713911.9,received , 23 , 0.00441312789917, wifi
1455713911.91,received , 23 , 0.0133590698242, lte
1455713911.91,received , 24 , 0.00464701652527, wifi
1455713911.92,received , 25 , 0.00451612472534, wifi
1455713911.92,received , 24 , 0.0148379802704, lte
1455713911.93,received , 25 , 0.0136802196503, lte
1455713911.93,received , 26 , 0.00463819503784, wifi
1455713911.94,received , 27 , 0.00449919700623, wifi
1455713911.94,received , 26 , 0.015144109726, lte
1455713911.95,received , 27 , 0.0129790306091, lte
1455713911.95,received , 28 , 0.00438690185547, wifi
1455713911.96,received , 29 , 0.00456595420837, wifi
1455713911.96,received , 28 , 0.0146479606628, lte
1455713911.97,received , 29 , 0.0133099555969, lte
1455713911.97,received , 30 , 0.00441098213196, wifi
1455713911.98,received , 30 , 0.0147480964661, lte
1455713911.98,received , 31 , 0.00446605682373, wifi
1455713911.99,received , 31 , 0.013622045517, lte
1455713911.99,received , 32 , 0.0046591758728, wifi
1455713912.0,received , 33 , 0.00446510314941, wifi
1455713912.0,received , 32 , 0.0150532722473, lte
1455713912.01,received , 33 , 0.0129039287567, lte
1455713912.01,received , 34 , 0.00475597381592, wifi
1455713912.02,received , 35 , 0.00442600250244, wifi
1455713912.02,received , 34 , 0.0147249698639, lte
1455713912.03,received , 35 , 0.0141360759735, lte
1455713912.03,received , 36 , 0.00453114509583, wifi
1455713912.04,received , 37 , 0.0045862197876, wifi
1455713912.04,received , 36 , 0.0146720409393, lte
1455713912.05,received , 37 , 0.0134980678558, lte
1455713912.05,received , 38 , 0.00437712669373, wifi
1455713912.06,received , 38 , 0.0141172409058, lte
1455713912.06,received , 39 , 0.00428915023804, wifi
1455713912.07,received , 40 , 0.00434112548828, wifi
1455713912.08,received , 39 , 0.0235280990601, lte
1455713912.08,received , 41 , 0.00439500808716, wifi
1455713912.08,received , 40 , 0.0152769088745, lte
1455713912.09,received , 41 , 0.014130115509, lte
1455713912.09,received , 42 , 0.00450897216797, wifi
1455713912.1,received , 42 , 0.0127120018005, lte
1455713912.1,received , 43 , 0.00437617301941, wifi
1455713912.11,received , 43 , 0.0133850574493, lte
1455713912.11,received , 44 , 0.00462627410889, wifi
1455713912.12,received , 45 , 0.00441312789917, wifi
