13:03:41.126500 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
13:03:41.126711 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
13:03:41.136089 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
13:03:41.139441 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
13:03:41.147970 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
13:03:41.151492 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
13:03:41.160538 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
13:03:41.163030 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
13:03:41.170905 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
13:03:41.175783 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
13:03:41.183179 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
13:03:41.188567 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
13:03:41.194834 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
13:03:41.199482 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
13:03:41.205806 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
13:03:41.212304 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
13:03:41.216400 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
13:03:41.222926 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
13:03:41.227074 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
13:03:41.233226 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
13:03:41.239564 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
13:03:41.246034 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
13:03:41.250221 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
