13:14:11.684633 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 1
13:14:11.684722 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 1
13:14:11.694760 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 2
13:14:11.694785 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 2
13:14:11.704925 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 3
13:14:11.704947 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 3
13:14:11.715087 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 4
13:14:11.715099 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 4
13:14:11.725236 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 5
13:14:11.725250 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 5
13:14:11.735388 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 6
13:14:11.735401 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 6
13:14:11.745537 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 7
13:14:11.745551 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 7
13:14:11.755691 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 8
13:14:11.755706 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 8
13:14:11.765840 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 9
13:14:11.765853 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 9
13:14:11.775991 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 10
13:14:11.776003 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 10
13:14:11.786123 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 11
13:14:11.786136 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 11
13:14:11.796260 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 12
13:14:11.796271 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 12
13:14:11.806407 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 13
13:14:11.806420 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 13
13:14:11.816557 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 14
13:14:11.816572 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 14
13:14:11.826704 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 15
13:14:11.826718 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 15
13:14:11.836856 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 16
13:14:11.836870 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 16
13:14:11.847005 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 17
13:14:11.847019 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 17
13:14:11.857155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 18
13:14:11.857169 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 18
13:14:11.867306 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 19
13:14:11.867319 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 19
13:14:11.877455 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 20
13:14:11.877469 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 20
13:14:11.887607 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 21
13:14:11.887620 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 21
13:14:11.897756 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 22
13:14:11.897770 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 22
13:14:11.907906 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 23
13:14:11.907920 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 23
13:14:11.918063 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 24
13:14:11.918074 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 24
13:14:11.928193 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 25
13:14:11.928207 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 25
13:14:11.938345 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 26
13:14:11.938358 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 26
13:14:11.948495 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 27
13:14:11.948516 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 27
13:14:11.958651 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 28
13:14:11.958667 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 28
13:14:11.968804 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 29
13:14:11.968819 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 29
13:14:11.978958 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 30
13:14:11.978974 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 30
13:14:11.989111 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 31
13:14:11.989125 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 31
13:14:11.999263 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 32
13:14:11.999274 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 32
13:14:12.009409 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 33
13:14:12.009423 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 33
