13:31:24.497805 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
13:31:24.503667 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
13:31:24.506209 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
13:31:24.506398 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
13:31:24.516354 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
13:31:24.516525 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
13:31:24.526499 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
13:31:24.526650 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
13:31:24.536642 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
13:31:24.536775 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
13:31:24.546786 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
13:31:24.546899 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
13:31:24.556927 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
13:31:24.557024 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
13:31:24.567068 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
13:31:24.567148 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
13:31:24.577210 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
13:31:24.577271 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
13:31:24.587352 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
13:31:24.587395 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
13:31:24.597494 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
13:31:24.597521 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
13:31:24.607638 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
13:31:24.607661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
13:31:24.617805 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
13:31:24.617826 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
13:31:24.627966 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
13:31:24.627980 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
13:31:24.638126 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
13:31:24.638142 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
13:31:24.648282 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
13:31:24.648298 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
13:31:24.658442 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
13:31:24.658457 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
13:31:24.668596 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
13:31:24.668613 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
13:31:24.678757 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
13:31:24.678773 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
13:31:24.688913 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
13:31:24.688933 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
13:31:24.699072 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
13:31:24.699088 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
13:31:24.709229 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
13:31:24.709244 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
13:31:24.719387 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
13:31:24.719407 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
13:31:24.729546 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
13:31:24.729563 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
13:31:24.739703 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
13:31:24.739719 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
13:31:24.749858 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
13:31:24.749874 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
13:31:24.760019 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
13:31:24.760040 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
13:31:24.770180 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
13:31:24.770199 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
13:31:24.780339 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
13:31:24.780355 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
13:31:24.790501 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
13:31:24.790514 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
13:31:24.800654 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
13:31:24.800671 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
13:31:24.810814 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
13:31:24.810831 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
13:31:24.820921 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
13:31:24.820938 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
13:31:24.831061 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
13:31:24.831077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
13:31:24.841204 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
13:31:24.841218 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
13:31:24.851368 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
13:31:24.851383 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
13:31:24.861524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
13:31:24.861540 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
13:31:24.871679 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
13:31:24.871694 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
13:31:24.881835 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
13:31:24.881853 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
