18:12:32.395780 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 1
18:12:32.396652 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 1
18:12:32.406209 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 2
18:12:32.406456 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 2
18:12:32.418521 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 3
18:12:32.418619 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 3
18:12:32.431058 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 4
18:12:32.431149 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 4
18:12:32.441990 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 5
18:12:32.444062 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 5
18:12:32.452264 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 6
18:12:32.454553 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 6
18:12:32.462885 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 7
18:12:32.466686 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 7
18:12:32.473531 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 8
18:12:32.477453 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 8
18:12:32.483890 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 9
18:12:32.488808 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 9
18:12:32.494358 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 10
18:12:32.500634 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 10
18:12:32.506952 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 11
18:12:32.511078 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 11
18:12:32.518222 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 12
18:12:32.522860 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 12
18:12:32.529796 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 13
18:12:32.533519 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 13
18:12:32.542552 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 14
18:12:32.544854 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 14
18:12:32.553342 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 15
18:12:32.556505 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 15
18:12:32.563924 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 16
18:12:32.566964 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 16
18:12:32.576740 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 17
18:12:32.578989 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 17
18:12:32.589582 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 18
18:12:32.589781 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 18
18:12:32.599970 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 19
18:12:32.600045 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 19
18:12:32.612562 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 20
18:12:32.612638 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 20
18:12:32.623128 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 21
18:12:32.623215 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 21
18:12:32.633655 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 22
18:12:32.633731 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 22
18:12:32.643937 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 23
18:12:32.644055 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 23
18:12:32.654299 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 24
18:12:32.654348 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 24
18:12:32.665067 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 25
18:12:32.665155 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 25
18:12:32.675724 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 26
18:12:32.675836 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 26
18:12:32.686195 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 27
18:12:32.686236 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 27
18:12:32.696646 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 28
18:12:32.696723 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 28
18:12:32.707877 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 29
18:12:32.707928 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 29
18:12:32.718984 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 30
18:12:32.719085 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 30
18:12:32.729385 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 31
18:12:32.729530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 31
18:12:32.740110 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 32
18:12:32.740152 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 32
18:12:32.750737 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 33
18:12:32.750833 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 33
18:12:32.763362 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 34
18:12:32.763470 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 34
18:12:32.776020 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 35
18:12:32.776121 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 35
18:12:32.786433 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
18:12:32.786492 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 36
18:12:32.797176 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
18:12:32.797241 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 37
18:12:32.807729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
18:12:32.807771 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 38
18:12:32.819053 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
18:12:32.819171 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 39
18:12:32.829552 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
18:12:32.829652 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 40
18:12:32.840351 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
18:12:32.840377 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 41
18:12:32.851989 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 42
18:12:32.852052 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
18:12:32.862246 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 43
18:12:32.862413 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
18:12:32.872801 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 44
18:12:32.872814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
18:12:32.885254 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 45
18:12:32.885349 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
18:12:32.895680 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
18:12:32.895787 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 46
18:12:32.907011 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 47
18:12:32.907063 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
18:12:32.919655 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 48
18:12:32.919713 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 48
