16:09:36.731751 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
16:09:36.741906 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
16:09:36.752052 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
16:09:36.762193 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
16:09:36.772334 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
16:09:36.782478 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
16:09:36.792621 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
16:09:36.802765 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
16:09:36.812905 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
16:09:36.823047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
16:09:36.833187 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
16:09:36.843330 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
16:09:36.853455 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
16:09:36.863580 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
16:09:36.873703 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
16:09:36.883847 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
16:09:36.893988 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
16:09:36.904131 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
16:09:36.914276 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
16:09:36.924419 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
16:09:36.934559 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
16:09:36.944702 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
16:09:36.954845 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
16:09:36.964974 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
16:09:36.975115 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
16:09:36.985259 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
16:09:36.995402 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
16:09:37.005548 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
16:09:37.015689 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
16:09:37.025828 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
16:09:37.035967 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
16:09:37.046111 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
16:09:37.056255 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
16:09:37.066397 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
16:09:37.076538 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
16:09:37.086678 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
16:09:37.096817 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
16:09:37.106959 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
16:09:37.117099 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
16:09:37.127239 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
16:09:37.137382 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
16:09:37.147522 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
16:09:37.157662 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
16:09:37.167802 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
16:09:37.177941 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
16:09:37.188084 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
16:09:37.198227 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
16:09:37.208367 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
16:09:37.218506 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
16:09:37.228645 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
16:09:37.238778 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
16:09:37.248923 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
16:09:37.259064 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
16:09:37.269204 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
16:09:37.279348 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
16:09:37.289489 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
16:09:37.299630 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
16:09:37.309774 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
16:09:37.319916 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
16:09:37.330056 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
16:09:37.340195 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
16:09:37.350338 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
16:09:37.360481 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
16:09:37.370626 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
16:09:37.380766 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
16:09:37.390910 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
16:09:37.401053 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
16:09:37.411193 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
16:09:37.421331 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
16:09:37.431472 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
