16:16:32.404038 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
16:16:32.405267 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
16:16:32.413919 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
16:16:32.414162 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
16:16:32.424062 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
16:16:32.424283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
16:16:32.434204 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
16:16:32.434404 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
16:16:32.444340 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
16:16:32.444524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
16:16:32.454477 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
16:16:32.454645 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
16:16:32.464614 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
16:16:32.464768 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
16:16:32.474752 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
16:16:32.474904 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
16:16:32.484871 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
16:16:32.485024 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
16:16:32.495008 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
16:16:32.495161 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
16:16:32.505144 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
16:16:32.505297 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
16:16:32.515280 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
16:16:32.515432 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
16:16:32.525417 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
16:16:32.525569 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
16:16:32.535553 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
16:16:32.535706 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
16:16:32.545690 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
16:16:32.545842 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
16:16:32.555825 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
16:16:32.555978 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
16:16:32.565961 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
16:16:32.566134 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
16:16:32.576097 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
16:16:32.576254 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
16:16:32.586233 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
16:16:32.586385 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
16:16:32.596369 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
16:16:32.596521 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
16:16:32.606505 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
16:16:32.606657 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
16:16:32.616625 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
16:16:32.616778 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
16:16:32.626761 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
16:16:32.626913 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
16:16:32.636896 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
16:16:32.637049 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
16:16:32.647032 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
16:16:32.647184 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
16:16:32.657168 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
16:16:32.657342 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
16:16:32.667314 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
16:16:32.667471 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
16:16:32.677459 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
16:16:32.677598 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
16:16:32.687601 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
16:16:32.687724 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
16:16:32.697743 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
16:16:32.697849 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
16:16:32.707885 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
16:16:32.707973 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
16:16:32.718026 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
16:16:32.718097 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
16:16:32.728167 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
16:16:32.728221 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
16:16:32.738309 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
16:16:32.738345 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
16:16:32.748449 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
16:16:32.748467 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
16:16:32.758592 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
16:16:32.758612 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
16:16:32.768754 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
16:16:32.768771 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
16:16:32.778910 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
16:16:32.778926 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
16:16:32.789066 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
16:16:32.789082 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
16:16:32.799221 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
16:16:32.799237 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
16:16:32.809376 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
16:16:32.809392 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
16:16:32.819530 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
16:16:32.819546 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
16:16:32.829684 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
16:16:32.829700 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
16:16:32.839842 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
16:16:32.839858 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
16:16:32.849981 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
16:16:32.849997 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
16:16:32.860120 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
16:16:32.860138 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
16:16:32.870287 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
16:16:32.870304 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
16:16:32.880449 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
16:16:32.880465 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
16:16:32.890605 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
16:16:32.890622 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
16:16:32.900761 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
16:16:32.900776 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
16:16:32.910917 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
16:16:32.910932 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
16:16:32.921081 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
16:16:32.921093 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
16:16:32.931243 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
16:16:32.931262 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
16:16:32.941402 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
16:16:32.941419 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
16:16:32.951560 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
16:16:32.951576 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
16:16:32.961717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
16:16:32.961734 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
16:16:32.971874 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
16:16:32.971890 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
16:16:32.982038 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
16:16:32.982061 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
16:16:32.992201 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
16:16:32.992219 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
16:16:33.002360 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
16:16:33.002376 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
16:16:33.012521 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
16:16:33.012537 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
16:16:33.022677 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
16:16:33.022693 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
16:16:33.032834 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
16:16:33.032849 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
16:16:33.042989 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
16:16:33.043005 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
16:16:33.053145 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
16:16:33.053161 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
16:16:33.063301 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
16:16:33.063317 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
16:16:33.073457 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
16:16:33.073472 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
16:16:33.083613 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
16:16:33.083628 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
16:16:33.093771 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
16:16:33.093785 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
16:16:33.103914 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
16:16:33.103930 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
16:16:33.114070 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
16:16:33.114089 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
16:16:33.124228 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
16:16:33.124243 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
16:16:33.134384 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
16:16:33.134400 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
16:16:33.144540 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
16:16:33.144555 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
16:16:33.154696 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
16:16:33.154711 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
16:16:33.164852 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
16:16:33.164867 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
16:16:33.174998 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
16:16:33.175012 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
16:16:33.185158 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
16:16:33.185176 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
16:16:33.195315 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
16:16:33.195332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
16:16:33.205471 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
16:16:33.205487 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
16:16:33.215628 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
16:16:33.215644 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
16:16:33.225789 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
16:16:33.225805 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
16:16:33.235949 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
16:16:33.235965 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
16:16:33.246104 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
16:16:33.246120 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
16:16:33.256259 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
16:16:33.256276 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
16:16:33.266415 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
16:16:33.266431 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
16:16:33.276575 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
16:16:33.276595 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
16:16:33.286732 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
16:16:33.286748 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
16:16:33.296888 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
16:16:33.296903 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
16:16:33.307045 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
16:16:33.307060 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
