16:59:37.942316 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
16:59:37.942755 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
16:59:38.043218 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
16:59:38.043845 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
16:59:38.144143 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
16:59:38.144680 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
16:59:38.245169 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
16:59:38.245928 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
16:59:38.346542 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
16:59:38.346949 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
16:59:38.447841 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
16:59:38.448227 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
16:59:38.549128 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
16:59:38.549509 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
16:59:38.650335 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
16:59:38.650768 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
16:59:38.751540 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
16:59:38.751920 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
16:59:38.852736 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
16:59:38.853124 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
16:59:38.953855 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
16:59:38.954257 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
16:59:39.054619 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
16:59:39.055063 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
16:59:39.155502 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
16:59:39.155594 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
