1459526377.98,received , 1 , 0.0331149101257, wifi
1459526378.04,received , 2 , 0.00114393234253, wifi
1459526378.15,received , 3 , 0.00107884407043, wifi
1459526378.16,received , 1 , 0.216526031494, lte
1459526378.18,received , 2 , 0.142697811127, lte
1459526378.21,received , 3 , 0.0666229724884, lte
1459526378.25,received , 4 , 0.00130987167358, wifi
1459526378.3,received , 4 , 0.0557160377502, lte
1459526378.35,received , 5 , 0.00168800354004, wifi
1459526378.4,received , 5 , 0.0585839748383, lte
1459526378.45,received , 6 , 0.00150489807129, wifi
1459526378.5,received , 6 , 0.0524380207062, lte
1459526378.55,received , 7 , 0.00131797790527, wifi
1459526378.59,received , 7 , 0.0468308925629, lte
1459526378.65,received , 8 , 0.00159692764282, wifi
1459526378.69,received , 8 , 0.0449438095093, lte
1459526378.75,received , 9 , 0.00125789642334, wifi
1459526378.8,received , 9 , 0.0525798797607, lte
1459526378.85,received , 10 , 0.00151586532593, wifi
1459526378.89,received , 10 , 0.039449930191, lte
1459526378.96,received , 11 , 0.00812292098999, wifi
1459526379.0,received , 11 , 0.0422217845917, lte
1459526379.06,received , 12 , 0.00115704536438, wifi
1459526379.1,received , 12 , 0.047257900238, lte
1459526379.16,received , 13 , 0.000874996185303, wifi
1459526379.2,received , 13 , 0.0475099086761, lte
1459526379.26,received , 14 , 0.00153183937073, wifi
1459526379.31,received , 14 , 0.053092956543, lte
1459526379.36,received , 15 , 0.00153374671936, wifi
1459526379.4,received , 15 , 0.0458147525787, lte
1459526379.46,received , 16 , 0.00230002403259, wifi
1459526379.51,received , 16 , 0.0498371124268, lte
1459526379.56,received , 17 , 0.00177478790283, wifi
1459526379.63,received , 17 , 0.0673468112946, lte
1459526379.66,received , 18 , 0.00136804580688, wifi
1459526379.73,received , 18 , 0.073041677475, lte
1459526379.76,received , 19 , 0.00128674507141, wifi
1459526379.82,received , 19 , 0.0576710700989, lte
1459526379.87,received , 20 , 0.00134491920471, wifi
1459526379.92,received , 20 , 0.0533728599548, lte
1459526379.97,received , 21 , 0.00132989883423, wifi
1459526380.02,received , 21 , 0.0532448291779, lte
1459526380.07,received , 22 , 0.00170278549194, wifi
1459526380.11,received , 22 , 0.0431878566742, lte
1459526380.17,received , 23 , 0.0013108253479, wifi
1459526380.23,received , 23 , 0.0593218803406, lte
1459526380.27,received , 24 , 0.00127696990967, wifi
1459526380.32,received , 24 , 0.0482370853424, lte
1459526380.37,received , 25 , 0.00179600715637, wifi
1459526380.42,received , 25 , 0.0536999702454, lte
1459526380.47,received , 26 , 0.00138783454895, wifi
1459526380.51,received , 26 , 0.037811756134, lte
1459526380.57,received , 27 , 0.00242900848389, wifi
1459526380.61,received , 27 , 0.0425939559937, lte
1459526380.68,received , 28 , 0.00759673118591, wifi
1459526380.71,received , 28 , 0.0403189659119, lte
1459526380.77,received , 29 , 0.00132894515991, wifi
1459526380.82,received , 29 , 0.0462319850922, lte
1459526380.88,received , 30 , 0.00430083274841, wifi
1459526380.92,received , 30 , 0.0424098968506, lte
1459526380.98,received , 31 , 0.00152373313904, wifi
1459526381.03,received , 31 , 0.0544140338898, lte
1459526381.08,received , 32 , 0.00565695762634, wifi
1459526381.12,received , 32 , 0.0451929569244, lte
1459526381.18,received , 33 , 0.00285792350769, wifi
1459526381.23,received , 33 , 0.0482888221741, lte
1459526381.28,received , 34 , 0.00137400627136, wifi
1459526381.32,received , 34 , 0.0461027622223, lte
1459526381.38,received , 35 , 0.00202393531799, wifi
1459526381.42,received , 35 , 0.043919801712, lte
1459526381.48,received , 36 , 0.00134706497192, wifi
1459526381.53,received , 36 , 0.0513918399811, lte
1459526381.58,received , 37 , 0.00347280502319, wifi
1459526381.62,received , 37 , 0.0383198261261, lte
1459526381.68,received , 38 , 0.00115394592285, wifi
1459526381.72,received , 38 , 0.0365216732025, lte
1459526381.78,received , 39 , 0.00134682655334, wifi
1459526381.83,received , 39 , 0.0506317615509, lte
1459526381.88,received , 40 , 0.00104284286499, wifi
1459526381.93,received , 40 , 0.042356967926, lte
1459526381.98,received , 41 , 0.00100708007812, wifi
1459526382.03,received , 41 , 0.0430717468262, lte
1459526382.09,received , 42 , 0.00371980667114, wifi
1459526382.13,received , 42 , 0.0437610149384, lte
1459526382.19,received , 43 , 0.00141382217407, wifi
1459526382.24,received , 43 , 0.0538609027863, lte
