15:14:14.703701 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:14:14.713521 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:14:14.725012 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:14:14.735933 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:14:14.746757 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:14:14.759445 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:14:14.772095 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:14:14.783068 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:14:14.795676 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:14:14.807058 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:14:14.817920 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:14:14.829047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:14:14.841390 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:14:14.854020 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:14:14.866686 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:14:14.878108 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:14:14.890765 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:14:14.903439 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
15:14:14.914627 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
15:14:14.927267 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
15:14:14.939908 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
15:14:14.952582 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
15:14:14.965248 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
15:14:14.977895 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
15:14:14.989536 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
15:14:15.000968 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
15:14:15.013571 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
15:14:15.026252 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
15:14:15.038882 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
15:14:15.051551 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
15:14:15.064207 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
15:14:15.076415 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
15:14:15.089005 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
15:14:15.100323 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
15:14:15.111611 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
15:14:15.122837 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
15:14:15.133247 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
15:14:15.144821 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
15:14:15.157491 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
15:14:15.170119 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
15:14:15.182794 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
15:14:15.193446 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
15:14:15.204721 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
15:14:15.215791 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
15:14:15.227141 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
15:14:15.237416 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
15:14:15.249952 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
15:14:15.262589 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
15:14:15.274803 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
15:14:15.287428 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
15:14:15.299197 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
15:14:15.311833 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
15:14:15.324495 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
15:14:15.335125 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
15:14:15.347385 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
15:14:15.360010 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
15:14:15.370237 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
15:14:15.382413 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
15:14:15.394092 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
15:14:15.404824 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
15:14:15.417511 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
15:14:15.428552 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
15:14:15.441128 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
15:14:15.452104 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
15:14:15.463659 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
15:14:15.476326 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
15:14:15.488973 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 67
15:14:15.500845 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 68
15:14:15.513506 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 69
15:14:15.526139 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
15:14:15.538807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
15:14:15.551156 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
