15:17:15.349509 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:17:15.360709 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:17:15.371810 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:17:15.382713 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:17:15.393645 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:17:15.404649 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:17:15.415571 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:17:15.426695 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:17:15.437438 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:17:15.448067 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:17:15.458709 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:17:15.469878 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:17:15.480699 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:17:15.491535 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:17:15.502495 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:17:15.513914 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:17:15.524908 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:17:15.536435 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
15:17:15.547454 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
15:17:15.558458 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
15:17:15.569654 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
15:17:15.580747 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
15:17:15.591829 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
15:17:15.602959 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
15:17:15.613970 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
15:17:15.625058 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
15:17:15.636323 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
15:17:15.647373 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
15:17:15.658410 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
15:17:15.669578 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
15:17:15.680608 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
15:17:15.691625 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
15:17:15.702864 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
15:17:15.713759 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
15:17:15.724651 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
15:17:15.735715 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
15:17:15.746628 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
15:17:15.757513 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
15:17:15.768297 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
15:17:15.779149 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
15:17:15.790012 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
15:17:15.800693 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
15:17:15.811989 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
15:17:15.823371 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
15:17:15.835084 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
15:17:15.846507 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
15:17:15.857938 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
15:17:15.869171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
15:17:15.880426 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
15:17:15.891781 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
15:17:15.903162 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
15:17:15.914226 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
15:17:15.925604 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
15:17:15.937297 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
15:17:15.948604 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
15:17:15.959911 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
15:17:15.971322 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
15:17:15.982377 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
15:17:15.993786 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
15:17:16.005162 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
15:17:16.016581 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
15:17:16.028131 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
15:17:16.039719 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
15:17:16.051209 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
15:17:16.062525 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
15:17:16.073933 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
15:17:16.085286 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 67
15:17:16.096670 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 68
15:17:16.108141 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 69
15:17:16.119647 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
15:17:16.130635 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
15:17:16.141819 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
15:17:16.153258 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 73
15:17:16.164691 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 74
15:17:16.175910 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 75
15:17:16.187448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 76
15:17:16.198706 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 77
15:17:16.210014 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 78
15:17:16.221283 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 79
15:17:16.232482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 80
15:17:16.243807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 81
15:17:16.255669 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 82
15:17:16.268635 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 83
15:17:16.279859 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 84
15:17:16.291054 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 85
