1457021792.46,received , 1 , 0.0646810531616, wifi
1457021792.47,received , 2 , 0.0549848079681, wifi
1457021792.47,received , 3 , 0.0469210147858, wifi
1457021792.47,received , 4 , 0.0371310710907, wifi
1457021792.47,received , 5 , 0.0272307395935, wifi
1457021792.47,received , 6 , 0.0172929763794, wifi
1457021792.47,received , 7 , 0.00741600990295, wifi
1457021792.47,received , 8 , -0.00254988670349, wifi
1457021792.47,received , 9 , -0.0125501155853, wifi
1457021792.47,received , 10 , -0.0185561180115, wifi
1457021792.48,received , 1 , 0.0787880420685, lte
1457021792.48,received , 2 , 0.0689558982849, lte
1457021792.48,received , 3 , 0.0608339309692, lte
1457021792.48,received , 4 , 0.0510330200195, lte
1457021792.48,received , 5 , 0.0411899089813, lte
1457021792.48,received , 6 , 0.0312378406525, lte
1457021792.48,received , 7 , 0.0212659835815, lte
1457021792.48,received , 8 , 0.0112597942352, lte
1457021792.48,received , 9 , 0.00129580497742, lte
1457021792.48,received , 11 , -0.0186729431152, wifi
1457021792.48,received , 10 , -0.00857591629028, lte
1457021792.49,received , 12 , -0.0185272693634, wifi
1457021792.49,received , 11 , -0.00790786743164, lte
1457021792.5,received , 12 , -0.00905919075012, lte
1457021792.51,received , 13 , -0.0156350135803, wifi
1457021792.51,received , 13 , -0.00845718383789, lte
1457021792.51,received , 14 , -0.0183470249176, wifi
1457021792.52,received , 15 , -0.0186030864716, wifi
1457021792.53,received , 14 , -0.0067720413208, lte
1457021792.53,received , 15 , -0.0120961666107, lte
1457021792.53,received , 16 , -0.0185420513153, wifi
1457021792.54,received , 17 , -0.0185191631317, wifi
1457021792.55,received , 16 , -0.00642323493958, lte
1457021792.55,received , 17 , -0.00772213935852, lte
1457021792.56,received , 18 , -0.0163159370422, wifi
1457021792.57,received , 18 , -0.00519704818726, lte
1457021792.57,received , 19 , -0.0137028694153, wifi
1457021792.57,received , 20 , -0.0185332298279, wifi
1457021792.58,received , 19 , -0.00744414329529, lte
1457021792.58,received , 20 , -0.00879907608032, lte
1457021792.59,received , 21 , -0.0163941383362, wifi
1457021792.59,received , 21 , -0.0101280212402, lte
1457021792.6,received , 22 , -0.0167939662933, wifi
1457021792.6,received , 22 , -0.00841903686523, lte
1457021792.6,received , 23 , -0.0185122489929, wifi
1457021792.62,received , 23 , -0.0076642036438, lte
1457021792.62,received , 24 , -0.0175502300262, wifi
1457021792.62,received , 24 , -0.00907397270203, lte
1457021792.62,received , 25 , -0.0186460018158, wifi
1457021792.63,received , 25 , -0.0103769302368, lte
1457021792.64,received , 26 , -0.0149419307709, wifi
1457021792.65,received , 26 , -0.0078010559082, lte
1457021792.65,received , 27 , -0.0165400505066, wifi
1457021792.65,received , 27 , -0.00996518135071, lte
1457021792.66,received , 28 , -0.0185401439667, wifi
1457021792.67,received , 28 , -0.00837111473083, lte
1457021792.67,received , 29 , -0.0185101032257, wifi
1457021792.68,received , 30 , -0.0184810161591, wifi
1457021792.68,received , 29 , -0.00789093971252, lte
1457021792.69,received , 31 , -0.0186131000519, wifi
1457021792.69,received , 30 , -0.00816512107849, lte
1457021792.7,received , 31 , -0.0084171295166, lte
1457021792.7,received , 32 , -0.0152502059937, wifi
1457021792.71,received , 33 , -0.0185451507568, wifi
1457021792.71,received , 32 , -0.0077600479126, lte
1457021792.72,received , 33 , -0.00909304618835, lte
1457021792.72,received , 34 , -0.0185680389404, wifi
1457021792.72,received , 34 , -0.0102150440216, lte
1457021792.73,received , 35 , -0.0185098648071, wifi
1457021792.74,received , 35 , -0.00873899459839, lte
