16:23:26.499088 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
16:23:26.509237 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
16:23:26.519380 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
16:23:26.529519 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
16:23:26.539658 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
16:23:26.549796 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
16:23:26.559933 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
16:23:26.570072 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
16:23:26.580209 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
16:23:26.590345 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
16:23:26.600482 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
16:23:26.610619 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
16:23:26.620756 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
16:23:26.630892 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
16:23:26.641030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
16:23:26.651168 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
16:23:26.661306 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
16:23:26.671442 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
16:23:26.681580 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
16:23:26.691717 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
16:23:26.701853 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
16:23:26.711991 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
16:23:26.722128 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
16:23:26.732265 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
16:23:26.742402 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
16:23:26.752538 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
16:23:26.762676 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
16:23:26.772812 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
16:23:26.782949 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
16:23:26.793086 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
16:23:26.803223 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
16:23:26.813360 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
16:23:26.823497 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
16:23:26.833633 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
16:23:26.843770 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
16:23:26.853907 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
16:23:26.864044 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
16:23:26.874180 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
16:23:26.884323 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
16:23:26.894462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
