1457022206.57,received , 1 , 0.0746519565582, lte
1457022206.57,received , 2 , 0.0648889541626, lte
1457022206.58,received , 3 , 0.0593838691711, lte
1457022206.58,received , 4 , 0.0494298934937, lte
1457022206.58,received , 5 , 0.039422750473, lte
1457022206.58,received , 6 , 0.0294189453125, lte
1457022206.58,received , 7 , 0.0193998813629, lte
1457022206.58,received , 8 , 0.00938081741333, lte
1457022206.58,received , 9 , -0.000638246536255, lte
1457022206.58,received , 10 , -0.0106439590454, lte
1457022206.58,received , 11 , -0.0182769298553, lte
1457022206.59,received , 12 , -0.0165212154388, lte
1457022206.6,received , 13 , -0.0188522338867, lte
1457022206.61,received , 14 , -0.0171661376953, lte
1457022206.62,received , 15 , -0.0175709724426, lte
1457022206.63,received , 16 , -0.0179352760315, lte
1457022206.64,received , 17 , -0.0182611942291, lte
1457022206.65,received , 18 , -0.0186150074005, lte
1457022206.66,received , 19 , -0.017009973526, lte
1457022206.67,received , 20 , -0.017186164856, lte
1457022206.68,received , 21 , -0.0176420211792, lte
1457022206.69,received , 22 , -0.0168220996857, lte
1457022206.7,received , 23 , -0.0163059234619, lte
1457022206.71,received , 24 , -0.0166630744934, lte
1457022206.72,received , 25 , -0.0158660411835, lte
1457022206.73,received , 26 , -0.0142240524292, lte
1457022206.74,received , 27 , -0.0174970626831, lte
1457022206.75,received , 28 , -0.0168130397797, lte
1457022206.76,received , 29 , -0.01731300354, lte
1457022206.77,received , 30 , -0.0175881385803, lte
1457022206.78,received , 31 , -0.0175521373749, lte
1457022206.79,received , 32 , -0.0180861949921, lte
1457022206.8,received , 33 , -0.0174059867859, lte
1457022206.81,received , 34 , -0.0169379711151, lte
1457022206.82,received , 35 , -0.0170772075653, lte
1457022206.83,received , 36 , -0.0174901485443, lte
1457022206.84,received , 37 , -0.0167300701141, lte
1457022206.85,received , 38 , -0.0171430110931, lte
1457022206.86,received , 39 , -0.0166492462158, lte
1457022206.87,received , 40 , -0.0168130397797, lte
1457022206.88,received , 41 , -0.0171091556549, lte
1457022206.89,received , 42 , -0.0184819698334, lte
1457022206.9,received , 43 , -0.0177490711212, lte
1457022206.91,received , 44 , -0.0182030200958, lte
1457022206.92,received , 45 , -0.0174150466919, lte
1457022206.93,received , 46 , -0.0177800655365, lte
1457022206.94,received , 47 , -0.0170862674713, lte
1457022206.95,received , 48 , -0.0174381732941, lte
1457022206.96,received , 49 , -0.0178570747375, lte
1457022206.98,received , 50 , -0.0171980857849, lte
1457022206.99,received , 51 , -0.0163521766663, lte
1457022207.0,received , 52 , -0.0168061256409, lte
1457022207.01,received , 53 , -0.0171091556549, lte
1457022207.02,received , 54 , -0.0175309181213, lte
1457022207.03,received , 55 , -0.0178592205048, lte
1457022207.04,received , 56 , -0.0181391239166, lte
1457022207.05,received , 57 , -0.016529083252, lte
1457022207.05,received , 58 , -0.0187780857086, lte
1457022207.07,received , 59 , -0.0171902179718, lte
1457022207.08,received , 60 , -0.0174419879913, lte
1457022207.09,received , 61 , -0.0177750587463, lte
1457022207.1,received , 62 , -0.0180139541626, lte
1457022207.11,received , 63 , -0.0183670520782, lte
1457022207.12,received , 64 , -0.0186340808868, lte
1457022207.13,received , 65 , -0.017098903656, lte
1457022207.14,received , 66 , -0.0174360275269, lte
1457022207.15,received , 67 , -0.0177099704742, lte
1457022207.16,received , 68 , -0.0180130004883, lte
1457022207.17,received , 69 , -0.017421245575, lte
1457022207.18,received , 70 , -0.0167050361633, lte
1457022207.19,received , 71 , -0.016902923584, lte
1457022207.2,received , 72 , -0.0114510059357, lte
1457022207.21,received , 73 , -0.0186562538147, lte
1457022207.22,received , 74 , -0.0169911384583, lte
1457022207.23,received , 75 , -0.0172820091248, lte
