16:27:38.228047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
16:27:38.238194 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
16:27:38.248333 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
16:27:38.258472 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
16:27:38.268609 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
16:27:38.278753 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
16:27:38.288891 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
16:27:38.299030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
16:27:38.309167 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
16:27:38.319304 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
16:27:38.329441 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
16:27:38.339578 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
16:27:38.349716 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
16:27:38.359854 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
16:27:38.369991 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
16:27:38.380127 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
16:27:38.390264 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
16:27:38.400401 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
16:27:38.410538 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
16:27:38.420679 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
16:27:38.430819 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
16:27:38.440957 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
16:27:38.451094 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
16:27:38.461230 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
16:27:38.471366 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
16:27:38.481503 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
16:27:38.491639 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
16:27:38.501775 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
16:27:38.511911 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
16:27:38.522047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
16:27:38.532183 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
16:27:38.542319 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
16:27:38.552456 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
16:27:38.562592 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
16:27:38.572729 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
16:27:38.582865 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
16:27:38.593002 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
16:27:38.603138 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
