05:29:17.242429 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
05:29:17.246491 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
05:29:17.254993 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
05:29:17.256482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
05:29:17.267569 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
05:29:17.267855 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
05:29:17.278369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
05:29:17.278446 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
05:29:17.289841 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
05:29:17.289892 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
05:29:17.300251 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
05:29:17.300357 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
05:29:17.310815 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
05:29:17.310895 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
05:29:17.323459 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
05:29:17.323537 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
05:29:17.335686 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
05:29:17.335759 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
05:29:17.346250 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
05:29:17.346421 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
05:29:17.358602 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
05:29:17.358711 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
05:29:17.371237 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
05:29:17.371332 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
05:29:17.383930 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
05:29:17.383989 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
05:29:17.396515 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
05:29:17.396557 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
05:29:17.407182 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
05:29:17.407265 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
05:29:17.419292 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
05:29:17.419398 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
05:29:17.429870 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
05:29:17.429977 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
05:29:17.440586 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
05:29:17.440674 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
05:29:17.453478 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
05:29:17.453598 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
05:29:17.466369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
05:29:17.466487 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
05:29:17.478403 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
05:29:17.478515 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
05:29:17.491307 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
05:29:17.491388 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
05:29:17.501565 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
05:29:17.501676 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
05:29:17.514442 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
05:29:17.514524 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
