1455946423.45,received , 1 , 0.286669015884, lte
1455946423.57,received , 2 , 0.392019033432, lte
1455946423.65,received , 3 , 0.459535121918, lte
1455946423.71,received , 4 , 0.507348775864, lte
1455946423.75,received , 5 , 0.542289972305, lte
1455946423.79,received , 6 , 0.560431957245, lte
1455946423.81,received , 7 , 0.574690103531, lte
1455946423.84,received , 8 , 0.58577299118, lte
1455946423.86,received , 9 , 0.602466106415, lte
1455946423.9,received , 10 , 0.629549980164, lte
1455946423.95,received , 11 , 0.658669948578, lte
1455946423.98,received , 12 , 0.679880857468, lte
1455946424.02,received , 13 , 0.709049940109, lte
1455946424.08,received , 14 , 0.750360012054, lte
1455946424.12,received , 15 , 0.780292034149, lte
1455946424.16,received , 16 , 0.80934882164, lte
1455946424.19,received , 17 , 0.82333612442, lte
1455946424.21,received , 18 , 0.835539102554, lte
1455946424.24,received , 19 , 0.847669124603, lte
1455946424.27,received , 20 , 0.864836931229, lte
1455946424.28,received , 21 , 0.870054960251, lte
1455946424.31,received , 22 , 0.881274938583, lte
1455946424.34,received , 23 , 0.89749789238, lte
1455946424.35,received , 24 , 0.902813911438, lte
1455946424.38,received , 25 , 0.916155099869, lte
1455946424.4,received , 26 , 0.926522016525, lte
1455946424.43,received , 27 , 0.935931921005, lte
1455946424.45,received , 28 , 0.943362951279, lte
1455946424.47,received , 29 , 0.960945129395, lte
1455946424.49,received , 30 , 0.965078115463, lte
1455946424.51,received , 31 , 0.97138094902, lte
1455946424.53,received , 32 , 0.976765871048, lte
1455946424.54,received , 33 , 0.982511043549, lte
1455946424.56,received , 34 , 0.988533973694, lte
1455946424.58,received , 35 , 0.992822170258, lte
1455946424.59,received , 36 , 0.995438814163, lte
1455946424.61,received , 37 , 1.0011639595, lte
1455946424.62,received , 38 , 1.00061011314, lte
1455946424.64,received , 39 , 1.00996303558, lte
1455946424.65,received , 40 , 1.01127696037, lte
1455946424.67,received , 41 , 1.02143597603, lte
1455946424.68,received , 42 , 1.02001810074, lte
1455946424.7,received , 43 , 1.02343010902, lte
1455946424.71,received , 44 , 1.01872611046, lte
1455946424.72,received , 45 , 1.01840496063, lte
1455946424.74,received , 46 , 1.02626490593, lte
1455946424.75,received , 47 , 1.0299911499, lte
1455946424.76,received , 48 , 1.02532815933, lte
1455946424.77,received , 49 , 1.02566885948, lte
1455946424.78,received , 50 , 1.02722096443, lte
1455946424.8,received , 51 , 1.02732515335, lte
1455946424.81,received , 52 , 1.02613306046, lte
1455946424.82,received , 53 , 1.02724790573, lte
1455946424.83,received , 54 , 1.02543902397, lte
1455946424.84,received , 55 , 1.02584886551, lte
1455946424.86,received , 56 , 1.02730917931, lte
1455946424.87,received , 57 , 1.02883887291, lte
1455946424.88,received , 58 , 1.02704405785, lte
1455946424.89,received , 59 , 1.02525401115, lte
1455946424.9,received , 60 , 1.02352881432, lte
1455946424.92,received , 61 , 1.03221487999, lte
1455946424.93,received , 62 , 1.0344350338, lte
1455946424.94,received , 63 , 1.03361010551, lte
1455946424.95,received , 64 , 1.0270960331, lte
1455946424.96,received , 65 , 1.02768111229, lte
1455946424.97,received , 66 , 1.02773594856, lte
1455946424.98,received , 67 , 1.0258409977, lte
1455946424.99,received , 68 , 1.02636504173, lte
