05:34:57.061026 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
05:34:57.070931 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
05:34:57.081368 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
05:34:57.092191 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
05:34:57.102837 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
05:34:57.113704 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
05:34:57.124024 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
05:34:57.134247 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
05:34:57.144828 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
05:34:57.155028 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
05:34:57.167801 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
05:34:57.180577 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
05:34:57.191466 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
05:34:57.204255 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
05:34:57.217090 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
05:34:57.227444 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
05:34:57.238409 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
05:34:57.249119 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
05:34:57.259362 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
05:34:57.272148 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
05:34:57.282528 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
05:34:57.295321 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
