13:46:46.389902 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
13:46:46.400718 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
13:46:46.411435 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
13:46:46.422159 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
13:46:46.432901 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
13:46:46.443889 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
13:46:46.454642 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
13:46:46.465394 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
13:46:46.476171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
13:46:46.486960 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
13:46:46.497761 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
13:46:46.508462 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
13:46:46.519194 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
13:46:46.529958 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
13:46:46.540695 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
13:46:46.551430 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
13:46:46.562191 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
13:46:46.572989 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
13:46:46.583729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
13:46:46.594457 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
13:46:46.605214 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
13:46:46.615970 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
13:46:46.626926 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
13:46:46.637780 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
13:46:46.648620 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
13:46:46.659610 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
13:46:46.670519 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
13:46:46.681293 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
13:46:46.691985 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
13:46:46.702782 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
13:46:46.713606 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
13:46:46.724376 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
13:46:46.735450 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
13:46:46.746289 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
13:46:46.757088 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
13:46:46.767831 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
13:46:46.778600 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
13:46:46.789077 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
13:46:46.799690 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
13:46:46.810593 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
13:46:46.821057 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
13:46:46.831608 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
13:46:46.842235 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
13:46:46.852858 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
13:46:46.863501 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
