15:47:56.439998 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
15:47:56.440201 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
15:47:56.450148 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
15:47:56.450335 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
15:47:56.460291 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
15:47:56.460463 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
15:47:56.470434 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
15:47:56.470589 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
15:47:56.480576 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
15:47:56.480714 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
15:47:56.490717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
15:47:56.490838 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
15:47:56.500858 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
15:47:56.500963 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
15:47:56.510999 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
15:47:56.511087 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
15:47:56.521141 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
15:47:56.521212 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
15:47:56.531265 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
15:47:56.531336 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
15:47:56.541406 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
15:47:56.541460 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
15:47:56.551546 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
15:47:56.551587 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
15:47:56.561688 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
15:47:56.561709 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
15:47:56.571832 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
15:47:56.571853 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
15:47:56.581995 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
15:47:56.582011 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
15:47:56.592152 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
15:47:56.592168 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
15:47:56.602308 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
15:47:56.602324 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
15:47:56.612463 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
15:47:56.612477 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
15:47:56.622617 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
15:47:56.622633 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
15:47:56.632773 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
15:47:56.632789 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
15:47:56.642928 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
15:47:56.642944 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
15:47:56.653083 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
15:47:56.653101 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
15:47:56.663241 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
15:47:56.663256 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
15:47:56.673397 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
15:47:56.673412 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
15:47:56.683552 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
15:47:56.683568 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
15:47:56.693707 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
15:47:56.693726 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
15:47:56.703869 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
15:47:56.703890 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
15:47:56.714029 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
15:47:56.714046 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
15:47:56.724187 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
15:47:56.724203 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
15:47:56.734348 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
15:47:56.734364 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
15:47:56.744505 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
15:47:56.744521 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
15:47:56.754661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
15:47:56.754677 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
15:47:56.764818 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
15:47:56.764833 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
15:47:56.774974 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
15:47:56.774987 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
15:47:56.785132 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
15:47:56.785148 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
15:47:56.795289 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
15:47:56.795305 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
15:47:56.805442 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
15:47:56.805458 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
15:47:56.815598 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
15:47:56.815614 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
15:47:56.825754 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
15:47:56.825769 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
15:47:56.835910 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
15:47:56.835925 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
15:47:56.846064 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
15:47:56.846080 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
15:47:56.856220 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
15:47:56.856235 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
15:47:56.866375 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
15:47:56.866390 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
15:47:56.876513 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
15:47:56.876529 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
15:47:56.886669 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
15:47:56.886684 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
15:47:56.896825 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
15:47:56.896838 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
15:47:56.906978 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
15:47:56.906993 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
15:47:56.917134 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
15:47:56.917150 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
15:47:56.927293 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
15:47:56.927309 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
15:47:56.937455 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
15:47:56.937470 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
15:47:56.947611 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
15:47:56.947627 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
15:47:56.957773 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
15:47:56.957787 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
15:47:56.967932 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
15:47:56.967949 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
15:47:56.978089 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
15:47:56.978105 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
15:47:56.988245 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
15:47:56.988261 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
15:47:56.998401 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
15:47:56.998417 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
15:47:57.008557 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
15:47:57.008573 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
15:47:57.018713 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
15:47:57.018729 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
15:47:57.028870 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
15:47:57.028885 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
15:47:57.039027 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
15:47:57.039042 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
15:47:57.049183 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
15:47:57.049202 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
15:47:57.059340 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
15:47:57.059355 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
15:47:57.069496 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
15:47:57.069511 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
15:47:57.079651 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
15:47:57.079667 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
15:47:57.089807 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
15:47:57.089822 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
15:47:57.099962 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
15:47:57.099977 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
15:47:57.110117 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
15:47:57.110133 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
15:47:57.120273 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
15:47:57.120288 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
15:47:57.130429 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
15:47:57.130444 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
15:47:57.140610 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
15:47:57.140626 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
15:47:57.150768 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
15:47:57.150783 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
15:47:57.160923 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
15:47:57.160938 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
15:47:57.171078 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
15:47:57.171097 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
15:47:57.181235 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
15:47:57.181250 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
15:47:57.191391 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
15:47:57.191406 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
15:47:57.201530 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
15:47:57.201546 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
15:47:57.211677 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
15:47:57.211691 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
15:47:57.221824 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
15:47:57.221837 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
15:47:57.231982 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
15:47:57.231999 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
15:47:57.242139 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
15:47:57.242155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
15:47:57.252295 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
15:47:57.252311 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
15:47:57.262433 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
15:47:57.262449 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
15:47:57.272588 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
15:47:57.272604 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
15:47:57.282744 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
15:47:57.282760 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
15:47:57.292900 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
15:47:57.292916 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
15:47:57.303055 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
15:47:57.303071 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
15:47:57.313213 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
15:47:57.313228 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
15:47:57.323368 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
15:47:57.323383 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
15:47:57.333523 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
15:47:57.333541 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
15:47:57.343680 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
15:47:57.343702 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
15:47:57.353841 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 91
15:47:57.353859 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
15:47:57.363999 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 92
15:47:57.364015 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
15:47:57.374156 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 93
15:47:57.374173 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
15:47:57.384316 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 94
15:47:57.384332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
15:47:57.394472 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 95
15:47:57.394488 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
15:47:57.404627 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 96
15:47:57.404643 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
15:47:57.414783 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 97
15:47:57.414799 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
15:47:57.424938 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 98
15:47:57.424954 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
15:47:57.435094 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 99
15:47:57.435113 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
15:47:57.445253 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 100
15:47:57.445269 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
15:47:57.455408 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 101
15:47:57.455426 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
15:47:57.465549 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 102
15:47:57.465563 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
15:47:57.475709 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
15:47:57.475729 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 103
15:47:57.485852 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
15:47:57.485869 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 104
15:47:57.496011 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
15:47:57.496027 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 105
15:47:57.506167 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
15:47:57.506183 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 106
15:47:57.516325 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
15:47:57.516340 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 107
15:47:57.526481 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
15:47:57.526496 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 108
15:47:57.536638 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
15:47:57.536654 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 109
15:47:57.546793 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
15:47:57.546808 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 110
15:47:57.556954 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
15:47:57.556969 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 111
15:47:57.567109 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
15:47:57.567127 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 112
15:47:57.577265 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
15:47:57.577283 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 113
15:47:57.587423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
15:47:57.587439 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 114
15:47:57.597580 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 115
15:47:57.597596 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 115
15:47:57.607736 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 116
15:47:57.607751 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 116
15:47:57.617892 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 117
15:47:57.617907 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 117
15:47:57.628048 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 118
15:47:57.628064 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 118
15:47:57.638203 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 119
15:47:57.638217 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 119
15:47:57.648357 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 120
15:47:57.648373 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 120
15:47:57.658513 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 121
15:47:57.658530 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 121
15:47:57.668669 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 122
15:47:57.668685 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 122
15:47:57.678826 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 123
15:47:57.678841 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 123
15:47:57.688986 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 124
15:47:57.689002 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 124
15:47:57.699145 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 125
15:47:57.699164 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 125
15:47:57.709304 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 126
15:47:57.709321 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 126
15:47:57.719461 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 127
15:47:57.719476 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 127
15:47:57.729620 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 128
15:47:57.729641 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 128
15:47:57.739780 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 129
15:47:57.739797 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 129
15:47:57.749935 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 130
15:47:57.749951 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 130
15:47:57.760090 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 131
15:47:57.760105 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 131
15:47:57.770245 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 132
15:47:57.770260 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 132
