1457797676.49,received , 1 , 0.0642561912537, lte
1457797676.5,received , 2 , 0.0553860664368, lte
1457797676.5,received , 3 , 0.0459659099579, lte
1457797676.5,received , 4 , 0.0365061759949, lte
1457797676.5,received , 5 , 0.0272672176361, lte
1457797676.5,received , 6 , 0.0192949771881, lte
1457797676.5,received , 7 , 0.0125720500946, lte
1457797676.51,received , 8 , 0.010929107666, lte
1457797676.52,received , 9 , 0.0102789402008, lte
1457797676.53,received , 10 , 0.012050151825, lte
1457797676.54,received , 11 , 0.0129702091217, lte
1457797676.55,received , 12 , 0.012836933136, lte
1457797676.56,received , 1 , 0.12930393219, wifi
1457797676.56,received , 2 , 0.119369983673, wifi
1457797676.56,received , 3 , 0.109443902969, wifi
1457797676.56,received , 4 , 0.0995869636536, wifi
1457797676.56,received , 5 , 0.0896561145782, wifi
1457797676.56,received , 6 , 0.0797171592712, wifi
1457797676.56,received , 7 , 0.0697960853577, wifi
1457797676.56,received , 8 , 0.0598680973053, wifi
1457797676.56,received , 9 , 0.0499370098114, wifi
1457797676.56,received , 10 , 0.040027141571, wifi
1457797676.56,received , 11 , 0.0300860404968, wifi
1457797676.56,received , 13 , 0.00991010665894, lte
1457797676.56,received , 12 , 0.0205919742584, wifi
1457797676.56,received , 13 , 0.0107271671295, wifi
1457797676.57,received , 14 , 0.002934217453, wifi
1457797676.57,received , 14 , 0.0103380680084, lte
1457797676.58,received , 15 , 0.00310730934143, wifi
1457797676.58,received , 15 , 0.00942206382751, lte
1457797676.59,received , 16 , 0.00318503379822, wifi
1457797676.59,received , 16 , 0.0123488903046, lte
1457797676.6,received , 17 , 0.00310111045837, wifi
1457797676.6,received , 17 , 0.0121579170227, lte
1457797676.61,received , 18 , 0.0032160282135, wifi
1457797676.61,received , 18 , 0.00887298583984, lte
1457797676.62,received , 19 , 0.00327610969543, wifi
1457797676.62,received , 19 , 0.0118951797485, lte
1457797676.63,received , 20 , 0.00318002700806, wifi
1457797676.63,received , 20 , 0.0116991996765, lte
1457797676.64,received , 21 , 0.00321507453918, wifi
1457797676.65,received , 21 , 0.0125691890717, lte
1457797676.65,received , 22 , 0.00330495834351, wifi
1457797676.65,received , 22 , 0.00824213027954, lte
1457797676.66,received , 23 , 0.00317311286926, wifi
1457797676.67,received , 23 , 0.0135700702667, lte
1457797676.67,received , 24 , 0.00442910194397, wifi
1457797676.68,received , 25 , 0.00369811058044, wifi
1457797676.68,received , 24 , 0.015340089798, lte
1457797676.69,received , 25 , 0.0134379863739, lte
1457797676.69,received , 26 , 0.00419020652771, wifi
1457797676.7,received , 27 , 0.00315523147583, wifi
