15:52:25.863537 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:52:25.865826 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
15:52:25.874697 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:52:25.876715 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
15:52:25.885894 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:52:25.887545 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
15:52:25.897099 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:52:25.898395 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
15:52:25.908268 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:52:25.909306 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
15:52:25.919494 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:52:25.920171 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
15:52:25.931254 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
15:52:25.932108 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:52:25.942190 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
15:52:25.943167 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:52:25.953044 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
15:52:25.954128 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:52:25.963868 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
15:52:25.965086 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:52:25.974720 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
15:52:25.976046 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:52:25.985995 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
15:52:25.987191 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:52:25.996921 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
15:52:25.998512 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:52:26.007813 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
15:52:26.009884 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:52:26.019091 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
15:52:26.022496 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:52:26.030164 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
15:52:26.033700 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:52:26.041016 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
15:52:26.044883 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:52:26.052074 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
15:52:26.055894 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
15:52:26.063439 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
15:52:26.066925 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
15:52:26.074164 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
15:52:26.077587 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
15:52:26.084620 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
15:52:26.087988 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
15:52:26.094938 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
15:52:26.098351 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
15:52:26.105234 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
15:52:26.108696 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
15:52:26.115533 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
15:52:26.119335 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
15:52:26.125832 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
15:52:26.130256 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
15:52:26.136805 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
15:52:26.141289 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
15:52:26.147654 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
15:52:26.154794 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
15:52:26.158503 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
15:52:26.166230 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
15:52:26.169328 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
15:52:26.177442 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
15:52:26.180172 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
15:52:26.188617 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
15:52:26.190990 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
15:52:26.199814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
15:52:26.201991 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
15:52:26.210997 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
15:52:26.213200 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
15:52:26.222273 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
15:52:26.224017 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
15:52:26.233471 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
15:52:26.234863 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
15:52:26.244634 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
15:52:26.245676 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
15:52:26.255835 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
15:52:26.256546 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
15:52:26.267201 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
15:52:26.267571 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
15:52:26.278442 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
15:52:26.278817 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
15:52:26.291738 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
15:52:26.292661 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
15:52:26.303849 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
15:52:26.304588 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
15:52:26.315963 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
15:52:26.316613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
15:52:26.327614 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
15:52:26.328257 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
15:52:26.338917 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
15:52:26.339544 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
15:52:26.350211 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
15:52:26.350841 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
15:52:26.361500 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
15:52:26.362637 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
15:52:26.373317 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
15:52:26.373971 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
15:52:26.384580 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
15:52:26.385202 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
15:52:26.395875 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
15:52:26.396498 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
15:52:26.407141 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
15:52:26.407763 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
15:52:26.418449 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
15:52:26.419105 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
15:52:26.429736 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
15:52:26.430378 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
15:52:26.441040 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
15:52:26.441669 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
15:52:26.452420 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
15:52:26.453249 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
15:52:26.463408 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
15:52:26.464254 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
15:52:26.474452 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
15:52:26.475292 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
15:52:26.485468 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
15:52:26.486285 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
15:52:26.496634 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
15:52:26.497416 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
15:52:26.508107 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
15:52:26.509367 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
15:52:26.519440 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
15:52:26.520392 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
15:52:26.530329 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
15:52:26.531586 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
15:52:26.541179 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
15:52:26.542550 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
15:52:26.552188 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
15:52:26.553381 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
15:52:26.563071 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
15:52:26.564239 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 64
15:52:26.573984 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
15:52:26.575074 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 65
15:52:26.584906 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
15:52:26.585890 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 66
15:52:26.596021 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
15:52:26.596889 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 67
