1457799757.73,received , 1 , -0.0116679668427, wifi
1457799757.73,received , 2 , -0.018611907959, wifi
1457799757.74,received , 3 , -0.0241270065308, wifi
1457799757.75,received , 4 , -0.0249350070953, wifi
1457799757.76,received , 5 , -0.0227398872375, wifi
1457799757.77,received , 6 , -0.0258190631866, wifi
1457799757.78,received , 7 , -0.0232360363007, wifi
1457799757.79,received , 8 , -0.0262789726257, wifi
1457799757.81,received , 9 , -0.0218470096588, wifi
1457799757.82,received , 10 , -0.0230391025543, wifi
1457799757.84,received , 11 , -0.012001991272, wifi
1457799757.86,received , 12 , -0.00373005867004, wifi
1457799757.86,received , 1 , 0.123802900314, lte
1457799757.86,received , 13 , -0.0141320228577, wifi
1457799757.87,received , 2 , 0.114207029343, lte
1457799757.87,received , 3 , 0.108135938644, lte
1457799757.87,received , 14 , -0.0126841068268, wifi
1457799757.88,received , 15 , -0.0235741138458, wifi
1457799757.88,received , 4 , 0.101722955704, lte
1457799757.88,received , 5 , 0.0953447818756, lte
1457799757.88,received , 6 , 0.0881819725037, lte
1457799757.89,received , 7 , 0.0819561481476, lte
1457799757.89,received , 16 , -0.0199592113495, wifi
1457799757.89,received , 8 , 0.0753359794617, lte
1457799757.9,received , 9 , 0.068473815918, lte
1457799757.9,received , 17 , -0.0206940174103, wifi
1457799757.9,received , 10 , 0.0611877441406, lte
1457799757.91,received , 18 , -0.020975112915, wifi
1457799757.91,received , 11 , 0.0589289665222, lte
1457799757.91,received , 12 , 0.0483491420746, lte
1457799757.92,received , 13 , 0.0398290157318, lte
1457799757.92,received , 19 , -0.0221161842346, wifi
1457799757.92,received , 14 , 0.0335569381714, lte
1457799757.93,received , 15 , 0.027232170105, lte
1457799757.93,received , 20 , -0.0225620269775, wifi
1457799757.93,received , 16 , 0.0212388038635, lte
1457799757.94,received , 17 , 0.0151748657227, lte
1457799757.94,received , 18 , 0.00928592681885, lte
1457799757.94,received , 21 , -0.0236210823059, wifi
1457799757.94,received , 19 , 0.00221586227417, lte
1457799757.95,received , 20 , -0.00430107116699, lte
1457799757.95,received , 21 , -0.0113210678101, lte
1457799757.96,received , 22 , -0.0204589366913, wifi
1457799757.96,received , 22 , -0.0181820392609, lte
1457799757.96,received , 23 , -0.0234179496765, wifi
1457799757.98,received , 24 , -0.0241119861603, wifi
1457799757.98,received , 23 , -0.0100650787354, lte
1457799757.99,received , 25 , -0.023108959198, wifi
1457799758.0,received , 26 , -0.0241389274597, wifi
1457799758.01,received , 24 , 0.00552296638489, lte
1457799758.01,received , 25 , -0.00133013725281, lte
1457799758.01,received , 27 , -0.02068400383, wifi
1457799758.02,received , 26 , -0.00655794143677, lte
1457799758.02,received , 28 , -0.0220432281494, wifi
1457799758.02,received , 27 , -0.0105359554291, lte
1457799758.03,received , 29 , -0.0244319438934, wifi
1457799758.03,received , 28 , -0.0145089626312, lte
1457799758.04,received , 29 , -0.0122089385986, lte
1457799758.05,received , 30 , -0.0240268707275, wifi
1457799758.06,received , 31 , -0.025022983551, wifi
1457799758.06,received , 30 , -0.00676822662354, lte
1457799758.07,received , 32 , -0.0218169689178, wifi
1457799758.08,received , 31 , -0.0073709487915, lte
1457799758.08,received , 32 , -0.0120358467102, lte
1457799758.08,received , 33 , -0.0206809043884, wifi
1457799758.09,received , 33 , -0.0159311294556, lte
1457799758.09,received , 34 , -0.0194840431213, wifi
1457799758.1,received , 35 , -0.0202910900116, wifi
1457799758.11,received , 34 , -0.00879907608032, lte
1457799758.11,received , 36 , -0.0226969718933, wifi
1457799758.12,received , 35 , -0.00883412361145, lte
1457799758.12,received , 37 , -0.0226678848267, wifi
1457799758.12,received , 36 , -0.0120820999146, lte
1457799758.13,received , 37 , -0.0165960788727, lte
1457799758.13,received , 38 , -0.0213029384613, wifi
1457799758.14,received , 39 , -0.0214660167694, wifi
1457799758.15,received , 38 , -0.0109770298004, lte
1457799758.15,received , 40 , -0.0240049362183, wifi
1457799758.16,received , 39 , -0.0110518932343, lte
1457799758.16,received , 40 , -0.0134401321411, lte
1457799758.16,received , 41 , -0.0227661132812, wifi
1457799758.17,received , 42 , -0.0237650871277, wifi
1457799758.18,received , 41 , -0.00634121894836, lte
1457799758.19,received , 43 , -0.0225269794464, wifi
1457799758.19,received , 42 , -0.0074360370636, lte
1457799758.2,received , 44 , -0.0234439373016, wifi
1457799758.2,received , 43 , -0.0117311477661, lte
1457799758.2,received , 44 , -0.0173919200897, lte
1457799758.21,received , 45 , -0.020072221756, wifi
1457799758.22,received , 46 , -0.0230920314789, wifi
1457799758.22,received , 45 , -0.0112590789795, lte
1457799758.23,received , 47 , -0.0240299701691, wifi
1457799758.23,received , 46 , -0.0123159885406, lte
1457799758.24,received , 47 , -0.0151081085205, lte
1457799758.24,received , 48 , -0.0228662490845, wifi
1457799758.25,received , 49 , -0.0234711170197, wifi
1457799758.26,received , 48 , -0.00916910171509, lte
1457799758.26,received , 50 , -0.0244278907776, wifi
1457799758.27,received , 49 , -0.00960803031921, lte
1457799758.27,received , 51 , -0.0232300758362, wifi
1457799758.27,received , 50 , -0.0143308639526, lte
1457799758.29,received , 52 , -0.0198578834534, wifi
1457799758.29,received , 51 , -0.00930094718933, lte
1457799758.29,received , 53 , -0.0229671001434, wifi
1457799758.3,received , 52 , -0.0102698802948, lte
1457799758.3,received , 54 , -0.0237579345703, wifi
1457799758.31,received , 53 , -0.0131559371948, lte
1457799758.32,received , 55 , -0.0204319953918, wifi
1457799758.32,received , 54 , -0.0124461650848, lte
1457799758.32,received , 56 , -0.025475025177, wifi
1457799758.33,received , 55 , -0.0130429267883, lte
1457799758.34,received , 57 , -0.0218570232391, wifi
1457799758.34,received , 56 , -0.0102272033691, lte
1457799758.35,received , 58 , -0.0225780010223, wifi
1457799758.35,received , 57 , -0.0111148357391, lte
1457799758.36,received , 58 , -0.0170700550079, lte
1457799758.36,received , 59 , -0.021409034729, wifi
1457799758.37,received , 60 , -0.0222239494324, wifi
1457799758.38,received , 59 , -0.0113079547882, lte
1457799758.38,received , 61 , -0.0231759548187, wifi
1457799758.39,received , 60 , -0.0123200416565, lte
1457799758.39,received , 62 , -0.0238060951233, wifi
1457799758.39,received , 61 , -0.0146539211273, lte
1457799758.4,received , 63 , -0.0245959758759, wifi
1457799758.41,received , 64 , -0.0255489349365, wifi
1457799758.41,received , 62 , -0.00814914703369, lte
1457799758.42,received , 63 , -0.012412071228, lte
1457799758.42,received , 64 , -0.0192160606384, lte
1457799758.42,received , 65 , -0.0245370864868, wifi
1457799758.44,received , 66 , -0.0233700275421, wifi
1457799758.44,received , 65 , -0.0101249217987, lte
1457799758.44,received , 67 , -0.0246689319611, wifi
1457799758.45,received , 66 , -0.0110430717468, lte
1457799758.46,received , 67 , -0.0160970687866, lte
