18:20:12.342126 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
18:20:12.342996 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
18:20:12.354766 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
18:20:12.354863 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
18:20:12.365856 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
18:20:12.365933 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
18:20:12.376614 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
18:20:12.376673 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
18:20:12.387718 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
18:20:12.387831 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
18:20:12.398975 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
18:20:12.399102 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
18:20:12.411625 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
18:20:12.411718 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
18:20:12.422756 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
18:20:12.422815 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
18:20:12.435355 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
18:20:12.435458 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
18:20:12.448016 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
18:20:12.448126 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
18:20:12.458377 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
18:20:12.458422 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
18:20:12.468665 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
18:20:12.468744 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
