1457806812.35,received , 1 , 0.0134379863739, wifi
1457806812.36,received , 2 , 0.0127990245819, wifi
1457806812.37,received , 3 , 0.0127999782562, wifi
1457806812.38,received , 4 , 0.0128920078278, wifi
1457806812.39,received , 5 , 0.0128061771393, wifi
1457806812.4,received , 6 , 0.0127210617065, wifi
1457806812.42,received , 7 , 0.0126900672913, wifi
1457806812.43,received , 8 , 0.0127861499786, wifi
1457806812.44,received , 9 , 0.0126831531525, wifi
1457806812.45,received , 10 , 0.0126700401306, wifi
1457806812.46,received , 11 , 0.0126700401306, wifi
1457806812.47,received , 12 , 0.0126750469208, wifi
1457806812.49,received , 13 , 0.0126721858978, wifi
1457806812.5,received , 14 , 0.0126302242279, wifi
1457806812.51,received , 15 , 0.0126249790192, wifi
1457806812.52,received , 16 , 0.0126569271088, wifi
1457806812.54,received , 17 , 0.0130779743195, wifi
1457806812.55,received , 18 , 0.0126321315765, wifi
1457806812.55,received , 1 , 0.217617988586, lte
1457806812.56,received , 19 , 0.0126371383667, wifi
1457806812.57,received , 20 , 0.0126292705536, wifi
1457806812.59,received , 21 , 0.0126490592957, wifi
1457806812.6,received , 22 , 0.0126569271088, wifi
1457806812.61,received , 23 , 0.0126421451569, wifi
1457806812.63,received , 24 , 0.0126092433929, wifi
1457806812.64,received , 25 , 0.0126760005951, wifi
1457806812.65,received , 26 , 0.0126621723175, wifi
1457806812.66,received , 27 , 0.0125942230225, wifi
1457806812.68,received , 28 , 0.012668132782, wifi
1457806812.69,received , 29 , 0.0126221179962, wifi
1457806812.7,received , 4 , 0.331002950668, lte
1457806812.7,received , 30 , 0.0126671791077, wifi
1457806812.72,received , 31 , 0.0126609802246, wifi
1457806812.73,received , 32 , 0.0126311779022, wifi
1457806812.74,received , 33 , 0.0126781463623, wifi
1457806812.75,received , 5 , 0.366930246353, lte
1457806812.76,received , 34 , 0.0126099586487, wifi
1457806812.77,received , 35 , 0.0126569271088, wifi
1457806812.78,received , 36 , 0.0126392841339, wifi
1457806812.79,received , 37 , 0.0126421451569, wifi
1457806812.79,received , 6 , 0.403706073761, lte
1457806812.81,received , 38 , 0.0126912593842, wifi
1457806812.82,received , 39 , 0.0126850605011, wifi
1457806812.83,received , 40 , 0.012665271759, wifi
1457806812.84,received , 7 , 0.439234018326, lte
1457806812.85,received , 41 , 0.0127229690552, wifi
1457806812.86,received , 42 , 0.0126671791077, wifi
1457806812.87,received , 43 , 0.0126810073853, wifi
1457806812.88,received , 44 , 0.0126731395721, wifi
1457806812.89,received , 8 , 0.475999116898, lte
1457806812.89,received , 45 , 0.0126900672913, wifi
1457806812.9,received , 46 , 0.0127921104431, wifi
1457806812.91,received , 47 , 0.0126791000366, wifi
1457806812.92,received , 48 , 0.0126392841339, wifi
1457806812.93,received , 49 , 0.0126581192017, wifi
1457806812.94,received , 9 , 0.509548187256, lte
1457806812.94,received , 50 , 0.0126781463623, wifi
1457806812.95,received , 51 , 0.0126841068268, wifi
1457806812.96,received , 52 , 0.0126011371613, wifi
1457806812.97,received , 10 , 0.527592182159, lte
1457806812.97,received , 53 , 0.0126600265503, wifi
1457806812.99,received , 54 , 0.0127129554749, wifi
