18:25:29.074465 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
18:25:29.075786 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
18:25:29.084621 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
18:25:29.084644 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
18:25:29.094789 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
18:25:29.094806 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
18:25:29.104951 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
18:25:29.104969 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
18:25:29.115112 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
18:25:29.115128 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
18:25:29.125269 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
18:25:29.125288 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
18:25:29.135427 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
18:25:29.135445 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
18:25:29.145602 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
18:25:29.145618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
18:25:29.155764 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
18:25:29.155781 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
18:25:29.165921 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
18:25:29.165937 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
18:25:29.176076 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
18:25:29.176093 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
18:25:29.186233 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
18:25:29.186251 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
18:25:29.196390 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
18:25:29.196407 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
18:25:29.206547 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
18:25:29.206562 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
18:25:29.216706 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
18:25:29.216724 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
18:25:29.226869 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
18:25:29.226884 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
18:25:29.237032 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
18:25:29.237047 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
18:25:29.247192 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
18:25:29.247210 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
18:25:29.257347 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
18:25:29.257363 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
18:25:29.267505 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
18:25:29.267520 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
18:25:29.277661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
18:25:29.277677 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
18:25:29.287819 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
18:25:29.287840 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
18:25:29.297979 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
18:25:29.297997 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
18:25:29.308136 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
18:25:29.308152 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
18:25:29.318292 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
18:25:29.318308 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
18:25:29.328448 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
18:25:29.328463 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
18:25:29.338610 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
18:25:29.338632 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
18:25:29.348779 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
18:25:29.348799 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
18:25:29.358943 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
18:25:29.358962 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
18:25:29.369104 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
18:25:29.369120 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
18:25:29.379263 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
18:25:29.379278 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
18:25:29.389421 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
18:25:29.389436 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
18:25:29.399555 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
18:25:29.399570 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
18:25:29.409694 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
18:25:29.409713 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
18:25:29.419833 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
18:25:29.419849 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
18:25:29.429994 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
18:25:29.430009 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
18:25:29.440151 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
18:25:29.440168 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
18:25:29.450310 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
18:25:29.450326 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
18:25:29.460467 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
18:25:29.460483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
18:25:29.470623 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
18:25:29.470639 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
18:25:29.480780 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
18:25:29.480795 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
18:25:29.490937 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
18:25:29.490952 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
18:25:29.501092 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
18:25:29.501107 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
18:25:29.511250 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
18:25:29.511266 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
18:25:29.521406 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
18:25:29.521422 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
18:25:29.531563 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
18:25:29.531580 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
18:25:29.541717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
18:25:29.541735 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
18:25:29.551878 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
18:25:29.551895 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
18:25:29.562038 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
18:25:29.562054 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
18:25:29.572180 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
18:25:29.572196 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
18:25:29.582342 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
18:25:29.582359 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
18:25:29.592504 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
18:25:29.592526 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
18:25:29.602664 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
18:25:29.602683 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
18:25:29.612822 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
18:25:29.612839 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
18:25:29.622979 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
18:25:29.622997 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
18:25:29.633136 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
18:25:29.633153 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
18:25:29.643291 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
18:25:29.643307 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
18:25:29.653446 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
18:25:29.653462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
18:25:29.663601 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
18:25:29.663617 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
18:25:29.673763 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
18:25:29.673779 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
18:25:29.683918 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
18:25:29.683935 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
18:25:29.694078 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
18:25:29.694096 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
18:25:29.704232 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
18:25:29.704250 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
18:25:29.714391 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
18:25:29.714408 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
18:25:29.724548 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
18:25:29.724564 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
18:25:29.734705 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
18:25:29.734720 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
18:25:29.744860 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
18:25:29.744878 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
18:25:29.755018 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
18:25:29.755034 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
18:25:29.765175 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
18:25:29.765192 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
18:25:29.775332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
18:25:29.775350 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
18:25:29.785490 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
18:25:29.785510 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
18:25:29.795651 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
18:25:29.795668 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
18:25:29.805807 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
18:25:29.805826 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
18:25:29.815966 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
18:25:29.815985 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
18:25:29.826122 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
18:25:29.826139 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
18:25:29.836280 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
18:25:29.836300 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
18:25:29.846435 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
