1457807129.13,received , 1 , 0.0638041496277, lte
1457807129.13,received , 2 , 0.0539779663086, lte
1457807129.13,received , 3 , 0.0458500385284, lte
1457807129.13,received , 4 , 0.0361862182617, lte
1457807129.13,received , 5 , 0.0293798446655, lte
1457807129.13,received , 6 , 0.0194208621979, lte
1457807129.13,received , 7 , 0.0093879699707, lte
1457807129.13,received , 8 , -0.000643014907837, lte
1457807129.14,received , 9 , -0.00207304954529, lte
1457807129.15,received , 10 , -0.00233507156372, lte
1457807129.16,received , 11 , -0.00175094604492, lte
1457807129.17,received , 12 , -0.00117087364197, lte
1457807129.18,received , 13 , -0.00145506858826, lte
1457807129.19,received , 14 , -0.00192713737488, lte
1457807129.2,received , 15 , -0.0021390914917, lte
1457807129.21,received , 16 , -0.00247097015381, lte
1457807129.23,received , 17 , -0.00101590156555, lte
1457807129.24,received , 18 , -0.00117707252502, lte
1457807129.25,received , 19 , -0.00155687332153, lte
1457807129.25,received , 1 , 0.190305948257, wifi
1457807129.25,received , 2 , 0.180498123169, wifi
1457807129.25,received , 20 , -0.00207114219666, lte
1457807129.26,received , 3 , 0.172078132629, wifi
1457807129.26,received , 4 , 0.162162065506, wifi
1457807129.26,received , 5 , 0.152134180069, wifi
1457807129.26,received , 6 , 0.142091989517, wifi
1457807129.26,received , 7 , 0.132057905197, wifi
1457807129.26,received , 8 , 0.123092889786, wifi
1457807129.26,received , 9 , 0.113586902618, wifi
1457807129.26,received , 10 , 0.105505943298, wifi
1457807129.26,received , 11 , 0.0955300331116, wifi
1457807129.26,received , 12 , 0.0854930877686, wifi
1457807129.26,received , 13 , 0.0754489898682, wifi
1457807129.26,received , 14 , 0.0663979053497, wifi
1457807129.26,received , 15 , 0.0564858913422, wifi
1457807129.26,received , 21 , -0.00239109992981, lte
1457807129.27,received , 16 , 0.0495450496674, wifi
1457807129.27,received , 17 , 0.0396299362183, wifi
1457807129.27,received , 18 , 0.0295879840851, wifi
1457807129.27,received , 19 , 0.0197319984436, wifi
1457807129.27,received , 20 , 0.00971817970276, wifi
1457807129.27,received , 21 , -0.000308990478516, wifi
1457807129.27,received , 22 , -0.00482416152954, wifi
1457807129.28,received , 22 , -0.00163793563843, lte
1457807129.28,received , 23 , -0.00391411781311, wifi
1457807129.29,received , 23 , -0.00199007987976, lte
1457807129.3,received , 24 , -0.00133395195007, lte
1457807129.3,received , 24 , -0.000927925109863, wifi
1457807129.3,received , 25 , -0.0062210559845, wifi
1457807129.31,received , 25 , -0.0016758441925, lte
1457807129.31,received , 26 , -0.00634694099426, wifi
1457807129.32,received , 26 , -0.00198793411255, lte
1457807129.32,received , 27 , -0.00959181785583, wifi
1457807129.33,received , 27 , -0.00139379501343, lte
1457807129.33,received , 28 , -0.00945496559143, wifi
1457807129.34,received , 28 , -0.00173377990723, lte
1457807129.35,received , 29 , -0.00185513496399, wifi
1457807129.35,received , 29 , -0.00120306015015, lte
1457807129.36,received , 30 , 0.000362873077393, wifi
1457807129.36,received , 30 , 0.000478029251099, lte
1457807129.37,received , 31 , -0.0029890537262, wifi
1457807129.37,received , 31 , -0.00185704231262, lte
1457807129.37,received , 32 , -0.00805497169495, wifi
1457807129.38,received , 32 , -0.00115704536438, lte
1457807129.39,received , 33 , -0.00340986251831, wifi
1457807129.39,received , 33 , -0.00151991844177, lte
1457807129.4,received , 34 , -0.00193405151367, lte
1457807129.4,received , 34 , 0.000330209732056, wifi
1457807129.41,received , 35 , -0.0021059513092, lte
1457807129.41,received , 35 , 0.000458955764771, wifi
1457807129.42,received , 36 , -0.00244808197021, lte
1457807129.42,received , 36 , 0.000560998916626, wifi
1457807129.43,received , 37 , -0.000910997390747, lte
1457807129.43,received , 37 , -0.00101494789124, wifi
1457807129.44,received , 38 , -0.00112390518188, lte
1457807129.44,received , 38 , -0.000727891921997, wifi
1457807129.45,received , 39 , -0.00328993797302, wifi
1457807129.45,received , 39 , -0.00160384178162, lte
1457807129.46,received , 40 , -0.00201511383057, lte
1457807129.46,received , 40 , 0.00030517578125, wifi
1457807129.47,received , 41 , -0.00225114822388, lte
1457807129.47,received , 41 , -0.00197219848633, wifi
1457807129.48,received , 42 , -0.00273990631104, lte
1457807129.48,received , 42 , -0.000293970108032, wifi
1457807129.49,received , 43 , -0.00195598602295, lte
1457807129.49,received , 43 , 0.000582933425903, wifi
1457807129.5,received , 44 , -0.00254702568054, wifi
1457807129.5,received , 44 , -0.00151205062866, lte
1457807129.51,received , 45 , -0.00422286987305, wifi
1457807129.51,received , 45 , -0.00170397758484, lte
1457807129.52,received , 46 , -0.0019998550415, lte
1457807129.52,received , 46 , -0.000473022460938, wifi
1457807129.53,received , 47 , -0.0023500919342, lte
