18:27:43.777195 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
18:27:43.777396 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
18:27:43.787348 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
18:27:43.787526 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
18:27:43.797492 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
18:27:43.797654 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
18:27:43.807638 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
18:27:43.807779 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
18:27:43.817767 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
18:27:43.817905 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
18:27:43.827914 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
18:27:43.828029 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
18:27:43.838056 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
18:27:43.838154 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
18:27:43.848198 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
18:27:43.848279 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
18:27:43.858339 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
18:27:43.858404 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
18:27:43.868485 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
18:27:43.868529 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
18:27:43.878628 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
18:27:43.878655 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
18:27:43.888773 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
18:27:43.888795 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
18:27:43.898938 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
18:27:43.898955 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
18:27:43.909096 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
18:27:43.909113 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
18:27:43.919253 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
18:27:43.919269 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
18:27:43.929412 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
18:27:43.929427 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
18:27:43.939576 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
18:27:43.939595 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
18:27:43.949735 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
18:27:43.949754 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
18:27:43.959894 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
18:27:43.959914 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
18:27:43.970054 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
18:27:43.970071 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
18:27:43.980221 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
18:27:43.980239 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
18:27:43.990381 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
18:27:43.990398 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
18:27:44.000538 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
18:27:44.000555 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
18:27:44.010695 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
18:27:44.010712 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
18:27:44.020836 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
18:27:44.020855 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
18:27:44.030994 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
18:27:44.031012 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
18:27:44.041142 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
