1457807263.79,received , 1 , 0.0207688808441, wifi
1457807263.79,received , 2 , 0.0111858844757, wifi
1457807263.79,received , 3 , 0.00276303291321, wifi
1457807263.79,received , 4 , -0.00721406936646, wifi
1457807263.8,received , 5 , -0.011039018631, wifi
1457807263.81,received , 6 , -0.0112538337708, wifi
1457807263.82,received , 7 , -0.0110161304474, wifi
1457807263.83,received , 8 , -0.0112709999084, wifi
1457807263.83,received , 1 , 0.0640561580658, lte
1457807263.83,received , 2 , 0.0541620254517, lte
1457807263.83,received , 3 , 0.0459780693054, lte
1457807263.83,received , 4 , 0.0360200405121, lte
1457807263.83,received , 5 , 0.026022195816, lte
1457807263.83,received , 6 , 0.0160088539124, lte
1457807263.83,received , 7 , 0.00599908828735, lte
1457807263.83,received , 8 , -0.00310182571411, lte
1457807263.84,received , 9 , -0.0110290050507, wifi
1457807263.84,received , 9 , -0.00336098670959, lte
1457807263.85,received , 10 , -0.0111877918243, wifi
1457807263.85,received , 10 , -0.00380206108093, lte
1457807263.86,received , 11 , -0.0112659931183, wifi
1457807263.86,received , 11 , -0.00396680831909, lte
1457807263.87,received , 12 , -0.011372089386, wifi
1457807263.87,received , 12 , -0.00426506996155, lte
1457807263.88,received , 13 , -0.0113120079041, wifi
1457807263.88,received , 13 , -0.00367093086243, lte
1457807263.89,received , 14 , -0.0109710693359, wifi
1457807263.9,received , 14 , -0.00293111801147, lte
1457807263.9,received , 15 , -0.0110490322113, wifi
1457807263.91,received , 15 , -0.00340390205383, lte
1457807263.91,received , 16 , -0.0114598274231, wifi
1457807263.92,received , 16 , -0.00369381904602, lte
1457807263.92,received , 17 , -0.0110709667206, wifi
1457807263.92,received , 17 , -0.00404691696167, lte
1457807263.93,received , 18 , -0.0112957954407, wifi
1457807263.94,received , 18 , -0.00354409217834, lte
1457807263.94,received , 19 , -0.0111939907074, wifi
1457807263.95,received , 19 , -0.00277495384216, lte
1457807263.95,received , 20 , -0.0107731819153, wifi
1457807263.96,received , 20 , -0.00313806533813, lte
1457807263.96,received , 21 , -0.0114171504974, wifi
1457807263.97,received , 21 , -0.00342202186584, lte
1457807263.97,received , 22 , -0.0109219551086, wifi
1457807263.98,received , 22 , -0.00389909744263, lte
1457807263.98,received , 23 , -0.0111689567566, wifi
1457807263.99,received , 23 , -0.00330996513367, lte
1457807263.99,received , 24 , -0.0111808776855, wifi
1457807264.0,received , 24 , -0.00354385375977, lte
1457807264.0,received , 25 , -0.0112199783325, wifi
1457807264.01,received , 25 , -0.00393009185791, lte
1457807264.01,received , 26 , -0.0110580921173, wifi
1457807264.02,received , 26 , -0.00324010848999, lte
1457807264.02,received , 27 , -0.0111911296844, wifi
1457807264.03,received , 27 , -0.00358295440674, lte
1457807264.03,received , 28 , -0.0110960006714, wifi
1457807264.04,received , 28 , -0.00311803817749, lte
1457807264.04,received , 29 , -0.00648403167725, wifi
1457807264.05,received , 29 , -0.00322484970093, lte
1457807264.05,received , 30 , -0.00830292701721, wifi
1457807264.06,received , 30 , -0.00361394882202, lte
1457807264.06,received , 31 , -0.00796008110046, wifi
1457807264.07,received , 31 , -0.0039381980896, lte
1457807264.07,received , 32 , -0.00820899009705, wifi
1457807264.08,received , 32 , -0.00330114364624, lte
1457807264.08,received , 33 , -0.0085461139679, wifi
1457807264.09,received , 33 , -0.00278496742249, lte
1457807264.09,received , 34 , -0.00831604003906, wifi
1457807264.1,received , 34 , -0.00299501419067, lte
1457807264.1,received , 35 , -0.011234998703, wifi
1457807264.11,received , 35 , -0.00336790084839, lte
1457807264.11,received , 36 , -0.0113108158112, wifi
1457807264.12,received , 36 , -0.003830909729, lte
1457807264.12,received , 37 , -0.0111849308014, wifi
1457807264.13,received , 37 , -0.00310397148132, lte
1457807264.13,received , 38 , -0.0111169815063, wifi
1457807264.14,received , 38 , -0.0025851726532, lte
1457807264.14,received , 39 , -0.0113930702209, wifi
1457807264.15,received , 39 , -0.00281810760498, lte
1457807264.15,received , 40 , -0.0112149715424, wifi
1457807264.16,received , 40 , -0.00314903259277, lte
1457807264.16,received , 41 , -0.0110960006714, wifi
1457807264.17,received , 41 , -0.00347805023193, lte
1457807264.17,received , 42 , -0.011127948761, wifi
1457807264.18,received , 42 , -0.00395393371582, lte
1457807264.18,received , 43 , -0.0112769603729, wifi
1457807264.19,received , 43 , -0.00338292121887, lte
1457807264.19,received , 44 , -0.0113568305969, wifi
1457807264.2,received , 44 , -0.00355386734009, lte
1457807264.2,received , 45 , -0.0111129283905, wifi
1457807264.21,received , 45 , -0.00287294387817, lte
1457807264.21,received , 46 , -0.0109820365906, wifi
1457807264.22,received , 46 , -0.00318312644958, lte
1457807264.22,received , 47 , -0.0110371112823, wifi
1457807264.23,received , 47 , -0.00356101989746, lte
1457807264.23,received , 48 , -0.0110950469971, wifi
1457807264.24,received , 48 , -0.00392293930054, lte
1457807264.24,received , 49 , -0.0113360881805, wifi
1457807264.25,received , 49 , -0.0033130645752, lte
1457807264.25,received , 50 , -0.0110428333282, wifi
1457807264.26,received , 50 , -0.00361585617065, lte
1457807264.26,received , 51 , -0.0111048221588, wifi
1457807264.27,received , 51 , -0.00393986701965, lte
1457807264.27,received , 52 , -0.0112988948822, wifi
1457807264.28,received , 52 , -0.00336694717407, lte
1457807264.28,received , 53 , -0.0111711025238, wifi
1457807264.29,received , 53 , -0.0038001537323, lte
1457807264.29,received , 54 , -0.0111081600189, wifi
1457807264.3,received , 54 , -0.00306105613708, lte
1457807264.3,received , 55 , -0.0110030174255, wifi
1457807264.31,received , 55 , -0.00339007377625, lte
1457807264.31,received , 56 , -0.0111429691315, wifi
1457807264.32,received , 56 , -0.00365900993347, lte
1457807264.32,received , 57 , -0.0113179683685, wifi
1457807264.33,received , 57 , -0.00311303138733, lte
1457807264.33,received , 58 , -0.0110859870911, wifi
1457807264.34,received , 58 , -0.00445699691772, lte
1457807264.34,received , 59 , -0.0109651088715, wifi
1457807264.35,received , 59 , -0.00296187400818, lte
1457807264.35,received , 60 , -0.0110301971436, wifi
1457807264.36,received , 60 , -0.00316405296326, lte
1457807264.36,received , 61 , -0.0111129283905, wifi
1457807264.37,received , 61 , -0.00365400314331, lte
1457807264.38,received , 62 , -0.0107579231262, wifi
1457807264.38,received , 62 , -0.00289797782898, lte
1457807264.39,received , 63 , -0.0110580921173, wifi
1457807264.39,received , 63 , -0.00321006774902, lte
1457807264.4,received , 64 , -0.0113389492035, wifi
1457807264.4,received , 64 , -0.00361394882202, lte
1457807264.41,received , 65 , -0.0110628604889, wifi
1457807264.41,received , 65 , -0.00288581848145, lte
1457807264.42,received , 66 , -0.0110249519348, wifi
1457807264.42,received , 66 , -0.00333786010742, lte
1457807264.43,received , 67 , -0.011195898056, wifi
1457807264.43,received , 67 , -0.00376796722412, lte
1457807264.44,received , 68 , -0.0110840797424, wifi
1457807264.44,received , 68 , -0.00403118133545, lte
1457807264.45,received , 69 , -0.011332988739, wifi
1457807264.45,received , 69 , -0.00245904922485, lte
1457807264.46,received , 70 , -0.0108261108398, wifi
1457807264.46,received , 70 , -0.00373196601868, lte
1457807264.47,received , 71 , -0.0110280513763, wifi
1457807264.47,received , 71 , -0.00301194190979, lte
1457807264.48,received , 72 , -0.0109779834747, wifi
1457807264.48,received , 72 , -0.00340104103088, lte
