18:29:48.673392 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
18:29:48.675457 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
18:29:48.683268 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
18:29:48.683525 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
18:29:48.693414 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
18:29:48.693653 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
18:29:48.703558 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
18:29:48.703779 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
18:29:48.713702 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
18:29:48.713904 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
18:29:48.723845 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
18:29:48.724030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
18:29:48.733989 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
18:29:48.734155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
18:29:48.744131 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
18:29:48.744280 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
18:29:48.754273 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
18:29:48.754405 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
18:29:48.764415 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
18:29:48.764530 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
18:29:48.774559 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
18:29:48.774655 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
18:29:48.784704 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
18:29:48.784780 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
18:29:48.794846 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
18:29:48.794905 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
18:29:48.804989 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
18:29:48.805030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
18:29:48.815131 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
18:29:48.815152 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
18:29:48.825273 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
18:29:48.825290 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
18:29:48.835431 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
18:29:48.835447 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
18:29:48.845589 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
18:29:48.845608 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
18:29:48.855746 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
18:29:48.855762 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
18:29:48.865903 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
18:29:48.865918 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
