1457893626.39,received , 1 , -0.413769006729, lte
1457893626.39,received , 2 , -0.422572851181, lte
1457893626.39,received , 3 , -0.431116104126, lte
1457893626.4,received , 4 , -0.434473991394, lte
1457893626.41,received , 5 , -0.434597969055, lte
1457893626.42,received , 6 , -0.436349153519, lte
1457893626.42,received , 1 , -0.38348698616, wifi
1457893626.42,received , 2 , -0.392923116684, wifi
1457893626.42,received , 3 , -0.402359962463, wifi
1457893626.42,received , 4 , -0.411836862564, wifi
1457893626.42,received , 5 , -0.421315908432, wifi
1457893626.42,received , 6 , -0.43078994751, wifi
1457893626.43,received , 7 , -0.436784982681, lte
1457893626.43,received , 7 , -0.43590593338, wifi
1457893626.44,received , 8 , -0.438025951385, wifi
1457893626.44,received , 8 , -0.429629802704, lte
1457893626.44,received , 9 , -0.438743829727, wifi
1457893626.45,received , 9 , -0.433850049973, lte
1457893626.45,received , 10 , -0.438844919205, wifi
1457893626.46,received , 10 , -0.434211969376, lte
1457893626.47,received , 11 , -0.438568115234, wifi
1457893626.48,received , 12 , -0.438546895981, wifi
1457893626.48,received , 11 , -0.428272008896, lte
1457893626.48,received , 12 , -0.43630194664, lte
1457893626.49,received , 13 , -0.437460899353, wifi
1457893626.49,received , 13 , -0.437773942947, lte
1457893626.5,received , 14 , -0.438795089722, wifi
1457893626.5,received , 14 , -0.436649799347, lte
1457893626.51,received , 15 , -0.439124107361, wifi
1457893626.52,received , 16 , -0.439180850983, wifi
1457893626.52,received , 15 , -0.42899107933, lte
1457893626.52,received , 16 , -0.434319019318, lte
1457893626.53,received , 17 , -0.438960790634, wifi
1457893626.53,received , 17 , -0.435278892517, lte
1457893626.54,received , 18 , -0.438485860825, wifi
1457893626.54,received , 18 , -0.434695959091, lte
1457893626.55,received , 19 , -0.435568094254, lte
1457893626.56,received , 19 , -0.425127029419, wifi
1457893626.56,received , 20 , -0.434997081757, lte
1457893626.56,received , 20 , -0.434268951416, wifi
1457893626.57,received , 21 , -0.43789100647, lte
1457893626.57,received , 21 , -0.436881065369, wifi
1457893626.58,received , 22 , -0.438497066498, wifi
