20:20:33.854689 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
20:20:33.861760 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
20:20:33.865012 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
20:20:33.872183 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
20:20:33.875397 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
20:20:33.883284 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
20:20:33.886073 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
20:20:33.894266 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
20:20:33.896833 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
20:20:33.905296 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
20:20:33.907599 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
20:20:33.916280 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
20:20:33.918353 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
20:20:33.927300 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
20:20:33.929114 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
20:20:33.938291 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
20:20:33.939871 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
20:20:33.949344 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
20:20:33.950649 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
20:20:33.960296 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
20:20:33.961441 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
20:20:33.970954 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
20:20:33.971856 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
20:20:33.981483 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
20:20:33.982247 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
20:20:33.991961 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
20:20:33.992552 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
20:20:34.002478 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
20:20:34.002889 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
20:20:34.012920 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
20:20:34.013223 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
20:20:34.023594 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
20:20:34.023893 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
20:20:34.034144 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
20:20:34.034443 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
20:20:34.045062 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
20:20:34.045294 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
20:20:34.056097 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
20:20:34.056533 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
20:20:34.067306 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
20:20:34.067846 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
20:20:34.078502 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
20:20:34.079064 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
20:20:34.089693 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
20:20:34.090108 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
20:20:34.100812 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
20:20:34.101179 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
20:20:34.111851 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
20:20:34.112680 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
20:20:34.123364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
20:20:34.123729 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
20:20:34.134350 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
20:20:34.134725 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
20:20:34.145384 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
20:20:34.145746 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
20:20:34.156503 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
20:20:34.157366 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
20:20:34.167488 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
20:20:34.168577 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
20:20:34.178716 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
20:20:34.179794 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
20:20:34.189945 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
