1457987207.68,received , 1 , 0.0360639095306, lte
1457987207.7,received , 2 , 0.0424420833588, lte
1457987207.7,received , 3 , 0.0325300693512, lte
1457987207.71,received , 4 , 0.0295870304108, lte
1457987207.72,received , 5 , 0.0265018939972, lte
1457987207.73,received , 6 , 0.0303740501404, lte
1457987207.73,received , 7 , 0.0213830471039, lte
1457987207.74,received , 8 , 0.0216369628906, lte
1457987207.76,received , 9 , 0.0275111198425, lte
1457987207.76,received , 10 , 0.0214509963989, lte
1457987207.77,received , 11 , 0.0166890621185, lte
1457987207.78,received , 12 , 0.014240026474, lte
1457987207.8,received , 13 , 0.0184972286224, lte
1457987207.81,received , 14 , 0.0174679756165, lte
1457987207.82,received , 15 , 0.0194001197815, lte
1457987207.83,received , 16 , 0.0203430652618, lte
1457987207.84,received , 17 , 0.0192260742188, lte
1457987207.86,received , 18 , 0.0249390602112, lte
1457987207.86,received , 19 , 0.0176022052765, lte
1457987207.87,received , 20 , 0.0152180194855, lte
1457987207.88,received , 21 , 0.0139300823212, lte
1457987207.88,received , 22 , 0.0119690895081, lte
1457987207.89,received , 23 , 0.00960493087769, lte
1457987207.9,received , 1 , 0.24378490448, wifi
1457987207.9,received , 24 , 0.00704097747803, lte
1457987207.91,received , 25 , 0.00425505638123, lte
1457987207.92,received , 26 , 0.00748324394226, lte
1457987207.93,received , 27 , 0.00278496742249, lte
1457987207.93,received , 28 , -0.00202989578247, lte
1457987207.95,received , 29 , -0.000963926315308, lte
1457987207.95,received , 30 , -0.00876474380493, lte
1457987207.96,received , 31 , -0.0127398967743, lte
1457987207.96,received , 2 , 0.295480251312, wifi
1457987207.97,received , 32 , -0.00854969024658, lte
1457987207.98,received , 33 , -0.0126678943634, lte
1457987207.99,received , 34 , -0.0135591030121, lte
1457987207.99,received , 35 , -0.0195569992065, lte
1457987208.0,received , 4 , 0.309617996216, wifi
1457987208.0,received , 36 , -0.0204889774323, lte
1457987208.01,received , 37 , -0.0224099159241, lte
1457987208.02,received , 38 , -0.0302619934082, lte
1457987208.02,received , 5 , 0.325245141983, wifi
1457987208.02,received , 39 , -0.0317680835724, lte
1457987208.04,received , 40 , -0.0299599170685, lte
1457987208.04,received , 41 , -0.0334417819977, lte
1457987208.05,received , 42 , -0.0385699272156, lte
1457987208.05,received , 43 , -0.0423269271851, lte
1457987208.06,received , 6 , 0.346311092377, wifi
1457987208.07,received , 44 , -0.0409688949585, lte
1457987208.08,received , 45 , -0.0408771038055, lte
1457987208.08,received , 46 , -0.0494458675385, lte
1457987208.08,received , 7 , 0.36133813858, wifi
1457987208.09,received , 47 , -0.0480959415436, lte
1457987208.11,received , 48 , -0.0450387001038, lte
1457987208.12,received , 49 , -0.0440549850464, lte
1457987208.13,received , 8 , 0.393845081329, wifi
1457987208.13,received , 50 , -0.0433857440948, lte
1457987208.14,received , 51 , -0.0498728752136, lte
1457987208.15,received , 9 , 0.409702062607, wifi
1457987208.16,received , 52 , -0.0412917137146, lte
1457987208.16,received , 53 , -0.0453469753265, lte
1457987208.17,received , 54 , -0.0536799430847, lte
1457987208.17,received , 55 , -0.0586450099945, lte
1457987208.18,received , 56 , -0.0615739822388, lte
1457987208.19,received , 57 , -0.0645637512207, lte
1457987208.19,received , 58 , -0.0685799121857, lte
1457987208.19,received , 10 , 0.441695213318, wifi
1457987208.21,received , 59 , -0.0645380020142, lte
1457987208.21,received , 60 , -0.0734689235687, lte
1457987208.22,received , 11 , 0.460759162903, wifi
1457987208.23,received , 61 , -0.0686287879944, lte
1457987208.23,received , 62 , -0.0726988315582, lte
1457987208.24,received , 63 , -0.0823557376862, lte
1457987208.24,received , 64 , -0.0852799415588, lte
1457987208.25,received , 65 , -0.0865657329559, lte
1457987208.26,received , 66 , -0.089047908783, lte
1457987208.27,received , 67 , -0.0923459529877, lte
1457987208.28,received , 12 , 0.502840995789, wifi
