17:27:43.548305 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 1
17:27:43.548383 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 1
17:27:43.558461 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 2
17:27:43.558484 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 2
17:27:43.568621 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 3
17:27:43.568635 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 3
17:27:43.578781 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 4
17:27:43.578794 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 4
17:27:43.588939 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 5
17:27:43.588952 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 5
17:27:43.599092 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 6
17:27:43.599105 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 6
17:27:43.609244 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 7
17:27:43.609258 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 7
17:27:43.619396 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 8
17:27:43.619412 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 8
17:27:43.629546 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 9
17:27:43.629559 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 9
17:27:43.639697 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 10
17:27:43.639712 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 10
17:27:43.649850 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 11
17:27:43.649863 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 11
17:27:43.660001 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 12
17:27:43.660012 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 12
17:27:43.670151 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 13
17:27:43.670166 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 13
17:27:43.680301 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 14
17:27:43.680316 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 14
17:27:43.690453 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 15
17:27:43.690470 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 15
17:27:43.700606 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 16
17:27:43.700619 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 16
17:27:43.710756 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 17
17:27:43.710769 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 17
17:27:43.720906 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 18
17:27:43.720921 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 18
17:27:43.731059 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 19
17:27:43.731072 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 19
17:27:43.741208 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 20
17:27:43.741222 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 20
17:27:43.751357 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 21
17:27:43.751373 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 21
17:27:43.761511 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 22
17:27:43.761528 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 22
17:27:43.771663 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 23
17:27:43.771677 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 23
17:27:43.781814 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 24
17:27:43.781825 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 24
17:27:43.791970 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 25
17:27:43.791985 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 25
17:27:43.802119 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 26
17:27:43.802135 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 26
17:27:43.812271 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 27
17:27:43.812284 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 27
17:27:43.822421 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 28
17:27:43.822436 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 28
17:27:43.832573 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 29
17:27:43.832588 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 29
17:27:43.842725 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 30
17:27:43.842740 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 30
17:27:43.852877 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 31
17:27:43.852892 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 31
17:27:43.863028 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 32
17:27:43.863041 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 32
17:27:43.873161 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 33
17:27:43.873176 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 33
17:27:43.883313 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 34
17:27:43.883326 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 34
17:27:43.893463 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 35
17:27:43.893475 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 35
17:27:43.903613 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 36
17:27:43.903626 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 36
17:27:43.913761 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 37
17:27:43.913777 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 37
17:27:43.923895 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 38
17:27:43.923909 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 38
17:27:43.934029 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 39
17:27:43.934045 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 39
17:27:43.944165 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 40
17:27:43.944179 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 40
17:27:43.954314 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 41
