18:08:14.411581 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 1
18:08:14.411860 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 1
18:08:14.421727 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 2
18:08:14.421983 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 2
18:08:14.431864 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 3
18:08:14.432104 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 3
18:08:14.442001 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 4
18:08:14.442224 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 4
18:08:14.452138 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 5
18:08:14.452344 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 5
18:08:14.462274 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 6
18:08:14.462466 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 6
18:08:14.472411 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 7
18:08:14.472586 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 7
18:08:14.482548 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 8
18:08:14.482707 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 8
18:08:14.492685 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 9
18:08:14.492837 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 9
18:08:14.502822 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 10
18:08:14.502974 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 10
18:08:14.512959 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 11
18:08:14.513111 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 11
18:08:14.523096 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 12
18:08:14.523248 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 12
18:08:14.533232 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 13
18:08:14.533384 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 13
18:08:14.543369 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 14
18:08:14.543521 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 14
18:08:14.553505 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 15
