18:14:22.146461 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 1
18:14:22.147601 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 1
18:14:22.156780 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 2
18:14:22.157801 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 2
18:14:22.167060 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 3
18:14:22.168070 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 3
18:14:22.177282 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 4
18:14:22.178227 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 4
18:14:22.187622 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 5
18:14:22.188452 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 5
18:14:22.197995 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 6
18:14:22.198654 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 6
18:14:22.208367 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 7
18:14:22.208872 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 7
18:14:22.218732 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 8
18:14:22.219094 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 8
18:14:22.228943 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 9
18:14:22.229289 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 9
18:14:22.239248 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 10
18:14:22.239485 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 10
18:14:22.249571 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 11
18:14:22.249685 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 11
18:14:22.259957 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 12
18:14:22.260009 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 12
18:14:22.270320 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 13
18:14:22.270436 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 13
18:14:22.280687 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 14
18:14:22.280776 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 14
18:14:22.291046 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 15
18:14:22.291123 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 15
18:14:22.301333 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 16
18:14:22.301411 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 16
18:14:22.311578 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 17
18:14:22.311640 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 17
18:14:22.321975 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 18
18:14:22.322085 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 18
18:14:22.332317 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 19
18:14:22.332391 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 19
18:14:22.342704 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 20
18:14:22.342867 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 20
18:14:22.353146 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 21
18:14:22.353221 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 21
18:14:22.363533 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 22
18:14:22.363648 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 22
18:14:22.373976 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 23
18:14:22.374082 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 23
18:14:22.384295 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 24
18:14:22.384345 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 24
18:14:22.394615 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 25
18:14:22.394682 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 25
18:14:22.404992 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 26
18:14:22.405123 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 26
18:14:22.415323 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 27
18:14:22.415404 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 27
18:14:22.425590 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 28
18:14:22.425663 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 28
18:14:22.435839 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 29
18:14:22.435917 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 29
18:14:22.446228 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 30
18:14:22.446335 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 30
18:14:22.456641 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 31
18:14:22.456706 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 31
18:14:22.467030 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 32
18:14:22.467132 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 32
18:14:22.477448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 33
18:14:22.477520 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 33
18:14:22.487728 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 34
18:14:22.487880 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 34
18:14:22.498164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 35
18:14:22.498240 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 35
18:14:22.508553 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 36
18:14:22.508642 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 36
18:14:22.518980 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 37
18:14:22.519044 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 37
18:14:22.529249 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 38
18:14:22.529339 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 38
18:14:22.539657 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 39
18:14:22.539831 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 39
18:14:22.550093 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 40
18:14:22.550156 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 40
18:14:22.560480 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 41
18:14:22.560595 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 41
18:14:22.570767 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 42
18:14:22.570840 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 42
18:14:22.580996 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 43
18:14:22.581047 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 43
18:14:22.591366 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 44
18:14:22.591457 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 44
18:14:22.601753 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 45
18:14:22.601807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 45
18:14:22.612047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 46
18:14:22.612130 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 46
18:14:22.622423 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 47
18:14:22.622487 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 47
18:14:22.632749 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 48
18:14:22.632795 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 48
18:14:22.643091 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 49
18:14:22.643156 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 49
18:14:22.653472 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 50
18:14:22.653589 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 50
18:14:22.663926 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 51
18:14:22.663988 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 51
18:14:22.674261 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 52
18:14:22.674322 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 52
18:14:22.684648 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 53
18:14:22.684765 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 53
18:14:22.695082 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 54
18:14:22.695144 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 54
18:14:22.705427 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 55
18:14:22.705490 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 55
18:14:22.715691 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 56
18:14:22.715778 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 56
18:14:22.726147 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 57
18:14:22.726190 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 57
18:14:22.736554 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 58
18:14:22.736722 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 58
18:14:22.746934 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 59
18:14:22.746982 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 59
18:14:22.757308 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 60
18:14:22.757369 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 60
18:14:22.767530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 61
18:14:22.767608 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 61
18:14:22.777932 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 62
18:14:22.778093 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 62
18:14:22.788364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 63
18:14:22.788426 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 63
18:14:22.798759 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 64
18:14:22.798806 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 64
18:14:22.809111 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 65
18:14:22.809165 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 65
18:14:22.819394 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 66
18:14:22.819458 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 66
18:14:22.829733 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 67
18:14:22.829784 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 67
18:14:22.840131 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 68
18:14:22.840258 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 68
18:14:22.850425 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 69
18:14:22.850464 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 69
18:14:22.860802 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 70
18:14:22.860946 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 70
18:14:22.871222 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 71
18:14:22.871289 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 71
18:14:22.881559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 72
18:14:22.881624 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 72
18:14:22.891955 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 73
18:14:22.892081 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 73
18:14:22.902270 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 74
18:14:22.902314 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 74
18:14:22.912584 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 75
18:14:22.912648 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 75
18:14:22.922926 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 76
18:14:22.922991 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 76
18:14:22.933326 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 77
18:14:22.933494 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 77
18:14:22.943725 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 78
18:14:22.943838 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 78
18:14:22.954096 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 79
18:14:22.954159 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 79
18:14:22.964418 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 80
18:14:22.964481 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 80
18:14:22.974824 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 81
18:14:22.974984 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 81
18:14:22.985287 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 82
18:14:22.985367 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 82
18:14:22.995674 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 83
18:14:22.995755 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 83
18:14:23.006075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 92 , 84
18:14:23.006138 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 93 , 84
