18:18:58.719808 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
18:18:58.721330 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
18:18:58.730150 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
18:18:58.731572 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
18:18:58.740382 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
18:18:58.741760 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
18:18:58.750721 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
18:18:58.751984 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
18:18:58.761044 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
18:18:58.762276 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
18:18:58.771387 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
18:18:58.772667 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
18:18:58.781719 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
18:18:58.782973 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
18:18:58.792099 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
18:18:58.793316 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
18:18:58.802448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
18:18:58.803602 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
18:18:58.812825 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
18:18:58.813975 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
18:18:58.823204 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
18:18:58.824380 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
18:18:58.833524 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
18:18:58.834685 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
18:18:58.843866 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
18:18:58.844975 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
18:18:58.854244 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
18:18:58.855304 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
18:18:58.864627 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
18:18:58.865552 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
18:18:58.874853 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
18:18:58.875808 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
18:18:58.885171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
18:18:58.886009 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
18:18:58.895485 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
18:18:58.896214 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
18:18:58.905796 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
18:18:58.906434 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
18:18:58.916112 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
18:18:58.916661 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
18:18:58.926480 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
18:18:58.926888 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
18:18:58.936862 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
18:18:58.937181 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
18:18:58.947336 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
18:18:58.947485 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
18:18:58.957883 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
18:18:58.958017 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
18:18:58.968339 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
18:18:58.968422 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
18:18:58.978725 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
18:18:58.978811 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
18:18:58.989163 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
18:18:58.989292 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
18:18:58.999612 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
18:18:58.999687 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
18:18:59.010031 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
18:18:59.010165 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
18:18:59.020471 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
18:18:59.020547 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
18:18:59.030888 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
18:18:59.031015 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
18:18:59.041303 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
18:18:59.041379 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
18:18:59.051676 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
18:18:59.051797 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
18:18:59.062132 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
18:18:59.062259 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
18:18:59.072615 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
18:18:59.072752 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
18:18:59.083065 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
18:18:59.083140 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
18:18:59.093536 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
18:18:59.093673 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
18:18:59.104024 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
18:18:59.104154 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
18:18:59.114502 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
18:18:59.114578 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
18:18:59.124886 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
18:18:59.124958 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
18:18:59.135267 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
18:18:59.135340 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
18:18:59.145682 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
18:18:59.145812 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
18:18:59.155962 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
18:18:59.156761 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
18:18:59.166110 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
18:18:59.166896 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
18:18:59.176499 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
18:18:59.177120 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
18:18:59.186893 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
18:18:59.187360 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
18:18:59.197288 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
18:18:59.197595 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
18:18:59.207680 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
18:18:59.207917 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
18:18:59.218115 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
18:18:59.218187 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
18:18:59.228424 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
18:18:59.228516 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
18:18:59.238875 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
18:18:59.239008 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
18:18:59.249363 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
18:18:59.249456 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
18:18:59.259849 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
18:18:59.259940 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
18:18:59.270249 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
18:18:59.270343 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
18:18:59.280645 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
18:18:59.280737 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
18:18:59.291038 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
18:18:59.291129 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
18:18:59.301410 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
18:18:59.301499 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
18:18:59.311696 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
18:18:59.311840 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
18:18:59.322156 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
18:18:59.322246 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
18:18:59.332539 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
18:18:59.332627 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
18:18:59.342966 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
18:18:59.343043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
18:18:59.353382 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
18:18:59.353521 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
18:18:59.363930 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
18:18:59.364022 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
18:18:59.374379 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
18:18:59.374515 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 64
18:18:59.384803 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
18:18:59.384893 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 65
18:18:59.395137 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
18:18:59.395232 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 66
18:18:59.405544 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 67
18:18:59.405632 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 67
18:18:59.415874 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 68
18:18:59.415971 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 68
18:18:59.426245 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 69
18:18:59.426335 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 69
18:18:59.436645 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
18:18:59.436734 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 70
