17:58:54.779621 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
17:58:54.779894 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
17:58:54.789772 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
17:58:54.790026 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
17:58:54.799916 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
17:58:54.800153 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
17:58:54.810058 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
17:58:54.810278 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
17:58:54.820200 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
17:58:54.820404 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
17:58:54.830342 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
17:58:54.830528 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
17:58:54.840483 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
17:58:54.840653 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
17:58:54.850624 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
17:58:54.850777 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
17:58:54.860766 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
17:58:54.860902 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
17:58:54.870907 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
17:58:54.871026 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
17:58:54.881048 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
17:58:54.881151 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
17:58:54.891190 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
17:58:54.891275 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
17:58:54.901332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
17:58:54.901400 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
17:58:54.911474 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
17:58:54.911525 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
17:58:54.921616 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
17:58:54.921649 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
17:58:54.931760 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
17:58:54.931782 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
17:58:54.941924 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
17:58:54.941941 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
17:58:54.952087 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
17:58:54.952105 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
17:58:54.962244 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
17:58:54.962258 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
17:58:54.972402 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
17:58:54.972418 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
17:58:54.982559 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
17:58:54.982575 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
17:58:54.992715 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
17:58:54.992732 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
17:58:55.002871 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
17:58:55.002887 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
17:58:55.013028 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
17:58:55.013044 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
17:58:55.023185 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
17:58:55.023200 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
17:58:55.033340 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
17:58:55.033356 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
17:58:55.043504 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
17:58:55.043518 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
17:58:55.053664 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
17:58:55.053683 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
17:58:55.063824 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
17:58:55.063842 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
17:58:55.073982 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
17:58:55.073999 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
17:58:55.084139 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
17:58:55.084156 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
17:58:55.094296 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
17:58:55.094312 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
17:58:55.104435 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
17:58:55.104451 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
17:58:55.114591 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
