18:46:31.179212 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 1
18:46:31.180718 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 1
18:46:31.192075 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 2
18:46:31.192175 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 2
18:46:31.203783 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 3
18:46:31.203831 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 3
18:46:31.214820 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 4
18:46:31.214868 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 4
18:46:31.225185 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 5
18:46:31.225553 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 5
18:46:31.238189 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 6
18:46:31.238381 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 6
18:46:31.250874 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 7
18:46:31.250953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 7
18:46:31.263516 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 8
18:46:31.263612 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 8
18:46:31.276208 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 9
18:46:31.276257 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 9
18:46:31.287232 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 10
18:46:31.287476 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 10
18:46:31.299882 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 11
18:46:31.300007 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 11
18:46:31.312298 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 12
18:46:31.312389 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 12
