1455906470.74,received , 2 , 0.105073928833, wifi
1455906470.83,received , 3 , 0.185771942139, wifi
1455906470.86,received , 4 , 0.203892946243, wifi
1455906470.89,received , 5 , 0.220091819763, wifi
1455906470.97,received , 6 , 0.289505958557, wifi
1455906471.01,received , 7 , 0.320500850677, wifi
1455906471.12,received , 1 , 0.483059883118, lte
1455906471.17,received , 8 , 0.473737955093, wifi
1455906471.21,received , 9 , 0.495141983032, wifi
1455906471.23,received , 10 , 0.51482796669, wifi
1455906471.26,received , 11 , 0.532806873322, wifi
1455906471.31,received , 13 , 0.556444883347, wifi
1455906471.33,received , 14 , 0.572664022446, wifi
1455906471.36,received , 15 , 0.589119911194, wifi
1455906471.39,received , 16 , 0.60906791687, wifi
1455906471.43,received , 17 , 0.636962890625, wifi
1455906471.45,received , 18 , 0.653435945511, wifi
1455906471.47,received , 2 , 0.820663928986, lte
1455906471.65,received , 3 , 0.991636991501, lte
1455906471.66,received , 20 , 0.837719917297, wifi
1455906471.69,received , 22 , 0.84529209137, wifi
1455906471.71,received , 23 , 0.86154294014, wifi
1455906471.76,received , 24 , 0.895742893219, wifi
1455906471.79,received , 25 , 0.920324802399, wifi
1455906471.82,received , 26 , 0.939519882202, wifi
1455906471.85,received , 27 , 0.955708742142, wifi
1455906471.88,received , 28 , 0.977580785751, wifi
1455906471.91,received , 29 , 0.993647813797, wifi
1455906472.19,received , 4 , 1.51842093468, lte
1455906472.25,received , 31 , 1.30996584892, wifi
1455906472.28,received , 32 , 1.33217191696, wifi
1455906472.31,received , 33 , 1.35157895088, wifi
1455906472.33,received , 34 , 1.36763691902, wifi
1455906472.38,received , 35 , 1.39863801003, wifi
1455906472.41,received , 36 , 1.42233085632, wifi
1455906472.44,received , 37 , 1.44416379929, wifi
1455906472.46,received , 5 , 1.77424383163, lte
1455906472.47,received , 38 , 1.46009492874, wifi
1455906472.5,received , 39 , 1.47981500626, wifi
1455906472.62,received , 42 , 1.57184791565, wifi
1455906472.65,received , 43 , 1.59478497505, wifi
1455906472.68,received , 44 , 1.61098575592, wifi
1455906472.71,received , 45 , 1.63217377663, wifi
1455906472.75,received , 46 , 1.65491199493, wifi
1455906472.75,received , 6 , 2.0553278923, lte
1455906472.77,received , 47 , 1.67094898224, wifi
1455906472.8,received , 48 , 1.69031596184, wifi
1455906472.83,received , 49 , 1.70630884171, wifi
1455906472.87,received , 50 , 1.74185204506, wifi
1455906473.09,received , 7 , 2.39195799828, lte
1455906473.14,received , 53 , 1.97412395477, wifi
1455906473.17,received , 54 , 1.99684596062, wifi
1455906473.2,received , 55 , 2.01292777061, wifi
1455906473.23,received , 56 , 2.03578901291, wifi
1455906473.26,received , 57 , 2.05866885185, wifi
1455906473.29,received , 58 , 2.07506203651, wifi
1455906473.32,received , 59 , 2.09608197212, wifi
1455906473.35,received , 8 , 2.63579893112, lte
1455906473.35,received , 60 , 2.11368393898, wifi
1455906473.38,received , 61 , 2.12975692749, wifi
1455906473.63,received , 62 , 2.37494897842, wifi
1455906473.66,received , 64 , 2.38031888008, wifi
1455906473.68,received , 65 , 2.39667081833, wifi
1455906473.71,received , 66 , 2.41640591621, wifi
1455906473.74,received , 67 , 2.43232607841, wifi
1455906473.76,received , 9 , 3.03493690491, lte
1455906473.78,received , 68 , 2.45655989647, wifi
1455906473.81,received , 69 , 2.47918486595, wifi
1455906473.84,received , 70 , 2.49524497986, wifi
