1455906695.76,received , 1 , 0.453495025635, lte
1455906695.95,received , 2 , 0.623312950134, wifi
1455906695.98,received , 2 , 0.66082906723, lte
1455906696.07,received , 3 , 0.73210310936, wifi
1455906696.1,received , 4 , 0.753173112869, wifi
1455906696.13,received , 5 , 0.776335954666, wifi
1455906696.16,received , 6 , 0.792324066162, wifi
1455906696.19,received , 7 , 0.810461044312, wifi
1455906696.21,received , 8 , 0.826797962189, wifi
1455906696.25,received , 9 , 0.854457139969, wifi
1455906696.28,received , 10 , 0.875674009323, wifi
1455906696.31,received , 11 , 0.896864175797, wifi
1455906696.32,received , 3 , 0.991403102875, lte
1455906696.34,received , 12 , 0.912750959396, wifi
1455906696.55,received , 4 , 1.2051551342, lte
1455906696.59,received , 14 , 1.1405582428, wifi
1455906696.64,received , 15 , 1.1798992157, wifi
1455906696.66,received , 16 , 1.19607400894, wifi
1455906696.7,received , 17 , 1.22404003143, wifi
1455906696.73,received , 18 , 1.24007296562, wifi
1455906696.77,received , 19 , 1.27123188972, wifi
1455906696.8,received , 20 , 1.28722405434, wifi
1455906696.81,received , 5 , 1.45598006248, lte
1455906696.84,received , 21 , 1.31857609749, wifi
1455906696.87,received , 22 , 1.3377892971, wifi
1455906696.89,received , 23 , 1.35397601128, wifi
1455906697.04,received , 6 , 1.6816649437, lte
1455906697.12,received , 25 , 1.56172323227, wifi
1455906697.15,received , 26 , 1.57983326912, wifi
1455906697.19,received , 27 , 1.60486388206, wifi
1455906697.21,received , 28 , 1.62113714218, wifi
1455906697.24,received , 29 , 1.64048409462, wifi
1455906697.27,received , 30 , 1.65679717064, wifi
1455906697.28,received , 7 , 1.91047716141, lte
1455906697.3,received , 31 , 1.67619991302, wifi
1455906697.33,received , 32 , 1.69883203506, wifi
1455906697.36,received , 33 , 1.71485304832, wifi
1455906697.4,received , 34 , 1.74091005325, wifi
1455906697.5,received , 8 , 2.11413693428, lte
1455906697.59,received , 35 , 1.9253692627, wifi
1455906697.62,received , 36 , 1.94485902786, wifi
1455906697.65,received , 37 , 1.96086406708, wifi
1455906697.68,received , 39 , 1.97419905663, wifi
1455906697.71,received , 40 , 1.99030399323, wifi
1455906697.74,received , 41 , 2.01134419441, wifi
1455906697.77,received , 42 , 2.03598809242, wifi
1455906697.8,received , 43 , 2.05591201782, wifi
1455906697.83,received , 44 , 2.07552599907, wifi
1455906697.86,received , 45 , 2.09371304512, wifi
1455906697.95,received , 9 , 2.5610640049, lte
1455906698.11,received , 46 , 2.33587598801, wifi
1455906698.18,received , 48 , 2.37965416908, wifi
1455906698.23,received , 49 , 2.41739916801, wifi
1455906698.29,received , 50 , 2.47167611122, wifi
1455906698.34,received , 51 , 2.50941705704, wifi
1455906698.39,received , 10 , 2.98259615898, lte
1455906698.39,received , 52 , 2.55206012726, wifi
1455906698.42,received , 53 , 2.57176613808, wifi
1455906698.45,received , 54 , 2.58766508102, wifi
1455906698.48,received , 55 , 2.61202311516, wifi
1455906698.73,received , 11 , 3.31504416466, lte
1455906698.78,received , 57 , 2.8906519413, wifi
1455906698.81,received , 58 , 2.9083070755, wifi
1455906698.85,received , 59 , 2.93460416794, wifi
1455906698.87,received , 60 , 2.95062804222, wifi
1455906698.91,received , 12 , 3.48391413689, lte
1455906698.91,received , 61 , 2.97673106194, wifi
1455906698.94,received , 62 , 2.99625301361, wifi
1455906698.97,received , 63 , 3.01242303848, wifi
1455906699.0,received , 64 , 3.03367519379, wifi
1455906699.02,received , 65 , 3.04963207245, wifi
1455906699.06,received , 66 , 3.07084703445, wifi
1455906699.32,received , 13 , 3.88847208023, lte
1455906699.41,received , 67 , 3.4172141552, wifi
1455906699.45,received , 68 , 3.443349123, wifi
1455906699.5,received , 69 , 3.4812681675, wifi
1455906699.53,received , 70 , 3.50089812279, wifi
1455906699.54,received , 14 , 4.09530806541, lte
1455906699.55,received , 71 , 3.51685714722, wifi
1455906699.58,received , 72 , 3.53465819359, wifi
1455906699.61,received , 73 , 3.55071306229, wifi
1455906699.64,received , 74 , 3.57178521156, wifi
1455906699.67,received , 75 , 3.59123802185, wifi
1455906699.7,received , 76 , 3.60753822327, wifi
1455906699.72,received , 77 , 3.6253759861, wifi
1455906700.04,received , 78 , 3.93227887154, wifi
1455906700.07,received , 80 , 3.93818306923, wifi
1455906700.09,received , 81 , 3.95411920547, wifi
1455906700.13,received , 82 , 3.97495412827, wifi
1455906700.15,received , 83 , 3.99104595184, wifi
1455906700.19,received , 84 , 4.01586699486, wifi
1455906700.23,received , 85 , 4.04532814026, wifi
1455906700.25,received , 86 , 4.06130623817, wifi
1455906700.29,received , 87 , 4.08683395386, wifi
1455906700.32,received , 88 , 4.10308694839, wifi
