18:42:21.926886 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
18:42:21.926973 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
18:42:21.937038 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
18:42:21.937067 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
18:42:21.947206 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
18:42:21.947225 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
18:42:21.957371 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
18:42:21.957391 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
18:42:21.967532 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
18:42:21.967550 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
18:42:21.977691 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
18:42:21.977710 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
18:42:21.987848 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
18:42:21.987865 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
18:42:21.998008 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
18:42:21.998023 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
18:42:22.008169 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
18:42:22.008184 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
18:42:22.018328 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
18:42:22.018345 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
18:42:22.028484 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
18:42:22.028500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
18:42:22.038641 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
18:42:22.038657 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
18:42:22.048801 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
18:42:22.048816 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
18:42:22.058962 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
18:42:22.058978 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
18:42:22.069119 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
18:42:22.069135 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
18:42:22.079278 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
18:42:22.079298 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
18:42:22.089438 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
18:42:22.089455 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
18:42:22.099599 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
18:42:22.099618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
18:42:22.109755 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
18:42:22.109772 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
18:42:22.119911 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
18:42:22.119927 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
18:42:22.130068 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
18:42:22.130083 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
18:42:22.140225 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
18:42:22.140241 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
18:42:22.150383 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
18:42:22.150402 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
18:42:22.160541 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
18:42:22.160557 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
18:42:22.170702 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
18:42:22.170718 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
18:42:22.180858 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
18:42:22.180874 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
18:42:22.191022 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
18:42:22.191038 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
18:42:22.201177 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
18:42:22.201196 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
18:42:22.211336 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
18:42:22.211353 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
18:42:22.221493 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
18:42:22.221509 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
18:42:22.231656 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
18:42:22.231672 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
18:42:22.241816 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
18:42:22.241832 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
18:42:22.251977 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
18:42:22.251993 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
18:42:22.262123 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
18:42:22.262138 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
18:42:22.272285 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
18:42:22.272300 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
18:42:22.282449 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
18:42:22.282464 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
18:42:22.292610 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
18:42:22.292626 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
18:42:22.302770 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
18:42:22.302786 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
18:42:22.312926 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
18:42:22.312942 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
18:42:22.323086 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
18:42:22.323102 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
18:42:22.333242 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
18:42:22.333258 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
18:42:22.343399 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
18:42:22.343414 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
18:42:22.353554 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
18:42:22.353570 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
18:42:22.363710 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
18:42:22.363725 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
18:42:22.373867 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
18:42:22.373886 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
18:42:22.384028 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
18:42:22.384044 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
18:42:22.394186 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
18:42:22.394202 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
18:42:22.404343 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
18:42:22.404358 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
18:42:22.414500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
18:42:22.414516 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
18:42:22.424640 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
18:42:22.424657 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
18:42:22.434779 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
18:42:22.434797 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
18:42:22.444920 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
18:42:22.444940 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
18:42:22.455078 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
18:42:22.455099 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
18:42:22.465241 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
18:42:22.465259 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
18:42:22.475406 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
18:42:22.475423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
18:42:22.485566 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
18:42:22.485583 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
18:42:22.495725 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
