15:11:50.726777 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 1
15:11:50.727036 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 1
15:11:50.736924 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 2
15:11:50.737160 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 2
15:11:50.747063 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 3
15:11:50.747281 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 3
15:11:50.757206 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 4
15:11:50.757402 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 4
15:11:50.767343 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 5
15:11:50.767523 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 5
15:11:50.777481 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 6
15:11:50.777645 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 6
15:11:50.787618 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 7
15:11:50.787771 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 7
15:11:50.797754 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 8
15:11:50.797908 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 8
15:11:50.807891 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 9
15:11:50.808043 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 9
15:11:50.818027 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 10
15:11:50.818180 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 10
15:11:50.828164 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 11
15:11:50.828316 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 11
15:11:50.838309 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 12
15:11:50.838456 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 12
15:11:50.848446 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 13
15:11:50.848599 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 13
15:11:50.858588 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 14
15:11:50.858737 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 14
15:11:50.868724 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 15
15:11:50.868877 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 15
15:11:50.878861 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 16
15:11:50.879013 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 16
15:11:50.889002 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 17
15:11:50.889152 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 17
15:11:50.899139 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 18
15:11:50.899291 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 18
15:11:50.909280 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 19
15:11:50.909429 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 19
15:11:50.919417 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 20
15:11:50.919570 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 20
15:11:50.929553 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 21
15:11:50.929705 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 21
