16:00:38.354131 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 1
16:00:38.354391 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 1
16:00:38.364274 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 2
16:00:38.364514 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 2
16:00:38.374412 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 3
16:00:38.374635 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 3
16:00:38.384533 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 4
16:00:38.384756 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 4
16:00:38.394670 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 5
16:00:38.394877 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 5
16:00:38.404808 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 6
16:00:38.404997 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 6
16:00:38.414945 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 7
16:00:38.415118 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 7
16:00:38.425080 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 8
16:00:38.425238 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 8
16:00:38.435217 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 9
16:00:38.435369 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 9
16:00:38.445353 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 10
16:00:38.445506 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 10
16:00:38.455490 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 11
16:00:38.455643 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 11
16:00:38.465627 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 12
16:00:38.465779 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 12
16:00:38.475763 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 13
16:00:38.475915 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 13
16:00:38.485899 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 14
16:00:38.486052 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 14
16:00:38.496036 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 15
16:00:38.496188 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 15
16:00:38.506172 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 16
16:00:38.506324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 16
16:00:38.516308 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 17
16:00:38.516461 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 17
16:00:38.526444 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 18
16:00:38.526597 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 18
16:00:38.536581 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 19
16:00:38.536733 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 19
16:00:38.546717 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 20
16:00:38.546869 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 20
16:00:38.556853 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 21
16:00:38.557005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 21
16:00:38.566989 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 22
16:00:38.567170 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 22
16:00:38.577135 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 23
16:00:38.577302 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 23
16:00:38.587280 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 24
16:00:38.587432 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 24
16:00:38.597422 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 25
16:00:38.597561 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 25
16:00:38.607563 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 26
16:00:38.607689 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 26
16:00:38.617704 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 27
16:00:38.617817 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 27
16:00:38.627845 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 28
16:00:38.627943 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 28
16:00:38.637985 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 29
16:00:38.638072 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 29
16:00:38.648125 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 30
16:00:38.648199 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 30
16:00:38.658264 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 31
16:00:38.658324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 31
16:00:38.668388 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 32
16:00:38.668450 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 32
16:00:38.678529 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 33
16:00:38.678575 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 33
16:00:38.688670 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 34
16:00:38.688699 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 34
16:00:38.698811 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 35
16:00:38.698835 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 35
16:00:38.708975 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 36
16:00:38.708993 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 36
16:00:38.719133 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 37
16:00:38.719150 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 37
16:00:38.729291 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 38
16:00:38.729310 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 38
16:00:38.739450 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 39
16:00:38.739465 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 39
16:00:38.749605 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 40
16:00:38.749622 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 40
16:00:38.759763 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 41
16:00:38.759780 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 41
16:00:38.769921 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 42
16:00:38.769937 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 42
16:00:38.780077 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 43
16:00:38.780099 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 43
16:00:38.790239 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 44
16:00:38.790256 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 44
16:00:38.800382 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 45
16:00:38.800399 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 45
16:00:38.810539 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 46
16:00:38.810556 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 46
16:00:38.820696 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 47
16:00:38.820713 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 47
16:00:38.830852 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 48
16:00:38.830871 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 48
16:00:38.841010 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 49
16:00:38.841028 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 49
16:00:38.851167 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 50
16:00:38.851184 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 50
16:00:38.861325 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 51
16:00:38.861343 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 51
16:00:38.871481 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 52
16:00:38.871498 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 52
16:00:38.881638 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 53
16:00:38.881653 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 53
16:00:38.891797 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 54
16:00:38.891813 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 54
16:00:38.901953 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 55
16:00:38.901969 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 55
16:00:38.912110 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 56
16:00:38.912127 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 56
16:00:38.922249 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 57
16:00:38.922267 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 57
16:00:38.932406 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 58
16:00:38.932424 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 58
16:00:38.942564 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 59
16:00:38.942580 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 59
16:00:38.952724 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 60
16:00:38.952741 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 60
16:00:38.962885 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 61
16:00:38.962907 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 61
16:00:38.973046 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 62
16:00:38.973064 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 62
16:00:38.983203 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 63
16:00:38.983220 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 63
16:00:38.993360 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 64
16:00:38.993377 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 64
16:00:39.003523 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 65
16:00:39.003541 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 65
16:00:39.013680 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 66
16:00:39.013699 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 66
16:00:39.023838 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 67
16:00:39.023853 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 67
16:00:39.033994 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 68
16:00:39.034012 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 68
16:00:39.044152 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 69
16:00:39.044169 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 69
16:00:39.054307 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 70
16:00:39.054323 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 70
16:00:39.064463 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 71
16:00:39.064480 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 71
