1455532618.67,received , 1 , 3.85905718803, wifi
1455532618.67,received , 85 , 3.00627398491, lte
1455532618.67,received , 2 , 3.84940314293, wifi
1455532618.68,received , 86 , 2.99822402, lte
1455532618.68,received , 3 , 3.84124612808, wifi
1455532618.68,received , 87 , 2.98840904236, lte
1455532618.68,received , 4 , 3.83154129982, wifi
1455532618.68,received , 88 , 2.97863507271, lte
1455532618.68,received , 5 , 3.82174396515, wifi
1455532618.68,received , 89 , 2.96883487701, lte
1455532618.68,received , 90 , 2.95899391174, lte
1455532618.68,received , 6 , 3.81214213371, wifi
1455532618.68,received , 91 , 2.94907903671, lte
1455532618.68,received , 7 , 3.80235695839, wifi
1455532618.68,received , 92 , 2.9393529892, lte
1455532618.68,received , 8 , 3.79262709618, wifi
1455532618.68,received , 93 , 2.92958521843, lte
1455532618.68,received , 9 , 3.78286123276, wifi
1455532618.68,received , 94 , 2.91981005669, lte
1455532618.68,received , 10 , 3.77306318283, wifi
1455532618.68,received , 95 , 2.91010308266, lte
1455532618.68,received , 11 , 3.76331925392, wifi
1455532618.68,received , 96 , 2.90029287338, lte
1455532618.68,received , 12 , 3.75360608101, wifi
1455532618.68,received , 97 , 2.89056992531, lte
1455532618.68,received , 13 , 3.74379491806, wifi
1455532618.68,received , 98 , 2.88076305389, lte
1455532618.68,received , 14 , 3.73397302628, wifi
1455532618.68,received , 99 , 2.87098002434, lte
1455532618.68,received , 15 , 3.72420811653, wifi
1455532618.68,received , 100 , 2.86120009422, lte
1455532618.68,received , 16 , 3.71440720558, wifi
1455532618.68,received , 101 , 2.85146307945, lte
1455532618.68,received , 17 , 3.70473122597, wifi
1455532618.68,received , 102 , 2.84179496765, lte
1455532618.68,received , 18 , 3.69499921799, wifi
1455532618.68,received , 103 , 2.83208608627, lte
1455532618.68,received , 19 , 3.68533110619, wifi
1455532618.68,received , 104 , 2.82232713699, lte
1455532618.68,received , 20 , 3.67559194565, wifi
1455532618.68,received , 105 , 2.81254005432, lte
1455532618.68,received , 21 , 3.66576004028, wifi
1455532618.68,received , 106 , 2.80274105072, lte
1455532618.68,received , 22 , 3.65601921082, wifi
1455532618.68,received , 107 , 2.79313206673, lte
1455532618.68,received , 23 , 3.64640426636, wifi
1455532618.69,received , 108 , 2.78331327438, lte
1455532618.69,received , 109 , 2.77429294586, lte
1455532618.69,received , 24 , 3.63762998581, wifi
1455532618.69,received , 110 , 2.76442408562, lte
1455532618.69,received , 25 , 3.62777400017, wifi
1455532618.69,received , 111 , 2.75458598137, lte
1455532618.69,received , 26 , 3.61800909042, wifi
1455532618.69,received , 112 , 2.74479317665, lte
1455532618.69,received , 27 , 3.60815596581, wifi
1455532618.69,received , 113 , 2.73493719101, lte
1455532618.69,received , 28 , 3.59829521179, wifi
1455532618.69,received , 114 , 2.7251291275, lte
1455532618.69,received , 29 , 3.58845210075, wifi
1455532618.69,received , 115 , 2.71522402763, lte
1455532618.69,received , 30 , 3.57855224609, wifi
1455532618.69,received , 116 , 2.70551514626, lte
1455532618.69,received , 31 , 3.56877803802, wifi
1455532618.69,received , 117 , 2.6955780983, lte
1455532618.69,received , 32 , 3.5589401722, wifi
1455532618.69,received , 118 , 2.6857252121, lte
1455532618.69,received , 33 , 3.54913306236, wifi
1455532618.69,received , 119 , 2.67591023445, lte
1455532618.69,received , 34 , 3.53926420212, wifi
1455532618.69,received , 120 , 2.66606998444, lte
1455532618.69,received , 35 , 3.52934527397, wifi
1455532618.69,received , 121 , 2.65611195564, lte
1455532618.69,received , 36 , 3.51943206787, wifi
1455532618.69,received , 122 , 2.64629411697, lte
1455532618.69,received , 37 , 3.50962710381, wifi
1455532618.69,received , 123 , 2.63642716408, lte
1455532618.69,received , 38 , 3.49973702431, wifi
1455532618.69,received , 124 , 2.62655711174, lte
1455532618.69,received , 39 , 3.48986506462, wifi
1455532618.69,received , 125 , 2.61664009094, lte
1455532618.69,received , 40 , 3.47994017601, wifi
1455532618.69,received , 126 , 2.60673809052, lte
1455532618.69,received , 41 , 3.47010827065, wifi
1455532618.69,received , 127 , 2.59689497948, lte
1455532618.69,received , 42 , 3.46022129059, wifi
1455532618.69,received , 128 , 2.58699703217, lte
1455532618.69,received , 43 , 3.45032691956, wifi
1455532618.69,received , 129 , 2.57711601257, lte
1455532618.69,received , 44 , 3.44038891792, wifi
1455532618.69,received , 130 , 2.56719231606, lte
1455532618.69,received , 45 , 3.43039608002, wifi
1455532618.69,received , 131 , 2.55720806122, lte
1455532618.69,received , 46 , 3.42045903206, wifi
1455532618.69,received , 132 , 2.54726314545, lte
1455532618.69,received , 47 , 3.4105451107, wifi
1455532618.69,received , 133 , 2.53731203079, lte
1455532618.69,received , 48 , 3.40054821968, wifi
1455532618.69,received , 134 , 2.5274450779, lte
1455532618.69,received , 49 , 3.39064598083, wifi
1455532618.69,received , 135 , 2.51747608185, lte
1455532618.69,received , 50 , 3.38070297241, wifi
1455532618.69,received , 136 , 2.50754022598, lte
1455532618.69,received , 51 , 3.3707909584, wifi
1455532618.69,received , 137 , 2.49763798714, lte
1455532618.69,received , 52 , 3.36083006859, wifi
1455532618.69,received , 138 , 2.48766899109, lte
1455532618.69,received , 53 , 3.35089206696, wifi
1455532618.69,received , 139 , 2.47774410248, lte
1455532618.69,received , 54 , 3.34096717834, wifi
1455532618.69,received , 140 , 2.46777105331, lte
1455532618.69,received , 55 , 3.33096885681, wifi
1455532618.69,received , 141 , 2.45786213875, lte
1455532618.69,received , 56 , 3.32105493546, wifi
1455532618.69,received , 142 , 2.44799900055, lte
1455532618.69,received , 57 , 3.31115698814, wifi
1455532618.7,received , 143 , 2.43806695938, lte
1455532618.7,received , 58 , 3.3012740612, wifi
1455532618.7,received , 144 , 2.4281001091, lte
1455532618.7,received , 59 , 3.29138112068, wifi
1455532618.7,received , 145 , 2.41818904877, lte
1455532618.7,received , 60 , 3.28143119812, wifi
1455532618.7,received , 146 , 2.40824699402, lte
1455532618.7,received , 61 , 3.27146410942, wifi
1455532618.7,received , 147 , 2.39829015732, lte
1455532618.7,received , 62 , 3.26151108742, wifi
1455532618.7,received , 148 , 2.38833618164, lte
1455532618.7,received , 63 , 3.25153303146, wifi
1455532618.7,received , 149 , 2.37836694717, lte
1455532618.7,received , 64 , 3.24156594276, wifi
1455532618.7,received , 150 , 2.36837005615, lte
1455532618.7,received , 65 , 3.23159098625, wifi
1455532618.7,received , 151 , 2.3584280014, lte
1455532618.7,received , 66 , 3.22168207169, wifi
1455532618.7,received , 152 , 2.34853315353, lte
1455532618.7,received , 67 , 3.21171212196, wifi
1455532618.7,received , 153 , 2.33853912354, lte
1455532618.7,received , 68 , 3.20176887512, wifi
1455532618.7,received , 154 , 2.32859420776, lte
1455532618.7,received , 69 , 3.19180107117, wifi
1455532618.7,received , 155 , 2.31864094734, lte
1455532618.7,received , 156 , 2.30869793892, lte
1455532618.7,received , 70 , 3.18192410469, wifi
1455532618.7,received , 157 , 2.29866695404, lte
1455532618.7,received , 71 , 3.17201209068, wifi
1455532618.7,received , 158 , 2.28873300552, lte
1455532618.7,received , 72 , 3.16205811501, wifi
1455532618.7,received , 159 , 2.27882504463, lte
1455532618.7,received , 160 , 2.26893615723, lte
1455532618.7,received , 73 , 3.1523411274, wifi
1455532618.7,received , 161 , 2.2589058876, lte
1455532618.7,received , 74 , 3.14238119125, wifi
1455532618.7,received , 162 , 2.24894213676, lte
1455532618.7,received , 75 , 3.13242411613, wifi
1455532618.7,received , 163 , 2.23900318146, lte
1455532618.7,received , 76 , 3.12245988846, wifi
1455532618.7,received , 164 , 2.22905111313, lte
1455532618.7,received , 77 , 3.11250495911, wifi
1455532618.7,received , 165 , 2.21911716461, lte
1455532618.7,received , 78 , 3.10253000259, wifi
1455532618.7,received , 166 , 2.20913124084, lte
1455532618.7,received , 79 , 3.09258413315, wifi
1455532618.7,received , 167 , 2.19916796684, lte
1455532618.7,received , 80 , 3.08259701729, wifi
1455532618.7,received , 168 , 2.18921303749, lte
1455532618.7,received , 81 , 3.07262706757, wifi
1455532618.7,received , 169 , 2.17923402786, lte
1455532618.7,received , 82 , 3.06267619133, wifi
1455532618.7,received , 170 , 2.16931509972, lte
1455532618.7,received , 83 , 3.052754879, wifi
1455532618.7,received , 171 , 2.15935707092, lte
1455532618.7,received , 84 , 3.0427749157, wifi
1455532618.7,received , 172 , 2.14939928055, lte
1455532618.7,received , 85 , 3.0328309536, wifi
1455532618.7,received , 173 , 2.13943505287, lte
1455532618.7,received , 86 , 3.02289700508, wifi
1455532618.7,received , 174 , 2.12947106361, lte
1455532618.7,received , 87 , 3.01290225983, wifi
1455532618.7,received , 175 , 2.11950802803, lte
1455532618.7,received , 88 , 3.00294208527, wifi
1455532618.7,received , 176 , 2.10954713821, lte
1455532618.7,received , 89 , 2.99296307564, wifi
1455532618.7,received , 177 , 2.09962105751, lte
1455532618.7,received , 90 , 2.98303198814, wifi
1455532618.7,received , 178 , 2.08966207504, lte
1455532618.7,received , 179 , 2.07974791527, lte
1455532618.7,received , 91 , 2.97306609154, wifi
1455532618.7,received , 180 , 2.06972718239, lte
1455532618.7,received , 92 , 2.96329402924, wifi
1455532618.7,received , 181 , 2.05979800224, lte
1455532618.7,received , 93 , 2.95335507393, wifi
1455532618.7,received , 182 , 2.04984927177, lte
1455532618.7,received , 94 , 2.94337511063, wifi
1455532618.7,received , 183 , 2.0398952961, lte
1455532618.7,received , 95 , 2.93339109421, wifi
1455532618.7,received , 184 , 2.02992010117, lte
1455532618.7,received , 96 , 2.92346096039, wifi
1455532618.7,received , 185 , 2.01993012428, lte
1455532618.7,received , 97 , 2.91348195076, wifi
1455532618.7,received , 186 , 2.01001811028, lte
1455532618.7,received , 98 , 2.9035141468, wifi
1455532618.7,received , 187 , 2.00006604195, lte
1455532618.7,received , 99 , 2.89358615875, wifi
1455532618.7,received , 188 , 1.99011826515, lte
1455532618.7,received , 100 , 2.8836171627, wifi
1455532618.7,received , 189 , 1.98016405106, lte
1455532618.7,received , 101 , 2.87364721298, wifi
1455532618.7,received , 190 , 1.97021794319, lte
1455532618.7,received , 102 , 2.86371803284, wifi
1455532618.7,received , 191 , 1.96028113365, lte
1455532618.7,received , 103 , 2.85378599167, wifi
1455532618.7,received , 192 , 1.95033812523, lte
1455532618.7,received , 104 , 2.84379506111, wifi
1455532618.71,received , 193 , 1.94051909447, lte
1455532618.71,received , 105 , 2.83395314217, wifi
1455532618.71,received , 194 , 1.93052625656, lte
1455532618.71,received , 106 , 2.82401204109, wifi
1455532618.71,received , 195 , 1.92060303688, lte
1455532618.71,received , 107 , 2.81410503387, wifi
1455532618.71,received , 196 , 1.91066813469, lte
1455532618.71,received , 108 , 2.80417823792, wifi
1455532618.71,received , 197 , 1.90071702003, lte
1455532618.71,received , 109 , 2.79419398308, wifi
1455532618.71,received , 198 , 1.89078521729, lte
1455532618.71,received , 110 , 2.78425097466, wifi
1455532618.71,received , 199 , 1.88085818291, lte
1455532618.71,received , 111 , 2.77428603172, wifi
1455532618.71,received , 200 , 1.87089490891, lte
1455532618.71,received , 112 , 2.76432800293, wifi
1455532618.71,received , 201 , 1.86092805862, lte
1455532618.71,received , 113 , 2.75436210632, wifi
1455532618.71,received , 202 , 1.85096216202, lte
1455532618.71,received , 114 , 2.7444190979, wifi
1455532618.71,received , 203 , 1.84102416039, lte
1455532618.71,received , 115 , 2.73444986343, wifi
1455532618.71,received , 204 , 1.83109617233, lte
1455532618.71,received , 116 , 2.72461009026, wifi
1455532618.71,received , 205 , 1.8212211132, lte
1455532618.71,received , 117 , 2.71467614174, wifi
1455532618.71,received , 206 , 1.81130409241, lte
1455532618.71,received , 118 , 2.70478320122, wifi
1455532618.71,received , 207 , 1.80138611794, lte
1455532618.71,received , 208 , 1.79146409035, lte
1455532618.71,received , 209 , 1.78143811226, lte
1455532618.71,received , 119 , 2.69486308098, wifi
1455532618.71,received , 210 , 1.77144908905, lte
1455532618.71,received , 120 , 2.68526029587, wifi
1455532618.71,received , 211 , 1.76153421402, lte
1455532618.71,received , 121 , 2.67530298233, wifi
1455532618.71,received , 212 , 1.75193309784, lte
1455532618.71,received , 122 , 2.66568803787, wifi
1455532618.71,received , 213 , 1.74197292328, lte
1455532618.71,received , 123 , 2.65574407578, wifi
1455532618.71,received , 124 , 2.6456720829, wifi
1455532618.71,received , 125 , 2.6355881691, wifi
1455532618.71,received , 126 , 2.62549304962, wifi
1455532618.71,received , 127 , 2.61540603638, wifi
1455532618.71,received , 128 , 2.60534000397, wifi
1455532618.71,received , 129 , 2.59524202347, wifi
1455532618.71,received , 130 , 2.58516311646, wifi
1455532618.71,received , 131 , 2.57507491112, wifi
1455532618.71,received , 132 , 2.56497502327, wifi
1455532618.71,received , 133 , 2.55488705635, wifi
1455532618.71,received , 134 , 2.54479813576, wifi
1455532618.71,received , 135 , 2.53471422195, wifi
1455532618.71,received , 214 , 1.73277401924, lte
1455532618.71,received , 381 , 0.0366711616516, wifi
1455532618.71,received , 215 , 1.72545599937, lte
1455532618.71,received , 216 , 1.71536517143, lte
1455532618.71,received , 217 , 1.70525026321, lte
1455532618.71,received , 218 , 1.69513106346, lte
1455532618.71,received , 219 , 1.68501091003, lte
1455532618.71,received , 381 , 0.0396311283112, lte
1455532618.71,received , 382 , 0.0295219421387, lte
1455532618.71,received , 383 , 0.0194020271301, lte
1455532618.71,received , 384 , 0.00928211212158, lte
1455532618.71,received , 382 , 0.0297040939331, wifi
1455532618.72,received , 383 , 0.02281498909, wifi
1455532618.72,received , 384 , 0.0127830505371, wifi
1455532618.72,received , 385 , 0.00275015830994, wifi
1455532618.72,received , 385 , 0.00950312614441, lte
1455532618.73,received , 386 , 0.000738143920898, wifi
1455532618.74,received , 386 , 0.0103340148926, lte
1455532618.74,received , 387 , 0.000614166259766, wifi
1455532618.75,received , 387 , 0.00997304916382, lte
1455532618.75,received , 388 , 0.000614166259766, wifi
1455532618.75,received , 388 , 0.00962710380554, lte
1455532618.76,received , 389 , 0.00093412399292, wifi
1455532618.76,received , 389 , 0.00830817222595, lte
1455532618.77,received , 390 , 0.000617980957031, wifi
1455532618.77,received , 390 , 0.00881099700928, lte
1455532618.78,received , 391 , 0.000549077987671, wifi
1455532618.79,received , 391 , 0.0104351043701, lte
