10:40:24.348038 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 1
10:40:24.358111 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 2
10:40:24.368270 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 3
10:40:24.378423 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 4
10:40:24.388582 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 5
10:40:24.398736 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 6
10:40:24.408894 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 7
10:40:24.419048 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 8
10:40:24.429204 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 9
10:40:24.439343 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 10
10:40:24.449514 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 11
10:40:24.459676 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 12
10:40:24.469829 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 13
10:40:24.479987 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 14
10:40:24.490142 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 15
10:40:24.500279 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 16
10:40:24.510435 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 17
10:40:24.520587 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 18
10:40:24.530738 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 19
10:40:24.540895 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 20
10:40:24.551048 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 21
10:40:24.561201 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 22
10:40:24.571382 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 23
