1455533016.18,received , 1 , 0.00165319442749, wifi
1455533016.19,received , 2 , 0.000962018966675, wifi
1455533016.2,received , 3 , 0.000891923904419, wifi
1455533016.21,received , 4 , 0.000947952270508, wifi
1455533016.23,received , 5 , 0.000923156738281, wifi
1455533016.24,received , 6 , 0.000980138778687, wifi
1455533016.25,received , 7 , 0.000949859619141, wifi
1455533016.26,received , 8 , 0.000880002975464, wifi
1455533016.27,received , 9 , 0.000922918319702, wifi
1455533016.29,received , 10 , 0.000889778137207, wifi
1455533016.3,received , 11 , 0.000903129577637, wifi
1455533016.32,received , 12 , 0.00587892532349, wifi
1455533016.33,received , 13 , 0.00420188903809, wifi
1455533016.34,received , 14 , 0.00375890731812, wifi
1455533016.37,received , 1 , 0.192377090454, lte
1455533016.39,received , 15 , 0.0362989902496, wifi
1455533016.39,received , 16 , 0.0236451625824, wifi
1455533016.4,received , 17 , 0.0274648666382, wifi
1455533016.4,received , 18 , 0.0167391300201, wifi
1455533016.4,received , 19 , 0.00453901290894, wifi
1455533016.42,received , 20 , 0.0133748054504, wifi
1455533016.42,received , 21 , 0.00143003463745, wifi
1455533016.43,received , 2 , 0.237106084824, lte
1455533016.44,received , 22 , 0.0110878944397, wifi
1455533016.45,received , 23 , 0.00238800048828, wifi
1455533016.46,received , 24 , 0.00240993499756, wifi
1455533016.47,received , 25 , 0.00116896629333, wifi
1455533016.48,received , 3 , 0.276136159897, lte
1455533016.49,received , 26 , 0.00311779975891, wifi
1455533016.5,received , 27 , 0.00102996826172, wifi
1455533016.51,received , 4 , 0.292953968048, lte
1455533016.51,received , 28 , 0.00118398666382, wifi
1455533016.53,received , 5 , 0.306804895401, lte
1455533016.53,received , 29 , 0.0111000537872, wifi
1455533016.53,received , 30 , 0.00154685974121, wifi
1455533016.54,received , 31 , 0.00199699401855, wifi
1455533016.55,received , 6 , 0.317108869553, lte
1455533016.56,received , 32 , 0.0016770362854, wifi
1455533016.58,received , 7 , 0.327821016312, lte
1455533016.58,received , 33 , 0.0136749744415, wifi
1455533016.58,received , 34 , 0.00107288360596, wifi
1455533016.59,received , 35 , 0.00146889686584, wifi
1455533016.6,received , 8 , 0.338176965714, lte
1455533016.61,received , 36 , 0.00194597244263, wifi
1455533016.62,received , 37 , 0.00165295600891, wifi
1455533016.62,received , 9 , 0.346518039703, lte
1455533016.63,received , 38 , 0.00182914733887, wifi
1455533016.64,received , 10 , 0.352909088135, lte
1455533016.65,received , 39 , 0.00338697433472, wifi
1455533016.66,received , 40 , 0.00092601776123, wifi
1455533016.66,received , 11 , 0.359139919281, lte
1455533016.67,received , 41 , 0.00118803977966, wifi
1455533016.67,received , 12 , 0.361389160156, lte
1455533016.68,received , 42 , 0.00103116035461, wifi
1455533016.69,received , 13 , 0.36566400528, lte
1455533016.69,received , 43 , 0.00149989128113, wifi
1455533016.71,received , 44 , 0.00232696533203, wifi
1455533016.71,received , 14 , 0.376142978668, lte
1455533016.72,received , 15 , 0.371438980103, lte
1455533016.72,received , 45 , 0.00432801246643, wifi
1455533016.73,received , 46 , 0.00196719169617, wifi
1455533016.74,received , 16 , 0.374636888504, lte
1455533016.74,received , 47 , 0.0024950504303, wifi
1455533016.75,received , 17 , 0.37312412262, lte
1455533016.76,received , 48 , 0.00280904769897, wifi
1455533016.76,received , 18 , 0.37447810173, lte
1455533016.77,received , 49 , 0.00188398361206, wifi
1455533016.77,received , 19 , 0.3728120327, lte
1455533016.78,received , 20 , 0.372803926468, lte
1455533016.78,received , 50 , 0.00300312042236, wifi
1455533016.79,received , 21 , 0.369093179703, lte
1455533016.79,received , 51 , 0.00173807144165, wifi
1455533016.8,received , 22 , 0.364314079285, lte
1455533016.8,received , 52 , 0.00280594825745, wifi
1455533016.81,received , 23 , 0.361580133438, lte
1455533016.82,received , 24 , 0.357886075974, lte
1455533016.82,received , 53 , 0.00318598747253, wifi
1455533016.82,received , 25 , 0.352277040482, lte
1455533016.83,received , 54 , 0.000890016555786, wifi
1455533016.83,received , 26 , 0.347763061523, lte
1455533016.84,received , 27 , 0.344964981079, lte
1455533016.84,received , 55 , 0.00188088417053, wifi
1455533016.85,received , 28 , 0.34530210495, lte
1455533016.86,received , 56 , 0.00166416168213, wifi
1455533016.86,received , 29 , 0.334554195404, lte
1455533016.86,received , 30 , 0.33062505722, lte
1455533016.87,received , 57 , 0.00190496444702, wifi
1455533016.87,received , 31 , 0.327439069748, lte
1455533016.88,received , 32 , 0.325988054276, lte
1455533016.88,received , 58 , 0.00158095359802, wifi
1455533016.89,received , 33 , 0.319149971008, lte
1455533016.89,received , 59 , 0.00150990486145, wifi
1455533016.89,received , 34 , 0.314492940903, lte
1455533016.9,received , 35 , 0.309952974319, lte
1455533016.91,received , 60 , 0.00205111503601, wifi
1455533016.91,received , 36 , 0.304286956787, lte
1455533016.92,received , 37 , 0.298493862152, lte
1455533016.92,received , 61 , 0.00138998031616, wifi
1455533016.93,received , 62 , 0.00168085098267, wifi
1455533016.94,received , 38 , 0.313931941986, lte
1455533016.94,received , 39 , 0.301325082779, lte
1455533016.94,received , 40 , 0.288723945618, lte
1455533016.95,received , 63 , 0.0120198726654, wifi
1455533016.96,received , 64 , 0.00371503829956, wifi
1455533016.96,received , 41 , 0.290349006653, lte
1455533016.96,received , 42 , 0.27880191803, lte
1455533016.97,received , 43 , 0.273530006409, lte
1455533016.97,received , 65 , 0.00189399719238, wifi
1455533016.98,received , 44 , 0.272641181946, lte
1455533016.98,received , 45 , 0.266664028168, lte
1455533016.98,received , 66 , 0.00441312789917, wifi
1455533016.99,received , 46 , 0.258754014969, lte
1455533016.99,received , 67 , 0.00289106369019, wifi
1455533017.0,received , 47 , 0.256108045578, lte
1455533017.01,received , 68 , 0.000937938690186, wifi
