10:46:10.001569 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
10:46:10.002379 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
10:46:10.014192 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
10:46:10.014283 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
10:46:10.024819 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
10:46:10.024927 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
10:46:10.035298 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
10:46:10.035397 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
10:46:10.045898 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
10:46:10.045928 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
10:46:10.058807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
10:46:10.058908 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
10:46:10.069126 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
10:46:10.069881 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
10:46:10.081913 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
10:46:10.082018 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
10:46:10.094568 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
10:46:10.094670 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
10:46:10.107460 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
10:46:10.107576 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
10:46:10.118437 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
10:46:10.118578 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
10:46:10.131154 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
10:46:10.131236 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
10:46:10.143804 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
10:46:10.143911 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
10:46:10.156699 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
10:46:10.156795 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
10:46:10.167148 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
10:46:10.167212 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
10:46:10.177785 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
10:46:10.177880 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
10:46:10.188655 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
10:46:10.188739 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
10:46:10.201199 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
10:46:10.201320 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
10:46:10.213811 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
10:46:10.213906 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
10:46:10.224189 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
10:46:10.224267 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
10:46:10.234991 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
10:46:10.235102 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
10:46:10.245686 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
10:46:10.245907 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
