11:31:06.451271 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 1
11:31:06.461407 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 2
11:31:06.471575 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 3
11:31:06.481734 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 4
11:31:06.491890 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 5
11:31:06.502046 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 6
11:31:06.512203 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 7
11:31:06.522360 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 8
11:31:06.532519 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 9
11:31:06.542675 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 10
11:31:06.552844 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 11
11:31:06.562983 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 12
11:31:06.573137 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 13
11:31:06.583296 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 14
11:31:06.593452 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 15
11:31:06.603607 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 16
11:31:06.613761 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 17
11:31:06.623915 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 18
11:31:06.634087 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 19
11:31:06.644226 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 20
11:31:06.654381 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 21
11:31:06.664538 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 22
11:31:06.674696 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 23
