11:43:08.889205 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
11:43:08.892036 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
11:43:08.899452 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
11:43:08.902223 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
11:43:08.909657 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
11:43:08.912441 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
11:43:08.919889 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
11:43:08.922643 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
11:43:08.930102 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
11:43:08.932901 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
11:43:08.940353 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
11:43:08.943155 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
11:43:08.950609 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
11:43:08.953408 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
11:43:08.960858 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
11:43:08.963673 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
11:43:08.971090 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
11:43:08.973883 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
11:43:08.981334 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
11:43:08.984141 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
11:43:08.991571 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
11:43:08.994407 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
11:43:09.001818 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
11:43:09.004662 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
11:43:09.012073 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
11:43:09.014914 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
11:43:09.022429 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
11:43:09.025188 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
11:43:09.032756 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
11:43:09.035560 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
11:43:09.043112 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
11:43:09.045867 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
11:43:09.053444 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
11:43:09.056166 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
11:43:09.063759 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
11:43:09.066472 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
11:43:09.074083 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
11:43:09.076826 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
11:43:09.084452 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
11:43:09.087190 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
11:43:09.094778 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
11:43:09.097578 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
11:43:09.105106 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
11:43:09.107900 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
11:43:09.115478 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
11:43:09.118370 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
11:43:09.125859 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
11:43:09.128764 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
11:43:09.136203 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
11:43:09.139152 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
