10:39:00.985802 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
10:39:00.987670 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
10:39:00.997088 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
10:39:00.997196 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
10:39:01.009987 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
10:39:01.010087 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
10:39:01.020447 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
10:39:01.020630 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
10:39:01.031047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
10:39:01.031238 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
10:39:01.042449 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
10:39:01.042566 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
10:39:01.055077 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
10:39:01.055198 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
10:39:01.067755 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
10:39:01.067850 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
10:39:01.080415 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
10:39:01.080524 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
10:39:01.093066 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
10:39:01.093144 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
10:39:01.105731 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
10:39:01.105794 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
10:39:01.118380 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
10:39:01.118489 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
10:39:01.131055 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
10:39:01.131161 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
10:39:01.143700 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
10:39:01.143807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
10:39:01.154990 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
10:39:01.155088 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
10:39:01.167513 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
10:39:01.167602 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
10:39:01.180166 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
10:39:01.180230 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
10:39:01.193034 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
10:39:01.193227 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
10:39:01.206053 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
10:39:01.206158 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
10:39:01.218929 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
10:39:01.219044 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
10:39:01.231852 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
10:39:01.231946 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
10:39:01.244816 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
10:39:01.244920 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
10:39:01.257738 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
10:39:01.257846 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
10:39:01.270643 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
10:39:01.270755 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
10:39:01.283536 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
10:39:01.283639 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
10:39:01.296421 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
10:39:01.296543 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
10:39:01.307147 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
10:39:01.307202 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
10:39:01.320002 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
10:39:01.320088 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
10:39:01.332902 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
10:39:01.333025 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
10:39:01.345818 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
10:39:01.345923 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
10:39:01.358694 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
10:39:01.358784 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
10:39:01.371544 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
10:39:01.371650 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
10:39:01.384474 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
10:39:01.384582 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
10:39:01.397355 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
10:39:01.397466 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
10:39:01.410240 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
10:39:01.410346 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
10:39:01.423208 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
10:39:01.423256 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
10:39:01.434695 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
10:39:01.434806 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
10:39:01.447521 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
10:39:01.447612 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
10:39:01.460389 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
10:39:01.460499 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
10:39:01.473292 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
10:39:01.473472 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
10:39:01.484724 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
10:39:01.486104 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
10:39:01.497549 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
10:39:01.497821 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
10:39:01.508144 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
10:39:01.508415 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
10:39:01.520053 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
10:39:01.520103 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
10:39:01.532925 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
10:39:01.533027 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
10:39:01.545831 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
10:39:01.545918 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
10:39:01.558714 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
10:39:01.558808 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
10:39:01.571498 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
10:39:01.571518 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
10:39:01.582582 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
10:39:01.584439 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
10:39:01.595395 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
10:39:01.595474 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
10:39:01.608273 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
10:39:01.608386 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
10:39:01.621153 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
10:39:01.621246 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
10:39:01.634070 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
10:39:01.634151 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
10:39:01.646974 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
