1455714221.04,received , 1 , -0.00551700592041, wifi
1455714221.05,received , 2 , -0.00629901885986, wifi
1455714221.06,received , 3 , -0.00629019737244, wifi
1455714221.07,received , 4 , -0.00627708435059, wifi
1455714221.08,received , 5 , -0.00629901885986, wifi
1455714221.1,received , 6 , -0.00628519058228, wifi
1455714221.11,received , 7 , -0.00632691383362, wifi
1455714221.12,received , 8 , -0.00626802444458, wifi
1455714221.13,received , 9 , -0.0062530040741, wifi
1455714221.14,received , 10 , -0.0062689781189, wifi
1455714221.15,received , 11 , -0.00624895095825, wifi
1455714221.17,received , 12 , -0.00624513626099, wifi
1455714221.18,received , 13 , -0.00629115104675, wifi
1455714221.19,received , 14 , -0.0062530040741, wifi
1455714221.2,received , 15 , -0.00628304481506, wifi
1455714221.21,received , 16 , -0.00626301765442, wifi
1455714221.22,received , 17 , -0.00625514984131, wifi
1455714221.23,received , 18 , -0.00627207756042, wifi
1455714221.25,received , 19 , -0.0062620639801, wifi
1455714221.25,received , 1 , 0.207296848297, lte
1455714221.26,received , 20 , -0.0062620639801, wifi
1455714221.27,received , 21 , -0.00628209114075, wifi
1455714221.28,received , 22 , -0.00628709793091, wifi
1455714221.29,received , 2 , 0.237541913986, lte
1455714221.29,received , 23 , -0.00626802444458, wifi
1455714221.3,received , 24 , -0.00626111030579, wifi
1455714221.31,received , 25 , -0.0063111782074, wifi
1455714221.32,received , 3 , 0.259531021118, lte
1455714221.33,received , 26 , -0.00633502006531, wifi
1455714221.34,received , 27 , -0.00634789466858, wifi
1455714221.35,received , 4 , 0.270863056183, lte
1455714221.35,received , 28 , -0.00636506080627, wifi
1455714221.36,received , 29 , -0.00635719299316, wifi
1455714221.37,received , 5 , 0.283532142639, lte
1455714221.37,received , 30 , -0.00638008117676, wifi
1455714221.38,received , 31 , -0.00634789466858, wifi
1455714221.39,received , 6 , 0.291301012039, lte
1455714221.4,received , 32 , -0.00637316703796, wifi
1455714221.41,received , 33 , -0.00634813308716, wifi
1455714221.41,received , 7 , 0.302624940872, lte
1455714221.42,received , 34 , -0.00637912750244, wifi
1455714221.43,received , 8 , 0.306636095047, lte
1455714221.43,received , 35 , -0.00638794898987, wifi
1455714221.44,received , 9 , 0.311102867126, lte
1455714221.44,received , 36 , -0.00640606880188, wifi
1455714221.45,received , 37 , -0.00637197494507, wifi
1455714221.46,received , 10 , 0.316395998001, lte
1455714221.47,received , 38 , -0.00637197494507, wifi
1455714221.47,received , 11 , 0.317902088165, lte
1455714221.48,received , 39 , -0.00639390945435, wifi
1455714221.49,received , 12 , 0.322134971619, lte
1455714221.49,received , 40 , -0.00636196136475, wifi
1455714221.5,received , 41 , -0.00638294219971, wifi
1455714221.5,received , 13 , 0.324634075165, lte
1455714221.51,received , 42 , -0.00640892982483, wifi
1455714221.52,received , 14 , 0.327749967575, lte
1455714221.52,received , 43 , -0.00639009475708, wifi
1455714221.53,received , 44 , -0.00637292861938, wifi
1455714221.53,received , 15 , 0.332473993301, lte
1455714221.54,received , 45 , -0.00619006156921, wifi
1455714221.55,received , 46 , -0.00639510154724, wifi
1455714221.56,received , 16 , 0.346342086792, lte
1455714221.56,received , 47 , -0.0064160823822, wifi
1455714221.57,received , 17 , 0.352596998215, lte
1455714221.58,received , 48 , -0.00641393661499, wifi
1455714221.59,received , 49 , -0.00631403923035, wifi
1455714221.59,received , 18 , 0.358665943146, lte
1455714221.6,received , 50 , -0.00638103485107, wifi
1455714221.61,received , 19 , 0.362486124039, lte
1455714221.61,received , 51 , -0.00637817382812, wifi
1455714221.63,received , 52 , -0.00639510154724, wifi
1455714221.63,received , 20 , 0.373930931091, lte
1455714221.64,received , 53 , -0.00641298294067, wifi
1455714221.64,received , 21 , 0.373100042343, lte
1455714221.65,received , 54 , -0.00637292861938, wifi
1455714221.65,received , 22 , 0.373993873596, lte
1455714221.66,received , 55 , -0.00638890266418, wifi
1455714221.67,received , 23 , 0.376029968262, lte
1455714221.67,received , 56 , -0.0062849521637, wifi
1455714221.68,received , 24 , 0.375682115555, lte
1455714221.68,received , 57 , -0.0063910484314, wifi
1455714221.69,received , 25 , 0.377617120743, lte
1455714221.7,received , 58 , -0.00639319419861, wifi
1455714221.71,received , 59 , -0.00636410713196, wifi
1455714221.71,received , 26 , 0.381694078445, lte
1455714221.72,received , 27 , 0.378810882568, lte
1455714221.72,received , 60 , -0.00639796257019, wifi
1455714221.73,received , 28 , 0.37765288353, lte
1455714221.73,received , 61 , -0.00640201568604, wifi
1455714221.74,received , 29 , 0.37516617775, lte
1455714221.74,received , 62 , -0.00640106201172, wifi
1455714221.75,received , 30 , 0.37255692482, lte
1455714221.75,received , 63 , -0.00637698173523, wifi
1455714221.75,received , 31 , 0.369631052017, lte
1455714221.76,received , 32 , 0.36611700058, lte
1455714221.77,received , 64 , -0.00637006759644, wifi
1455714221.78,received , 65 , -0.00638484954834, wifi
1455714221.78,received , 33 , 0.371180772781, lte
1455714221.79,received , 34 , 0.367707014084, lte
1455714221.79,received , 66 , -0.00641226768494, wifi
1455714221.79,received , 35 , 0.363004922867, lte
1455714221.8,received , 67 , -0.00639605522156, wifi
1455714221.81,received , 36 , 0.36932182312, lte
1455714221.82,received , 68 , -0.00641012191772, wifi
1455714221.82,received , 37 , 0.365144014359, lte
1455714221.83,received , 69 , -0.00640916824341, wifi
1455714221.83,received , 38 , 0.366504907608, lte
1455714221.84,received , 39 , 0.361800909042, lte
1455714221.84,received , 70 , -0.0063419342041, wifi
1455714221.85,received , 40 , 0.356957912445, lte
1455714221.85,received , 71 , -0.00639915466309, wifi
1455714221.86,received , 41 , 0.353417873383, lte
1455714221.86,received , 42 , 0.34770488739, lte
1455714221.87,received , 72 , -0.00636219978333, wifi
1455714221.88,received , 73 , -0.0063841342926, wifi
1455714221.88,received , 43 , 0.350756883621, lte
1455714221.88,received , 44 , 0.343394041061, lte
1455714221.89,received , 45 , 0.339622974396, lte
1455714221.89,received , 74 , -0.0063738822937, wifi
1455714221.9,received , 46 , 0.341372013092, lte
1455714221.9,received , 75 , -0.00638318061829, wifi
1455714221.9,received , 47 , 0.329980134964, lte
1455714221.91,received , 48 , 0.326253890991, lte
1455714221.91,received , 76 , -0.00637006759644, wifi
1455714221.92,received , 49 , 0.324218988419, lte
1455714221.92,received , 77 , -0.00636410713196, wifi
1455714221.93,received , 50 , 0.318727016449, lte
1455714221.93,received , 51 , 0.313060045242, lte
1455714221.94,received , 78 , -0.00637602806091, wifi
1455714221.94,received , 52 , 0.308591842651, lte
1455714221.95,received , 79 , -0.0063681602478, wifi
1455714221.95,received , 53 , 0.305984020233, lte
1455714221.96,received , 80 , -0.00636100769043, wifi
1455714221.96,received , 54 , 0.306569099426, lte
1455714221.96,received , 55 , 0.29581785202, lte
1455714221.97,received , 81 , -0.00641298294067, wifi
1455714221.97,received , 56 , 0.292490959167, lte
1455714221.98,received , 57 , 0.287207841873, lte
1455714221.98,received , 82 , -0.00631904602051, wifi
1455714221.99,received , 58 , 0.287477970123, lte
1455714221.99,received , 83 , -0.00636720657349, wifi
1455714222.0,received , 59 , 0.286729812622, lte
1455714222.0,received , 84 , -0.00635504722595, wifi
1455714222.01,received , 60 , 0.285298109055, lte
1455714222.01,received , 61 , 0.27504992485, lte
1455714222.01,received , 85 , -0.00638294219971, wifi
1455714222.03,received , 62 , 0.278610944748, lte
1455714222.03,received , 86 , -0.00641202926636, wifi
1455714222.04,received , 87 , -0.00639390945435, wifi
1455714222.04,received , 63 , 0.284516096115, lte
1455714222.04,received , 64 , 0.271838188171, lte
1455714222.05,received , 65 , 0.261118888855, lte
1455714222.05,received , 88 , -0.00638723373413, wifi
1455714222.05,received , 66 , 0.254304885864, lte
1455714222.06,received , 67 , 0.246506929398, lte
1455714222.06,received , 89 , -0.00638294219971, wifi
1455714222.06,received , 68 , 0.238956928253, lte
1455714222.07,received , 69 , 0.23223400116, lte
1455714222.07,received , 90 , -0.00638794898987, wifi
1455714222.07,received , 70 , 0.225082874298, lte
1455714222.08,received , 71 , 0.217278003693, lte
1455714222.08,received , 91 , -0.0063579082489, wifi
1455714222.08,received , 72 , 0.211344957352, lte
1455714222.09,received , 73 , 0.204851150513, lte
1455714222.09,received , 74 , 0.197911977768, lte
1455714222.09,received , 92 , -0.00639295578003, wifi
1455714222.1,received , 75 , 0.190681934357, lte
1455714222.11,received , 93 , -0.00635695457458, wifi
1455714222.11,received , 76 , 0.189679861069, lte
1455714222.11,received , 77 , 0.183797836304, lte
1455714222.11,received , 78 , 0.173138856888, lte
1455714222.12,received , 94 , -0.00638294219971, wifi
1455714222.12,received , 79 , 0.167681932449, lte
1455714222.13,received , 95 , -0.00640797615051, wifi
1455714222.13,received , 80 , 0.170073986053, lte
1455714222.13,received , 81 , 0.158782720566, lte
1455714222.14,received , 96 , -0.006343126297, wifi
1455714222.14,received , 82 , 0.154892921448, lte
1455714222.15,received , 83 , 0.14795088768, lte
1455714222.15,received , 97 , -0.00642991065979, wifi
1455714222.15,received , 84 , 0.140921115875, lte
1455714222.16,received , 85 , 0.139722824097, lte
1455714222.16,received , 98 , -0.00636601448059, wifi
1455714222.17,received , 86 , 0.133055925369, lte
1455714222.17,received , 87 , 0.128239870071, lte
1455714222.18,received , 99 , -0.00636291503906, wifi
1455714222.18,received , 88 , 0.123645067215, lte
1455714222.19,received , 89 , 0.119534015656, lte
1455714222.19,received , 100 , -0.00633502006531, wifi
1455714222.19,received , 90 , 0.112385034561, lte
1455714222.2,received , 91 , 0.107624053955, lte
1455714222.2,received , 101 , -0.00633311271667, wifi
1455714222.2,received , 92 , 0.0999550819397, lte
1455714222.21,received , 93 , 0.0928149223328, lte
1455714222.21,received , 94 , 0.0880451202393, lte
1455714222.21,received , 102 , -0.00632524490356, wifi
1455714222.22,received , 95 , 0.0826091766357, lte
1455714222.22,received , 103 , -0.00632905960083, wifi
1455714222.23,received , 96 , 0.0837459564209, lte
1455714222.23,received , 97 , 0.0729479789734, lte
1455714222.24,received , 104 , -0.0063579082489, wifi
1455714222.24,received , 98 , 0.0669870376587, lte
1455714222.24,received , 99 , 0.0582070350647, lte
1455714222.24,received , 100 , 0.0453870296478, lte
1455714222.25,received , 105 , -0.00634217262268, wifi
1455714222.25,received , 101 , 0.0432698726654, lte
1455714222.25,received , 102 , 0.0305700302124, lte
1455714222.25,received , 103 , 0.0197088718414, lte
1455714222.25,received , 104 , 0.010614156723, lte
1455714222.26,received , 106 , -0.006343126297, wifi
1455714222.27,received , 105 , 0.0140659809113, lte
1455714222.27,received , 107 , -0.0063202381134, wifi
1455714222.28,received , 106 , 0.0145528316498, lte
1455714222.28,received , 108 , -0.00635313987732, wifi
1455714222.29,received , 107 , 0.0115449428558, lte
1455714222.29,received , 109 , -0.00642490386963, wifi
1455714222.31,received , 110 , -0.00639009475708, wifi
1455714222.32,received , 108 , 0.0275030136108, lte
1455714222.32,received , 111 , -0.00632691383362, wifi
1455714222.32,received , 109 , 0.0209419727325, lte
1455714222.33,received , 112 , -0.00636696815491, wifi
1455714222.33,received , 110 , 0.0222499370575, lte
