1455715884.52,received , 1 , 0.021776676178, wifi
1455715884.52,received , 2 , 0.0119478702545, wifi
1455715884.52,received , 3 , 0.00516366958618, wifi
1455715884.53,received , 4 , 0.00510382652283, wifi
1455715884.54,received , 5 , 0.00529479980469, wifi
1455715884.55,received , 6 , 0.00504589080811, wifi
1455715884.56,received , 7 , 0.00515604019165, wifi
1455715884.58,received , 8 , 0.00823974609375, wifi
1455715884.58,received , 9 , 0.00514698028564, wifi
1455715884.59,received , 10 , 0.00675702095032, wifi
1455715884.6,received , 11 , 0.00515007972717, wifi
1455715884.61,received , 12 , 0.00513887405396, wifi
1455715884.62,received , 13 , 0.00542283058167, wifi
1455715884.63,received , 14 , 0.00519990921021, wifi
1455715884.65,received , 1 , 0.151423931122, lte
1455715884.65,received , 2 , 0.141538858414, lte
1455715884.65,received , 15 , 0.0115718841553, wifi
1455715884.65,received , 3 , 0.133284807205, lte
1455715884.65,received , 4 , 0.124047756195, lte
1455715884.65,received , 5 , 0.114172935486, lte
1455715884.65,received , 6 , 0.10721373558, lte
1455715884.65,received , 7 , 0.0973899364471, lte
1455715884.65,received , 8 , 0.087553024292, lte
1455715884.66,received , 9 , 0.0775847434998, lte
1455715884.66,received , 10 , 0.0675847530365, lte
1455715884.66,received , 11 , 0.0575668811798, lte
1455715884.66,received , 12 , 0.0475468635559, lte
1455715884.66,received , 13 , 0.0375049114227, lte
1455715884.66,received , 14 , 0.0274548530579, lte
1455715884.66,received , 15 , 0.017374753952, lte
1455715884.66,received , 16 , 0.0117149353027, wifi
1455715884.66,received , 16 , 0.0151178836823, lte
1455715884.67,received , 17 , 0.0121009349823, wifi
1455715884.68,received , 17 , 0.0167589187622, lte
1455715884.68,received , 18 , 0.0116970539093, wifi
1455715884.68,received , 18 , 0.0134010314941, lte
1455715884.69,received , 19 , 0.01176404953, wifi
1455715884.69,received , 19 , 0.0159687995911, lte
1455715884.7,received , 20 , 0.00668478012085, wifi
1455715884.7,received , 20 , 0.0137438774109, lte
1455715884.71,received , 21 , 0.0117447376251, wifi
1455715884.71,received , 22 , 0.00515079498291, wifi
1455715884.71,received , 21 , 0.0154287815094, lte
1455715884.72,received , 22 , 0.0149967670441, lte
1455715884.73,received , 23 , 0.00689888000488, wifi
1455715884.73,received , 23 , 0.0137009620667, lte
1455715884.73,received , 24 , 0.00506591796875, wifi
1455715884.74,received , 24 , 0.0142638683319, lte
1455715884.75,received , 25 , 0.00510001182556, wifi
1455715884.75,received , 25 , 0.0140118598938, lte
1455715884.76,received , 26 , 0.00549006462097, wifi
1455715884.77,received , 26 , 0.0155220031738, lte
1455715884.77,received , 27 , 0.0052547454834, wifi
1455715884.78,received , 27 , 0.0152966976166, lte
1455715884.78,received , 28 , 0.00525975227356, wifi
1455715884.78,received , 28 , 0.0139067173004, lte
1455715884.79,received , 29 , 0.00511884689331, wifi
1455715884.8,received , 29 , 0.0144748687744, lte
1455715884.8,received , 30 , 0.00507187843323, wifi
1455715884.81,received , 31 , 0.00508379936218, wifi
1455715884.81,received , 30 , 0.0161428451538, lte
1455715884.82,received , 31 , 0.0148129463196, lte
1455715884.82,received , 32 , 0.0050048828125, wifi
1455715884.83,received , 33 , 0.00519680976868, wifi
1455715884.83,received , 32 , 0.0154139995575, lte
1455715884.84,received , 33 , 0.0141587257385, lte
1455715884.84,received , 34 , 0.00522089004517, wifi
1455715884.85,received , 34 , 0.0138788223267, lte
1455715884.85,received , 35 , 0.00510382652283, wifi
1455715884.86,received , 36 , 0.00527691841125, wifi
1455715884.86,received , 35 , 0.0164170265198, lte
1455715884.87,received , 37 , 0.00507688522339, wifi
1455715884.87,received , 36 , 0.0153908729553, lte
1455715884.88,received , 37 , 0.0148050785065, lte
1455715884.88,received , 38 , 0.00498366355896, wifi
1455715884.89,received , 38 , 0.0144407749176, lte
1455715884.89,received , 39 , 0.00528287887573, wifi
1455715884.9,received , 39 , 0.0141108036041, lte
1455715884.9,received , 40 , 0.00507092475891, wifi
1455715884.91,received , 40 , 0.0137238502502, lte
1455715884.91,received , 41 , 0.00508284568787, wifi
1455715884.92,received , 42 , 0.00504589080811, wifi
1455715884.92,received , 41 , 0.0163049697876, lte
1455715884.93,received , 43 , 0.00506997108459, wifi
1455715884.93,received , 42 , 0.0151410102844, lte
1455715884.94,received , 43 , 0.0147089958191, lte
1455715884.94,received , 44 , 0.00512194633484, wifi
1455715884.95,received , 44 , 0.0143799781799, lte
1455715884.95,received , 45 , 0.0051007270813, wifi
1455715884.96,received , 45 , 0.0149667263031, lte
1455715884.96,received , 46 , 0.00499391555786, wifi
1455715884.97,received , 46 , 0.0146188735962, lte
1455715884.97,received , 47 , 0.00511693954468, wifi
1455715884.98,received , 48 , 0.00514578819275, wifi
1455715884.98,received , 47 , 0.0171208381653, lte
1455715884.99,received , 49 , 0.00527691841125, wifi
1455715884.99,received , 48 , 0.0157749652863, lte
1455715885.0,received , 49 , 0.0145239830017, lte
1455715885.0,received , 50 , 0.0049250125885, wifi
1455715885.01,received , 51 , 0.00506091117859, wifi
1455715885.01,received , 50 , 0.0153498649597, lte
1455715885.02,received , 51 , 0.0148630142212, lte
1455715885.02,received , 52 , 0.0049877166748, wifi
