13:47:05.510565 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
13:47:05.511601 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
13:47:05.520520 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
13:47:05.520700 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
13:47:05.530665 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
13:47:05.530832 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
13:47:05.540807 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
13:47:05.540963 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
13:47:05.550932 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
13:47:05.551091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
13:47:05.561073 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
13:47:05.561219 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
13:47:05.571214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
13:47:05.571346 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
13:47:05.581354 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
13:47:05.581476 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
13:47:05.591494 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
13:47:05.591604 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
13:47:05.601635 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
13:47:05.601731 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
13:47:05.611775 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
13:47:05.611840 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
13:47:05.621891 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
13:47:05.621968 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
13:47:05.632015 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
13:47:05.632096 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
13:47:05.642140 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
13:47:05.642224 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
