15:05:00.925108 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
15:05:00.932962 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
15:05:00.933587 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
15:05:00.933694 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
15:05:00.943737 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
15:05:00.943821 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
15:05:00.953880 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
15:05:00.953946 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
15:05:00.964021 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
15:05:00.964070 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
15:05:00.974146 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
15:05:00.974194 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
15:05:00.984287 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
15:05:00.984318 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
15:05:00.994427 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
15:05:00.994451 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
15:05:01.004593 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
15:05:01.004610 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
15:05:01.014750 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
15:05:01.014766 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
15:05:01.024905 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
15:05:01.024923 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
15:05:01.035058 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
15:05:01.035078 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
15:05:01.045217 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
15:05:01.045235 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
15:05:01.055374 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
15:05:01.055388 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
15:05:01.065527 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
15:05:01.065543 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
15:05:01.075682 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
15:05:01.075698 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
15:05:01.085838 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
15:05:01.085853 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
15:05:01.095993 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
15:05:01.096008 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
15:05:01.106148 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
15:05:01.106164 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
15:05:01.116302 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
15:05:01.116317 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
15:05:01.126458 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
15:05:01.126473 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
