15:12:39.559852 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
15:12:39.561500 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
15:12:39.570004 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
15:12:39.570113 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
15:12:39.580153 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
15:12:39.580240 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
15:12:39.590298 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
15:12:39.590365 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
15:12:39.600444 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
15:12:39.600489 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
15:12:39.610590 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
15:12:39.610614 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
15:12:39.620739 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
15:12:39.620760 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
15:12:39.630903 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
15:12:39.630919 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
15:12:39.641061 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
15:12:39.641077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
15:12:39.651222 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
15:12:39.651237 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
15:12:39.661383 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
15:12:39.661403 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
15:12:39.671542 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
15:12:39.671560 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
15:12:39.681699 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
