15:17:43.567276 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 1
15:17:43.567377 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 1
15:17:43.577426 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 2
15:17:43.577512 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 2
15:17:43.587572 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 3
15:17:43.587639 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 3
15:17:43.597717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 4
15:17:43.597765 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 4
15:17:43.607864 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 5
15:17:43.607892 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 5
15:17:43.617992 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 6
15:17:43.618008 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 6
15:17:43.628143 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 7
15:17:43.628156 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 7
15:17:43.638294 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 8
15:17:43.638312 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 8
15:17:43.648451 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 9
15:17:43.648468 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 9
15:17:43.658608 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 10
15:17:43.658626 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 10
15:17:43.668767 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 11
15:17:43.668784 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 11
15:17:43.678925 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 12
15:17:43.678944 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 12
15:17:43.689085 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 13
15:17:43.689101 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 13
15:17:43.699241 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 14
15:17:43.699258 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 14
15:17:43.709397 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 15
15:17:43.709417 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 15
15:17:43.719557 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 16
15:17:43.719574 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 16
15:17:43.729708 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 17
15:17:43.729733 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 17
15:17:43.739868 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 18
15:17:43.739886 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 18
15:17:43.750025 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 19
15:17:43.750042 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 19
15:17:43.760181 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 20
15:17:43.760198 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 20
15:17:43.770336 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 21
15:17:43.770353 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 21
15:17:43.780494 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 22
15:17:43.780510 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 22
15:17:43.790650 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 23
15:17:43.790667 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 23
15:17:43.800805 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 24
15:17:43.800822 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 24
15:17:43.810964 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 25
15:17:43.810980 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 25
15:17:43.821120 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 26
15:17:43.821136 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 26
15:17:43.831283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 27
15:17:43.831299 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 27
15:17:43.841439 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 28
15:17:43.841458 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 28
15:17:43.851598 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 29
15:17:43.851615 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 29
15:17:43.861760 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 30
15:17:43.861775 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 30
15:17:43.871918 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 31
15:17:43.871934 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 31
15:17:43.882081 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 32
15:17:43.882096 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 32
15:17:43.892238 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 33
15:17:43.892253 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 33
15:17:43.902395 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 34
15:17:43.902410 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 34
15:17:43.912556 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 35
15:17:43.912571 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 35
15:17:43.922708 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 36
15:17:43.922725 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 36
15:17:43.932861 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 37
15:17:43.932879 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 37
15:17:43.943003 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 38
15:17:43.943019 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 38
15:17:43.953151 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 39
15:17:43.953166 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 39
15:17:43.963305 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 40
15:17:43.963323 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 40
15:17:43.973465 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 41
15:17:43.973483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 41
15:17:43.983605 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 42
15:17:43.983622 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 42
15:17:43.993762 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 43
15:17:43.993778 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 43
15:17:44.003919 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 44
15:17:44.003937 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 44
15:17:44.014076 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 45
15:17:44.014092 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 45
15:17:44.024232 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 46
15:17:44.024250 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 46
15:17:44.034390 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 47
15:17:44.034407 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 47
15:17:44.044545 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 48
15:17:44.044560 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 48
15:17:44.054701 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 49
15:17:44.054716 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 49
15:17:44.064862 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 50
15:17:44.064877 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 50
15:17:44.075019 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 51
15:17:44.075034 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 51
15:17:44.085176 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 52
15:17:44.085191 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 52
15:17:44.095343 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 53
15:17:44.095357 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 793 , 53
15:17:44.105498 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 792 , 54
