15:24:13.034389 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
15:24:13.034896 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:24:13.044760 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
15:24:13.045134 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:24:13.054962 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
15:24:13.055300 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:24:13.066567 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:24:13.066727 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
15:24:13.076889 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:24:13.077045 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
15:24:13.087108 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:24:13.087183 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
15:24:13.097293 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:24:13.097354 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
15:24:13.107513 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:24:13.107585 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
15:24:13.117669 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:24:13.117726 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
15:24:13.127812 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:24:13.127847 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
15:24:13.137975 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:24:13.138027 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
15:24:13.148108 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:24:13.148135 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
15:24:13.158257 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:24:13.158297 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
15:24:13.168383 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:24:13.168413 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
15:24:13.178544 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:24:13.178583 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
15:24:13.188673 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:24:13.188711 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
15:24:13.199021 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
15:24:13.199186 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:24:13.209341 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
15:24:13.209413 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
15:24:13.219580 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
15:24:13.219649 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
