12:08:41.965267 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 1
12:08:41.966225 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 1
12:08:41.973962 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 2
12:08:41.974023 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 2
12:08:41.984107 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 3
12:08:41.984155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 3
12:08:41.994232 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 4
12:08:41.994285 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 4
12:08:42.004357 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 5
12:08:42.004412 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 5
12:08:42.014498 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 6
12:08:42.014539 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 6
12:08:42.024639 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 7
12:08:42.024666 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 7
12:08:42.034780 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 8
12:08:42.034808 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 8
12:08:42.044948 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 9
12:08:42.044967 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 9
12:08:42.055105 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 10
12:08:42.055124 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 10
12:08:42.065263 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 11
12:08:42.065281 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 11
12:08:42.075420 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 12
12:08:42.075439 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 12
12:08:42.085576 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 13
12:08:42.085595 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 13
12:08:42.095733 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 14
12:08:42.095751 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 14
12:08:42.105888 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 15
12:08:42.105906 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 15
12:08:42.116044 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 16
12:08:42.116060 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 16
12:08:42.126178 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 17
12:08:42.126193 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 17
12:08:42.136323 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 18
12:08:42.136338 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 18
12:08:42.146469 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 19
12:08:42.146485 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 19
12:08:42.156626 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 20
12:08:42.156642 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 20
12:08:42.166781 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 21
12:08:42.166799 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 21
12:08:42.176938 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 22
12:08:42.176956 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 22
12:08:42.187095 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 23
12:08:42.187112 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 23
12:08:42.197252 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 24
12:08:42.197269 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 24
12:08:42.207408 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 25
12:08:42.207425 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 25
12:08:42.217565 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 26
12:08:42.217586 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 26
12:08:42.227726 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 27
12:08:42.227746 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 27
12:08:42.237887 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 28
12:08:42.237905 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 28
12:08:42.248052 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 29
12:08:42.248068 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 29
12:08:42.258210 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 30
12:08:42.258226 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 30
12:08:42.268368 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 31
12:08:42.268384 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 31
12:08:42.278529 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 32
12:08:42.278542 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 32
12:08:42.288688 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 33
12:08:42.288705 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 33
12:08:42.298845 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 34
12:08:42.298862 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 34
12:08:42.309001 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
12:08:42.309021 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
12:08:42.319161 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
12:08:42.319180 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
12:08:42.329318 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
12:08:42.329335 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
12:08:42.339474 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
12:08:42.339492 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
12:08:42.349630 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
12:08:42.349649 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
12:08:42.359786 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
12:08:42.359804 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
12:08:42.369943 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
12:08:42.369961 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
12:08:42.380100 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
12:08:42.380118 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
12:08:42.390256 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
12:08:42.390274 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
